id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dateevent_p/datemap_select.txt#4#12,海に行きたい,想去海边,translated,,cbd404a1a0,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#5#12,学校に行きたい,想去学校,translated,,f07bc06f24,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#6#12,ショッピングセンターに行きたい,想去购物中心,translated,,28e16a8ddf,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#7#12,パーツ屋に行きたい,想去零件屋,translated,,86b7369100,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#8#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#10#12,カフェに行きたい,想去咖啡馆,translated,,57b65ab200,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#11#12,温泉に行きたい,想去温泉,translated,,f1b04832b9,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#12#12,縁日に行きたい,想去庙会,translated,,cfd03ff4a9,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#13#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#14#12,戻る,返回,translated,,60a1005be6,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#16#12,プラネタリウムに行きたい,想去天文馆,translated,,eda762f870,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#17#12,水族館に行きたい,想去水族馆,translated,,e8d6b86769,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#18#12,教会に行きたい,想去教会,translated,,7b9dd17c9e,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#19#12,戻る,返回,translated,,60a1005be6,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#22#12,海に行きたい,想去海边,translated,,cbd404a1a0,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#23#12,学校に行きたい,想去学校,translated,,f07bc06f24,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#24#12,ショッピングセンターに行きたい,想去购物中心,translated,,28e16a8ddf,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#25#12,パーツ屋に行きたい,想去零件屋,translated,,86b7369100,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#26#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#28#12,カフェに行きたい,想去咖啡馆,translated,,57b65ab200,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#29#12,温泉に行きたい,想去温泉,translated,,f1b04832b9,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#30#12,縁日に行きたい,想去庙会,translated,,cfd03ff4a9,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#31#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/dateevent_p/datemap_select.txt#32#12,戻る,返回,translated,,60a1005be6,br=0 nl=0,1,
