id,check,reason
exe:afcd5279,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:810ce40d,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:792b44ad,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:58b8eba3,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:4919ed26,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:057cf6f2,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:b1dec171,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
exe:bcfe531f,kana,错误代码中的假名是代码标识符本身，翻译会使玩家报错时无法与官方代码对应
ui/ui/title/uil_title_confirm_user_name.xml#1155,kana,界面排版中的假名占位/五十音输入键盘，属于界面结构而非可翻译文本
ui/ui/yome/uil_yomeui.xml#25398,kana,界面排版中的假名占位/五十音输入键盘，属于界面结构而非可翻译文本
ui/ui/_samples/uil_sample_font.xml#510,kana,界面排版中的假名占位/五十音输入键盘，属于界面结构而非可翻译文本
ui/ui/_samples/uil_sample_text.xml#499,kana,界面排版中的假名占位/五十音输入键盘，属于界面结构而非可翻译文本
ui/ui/_samples/uil_sample_text.xml#669,kana,界面排版中的假名占位/五十音输入键盘，属于界面结构而非可翻译文本
global:655,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:1520,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2086,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2262,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2299,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2393,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2448,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2476,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2642,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2693,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2696,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:2986,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:3180,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:3212,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:3627,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:3684,kana,（あちわ）是制作人员署名缩写，人名不翻译
global:3694,kana,（あちわ）是制作人员署名缩写，人名不翻译
inc/event/res/dateevent_tch/dateevent_all_tch02.txt#50#12,kana,台词内容就是在谈论书写日文假名“の”这个动作，必须保留该字
inc/event/res/dateevent_tch/dateevent_all_tch04.txt#45#12,kana,台词内容就是在谈论书写日文假名“の”这个动作，必须保留该字
inc/event/res/dateevents00/sea_bonus_tch2.txt#219#12,kana,台词内容就是在谈论书写日文假名“の”这个动作，必须保留该字
inc/event/res/soineevent/soine_00t3.txt#171#12,kana,台词内容就是在谈论书写日文假名“の”这个动作，必须保留该字
