id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/mainscenarioevent06/mea06_00.txt#5#12,"クオンタイズの人達と一緒に、
PLASMAを出た後のことも思い出したよ。","我想起和库翁泰兹的人们一起
离开PLASMA之后发生的事了。",translated,依恩,931c269435,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#9#12,"あとそれから、
クオンタイズの人達と一緒に、
PLASMAを出た後のことを思い出したよ。","还有就是，
我想起和库翁泰兹的人们一起
离开PLASMA之后发生的事了。",translated,依恩,f22046010d,br=0 nl=2,3,
inc/event/res/mainscenarioevent06/mea06_00.txt#11#12,"まさかクオンタイズのリーダーが
サーリちゃんだったなんて、
びっくりだよね……。","万万没想到库翁泰兹的领袖
居然会是莎丽，
真是吓了一大跳呢……",translated,依恩,0b7c7a23f7,br=0 nl=2,3,
inc/event/res/mainscenarioevent06/mea06_00.txt#13#12,誰だっけ？,那是谁来着？,translated,,692c1a6347,br=0 nl=0,1,
inc/event/res/mainscenarioevent06/mea06_00.txt#14#12,何が目的なんだろ？,她的目的是什么呢？,translated,,bc211190df,br=0 nl=0,1,
inc/event/res/mainscenarioevent06/mea06_00.txt#20#12,"あれ？
忘れちゃった？","咦？
你忘了吗？",translated,依恩,cc207a0afa,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#21#12,"ネプツールさんの娘さんで、夢ノ珠で
わたしがお守りを送った子だよ。","她是尼普楚尔先生的女儿，
就是我在梦之珠送过护身符的孩子呀。",translated,依恩,06fd0c54fc,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#22#12,"サーリちゃんはネプツールさんのことに責任
を感じなくていいって言ってくれたけど、
やっぱり気になるよね……。","莎丽虽然对我说过，不用对
尼普楚尔先生的事感到自责，
但果然还是会很在意呢……",translated,依恩,5e0c6fbb86,br=0 nl=2,3,
inc/event/res/mainscenarioevent06/mea06_00.txt#23#12,"結局、そのお守りは届いてなかったみたい
だし……。","结果，那个护身符好像最终
也并没有送到她手上……",translated,依恩,208b21730d,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#24#12,"病気のこともあるから、何か力になって
あげられればいいんだけど……。","而且她还生着病，要是我能帮上
她什么忙就好了……",translated,依恩,f2cf2a67fa,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#26#12,何が目的なんだろ？,她的目的是什么呢？,translated,,bc211190df,br=0 nl=0,1,
inc/event/res/mainscenarioevent06/mea06_00.txt#28#12,"わたしを闇の淵から救い上げる、って
言葉の意味……だよね。","你是指……她说要将我
从黑暗深渊中拯救出来的那句话对吧。",translated,依恩,a8f3cc6fc9,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#29#12,"そのままの意味で受け取るなら、
わたしの手助けをしてくれるってことだと
思うんだけど……。","如果照字面意思来理解的话，
我想应该是指会向我
伸出援手的意思吧……",translated,依恩,e9e2d1e393,br=0 nl=2,3,
inc/event/res/mainscenarioevent06/mea06_00.txt#30#12,闇の淵って皇位継承の儀のことかな？,黑暗深渊是指皇位继承之仪吗？,translated,,8fcbce74e3,br=0 nl=0,1,
inc/event/res/mainscenarioevent06/mea06_00.txt#32#12,"たぶんそうだと思うんだけど……。
なんでだろ？　なんか違う気もするの。","我想大概是那样吧……
但为什么呢？总觉得似乎又有点不太一样。",translated,依恩,c927c2f037,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#33#12,"どうしてかは分からないけど、
何かもっと別のことなんじゃないかって。","虽然我说不上为什么，
但总觉得好像是指某种更特别的事情。",translated,依恩,a1e54d3045,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#34#12,うまく言葉に出来なくてごめんね……。,我无法很好地用语言表达清楚，对不起哦……,translated,依恩,5098c80eb7,br=0 nl=0,1,
inc/event/res/mainscenarioevent06/mea06_00.txt#35#12,"こういうこと前にも何回かあったの。
分かるんだけど、分からないみたいな……。","像这样的感觉以前也有过好几次。
似懂非懂、朦朦胧胧的感觉……",translated,依恩,9f3b198738,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#36#12,"そんな靄がかかったような感じで、
ハッキリとしないの。","就像被一层迷雾笼罩着一样，
怎么也看不分明。",translated,依恩,fa81d8ce2b,br=0 nl=1,2,
inc/event/res/mainscenarioevent06/mea06_00.txt#37#12,ネイのことが気になる,很在意妮伊的事,translated,,451b835e45,br=0 nl=0,1,
