id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/seasonevent/seasonal_april.txt#6#12,あ、来た来た～。,啊，来啦来啦～,translated,依恩,f3214bfada,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april.txt#11#12,あ、来た来た～。,啊，来啦来啦～,translated,依恩,f3214bfada,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april.txt#18#12,ねえ、いる～？,喂，你在吗～？,translated,依恩,d025f57817,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april.txt#22#12,残念。,真遗憾。,translated,依恩,db119d5662,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april_tch.txt#4#12,あ、いてくれたんだ～。,啊，原来你在呀～,translated,依恩,d82706abe6,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april_tch.txt#7#12,"あのね、聞いて欲しいことがあるの。
ちょっとビックリすることだよ。","那个啊，我有件事想跟你讲。
是件会让你大吃一惊的事哦。",translated,依恩,8fcddec407,br=0 nl=1,2,
inc/event/res/seasonevent/seasonal_april_tch.txt#8#12,"実はわたしね……
空を飛ぶことができるんだよ！","其实我呀……
能够飞到空中去哦！",translated,依恩,b107858f2a,br=0 nl=1,2,
inc/event/res/seasonevent/seasonal_april_tch.txt#9#12,"この前、ねりこさんのお店に行った時に、
体をフワーッて浮かせられることに
気づいたの。","前几天我去妮莉库的店里时，
忽然发现自己的身体
竟然轻飘飘地浮起来了。",translated,依恩,ab1cfe802c,br=0 nl=2,3,
inc/event/res/seasonevent/seasonal_april_tch.txt#10#12,どう、ビックリした？,怎么样，大吃一惊吧？,translated,依恩,f07f7ad1b0,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april_tch.txt#11#12,今までできなかったの？,难道你以前不会飞吗？,translated,,47c33faf74,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april_tch.txt#12#12,そんな能力があったの！？,你居然有这种能力！？,translated,,80adfcf27e,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april_tch.txt#14#12,"えっ！？　もしかして、あなたは空を
飛べたりするの！？","哎！？难道说，你
平时就能飞到空中吗！？",translated,依恩,e4c3e9d686,br=0 nl=1,2,
inc/event/res/seasonevent/seasonal_april_tch.txt#15#12,"……エイプリルフールだから、
ウソをついてみただけだったのに……。","……我明明只是因为愚人节，
才故意撒了个谎而已的说……",translated,依恩,7756f10a51,br=0 nl=1,2,
inc/event/res/seasonevent/seasonal_april_tch.txt#16#12,こっちもウソをついただけだよ,我这边也只是在撒谎骗你啦,translated,,1a24d9a733,br=0 nl=0,1,
inc/event/res/seasonevent/seasonal_april_tch.txt#18#12,えぇっ、そうだったの！？,诶诶，原来是这样吗！？,translated,依恩,7131fb91ba,br=0 nl=0,1,
