id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/passiveevent01/pas_assem.txt#6#12,"こういう工作っぽい作業が
一番自分に合ってるのかも。","这种手工DIY性质的作业，
或许才是最适合我的呢。",translated,依恩,f2a8b446a0,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#7#12,やっていて凄く楽しいよ。,动手做起来真的超级开心哦。,translated,依恩,881fc98871,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#9#12,こういう組立作業って、結構得意なの。,像这种组装作业，我其实相当擅长呢。,translated,依恩,bfd8542217,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#10#12,"パーツの形だけで想像して作っていくのが
好きなんだ。","我其实很喜欢仅凭零件的形状，
边发挥想象边动手组装制作呢。",translated,依恩,6bddb96e42,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#11#12,……い、今それはダメだよね。,……现、现在可不能那么随性呢。,translated,依恩,1a6f430865,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#13#12,"こういう組立作業って、
最終的に失敗して変な形になっても
笑えたらＯＫって思っちゃうよね。","像这种组装活儿，
就算最后弄砸拼成了奇形怪状，
只要能逗大家一笑就觉得很OK了对吧。",translated,依恩,1692f1cb1b,br=0 nl=2,3,
inc/event/res/passiveevent01/pas_assem.txt#14#12,"……だ、大丈夫だよ、
今回はそんなことないから。","……没、没事的啦，
这次肯定不会发生那种事的。",translated,依恩,5d5e3c2f5a,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#15#12,成功するように頑張るね。,我会努力争取一次成功的。,translated,依恩,e503f6edb0,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#17#12,"こういう作業って大好きなんだけど、
やっぱり変かな？","虽然我超级喜欢这种手工作业，
但果然还是有点奇怪吧？",translated,依恩,f02fbe3b81,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#18#12,"組立作業って、
普通は男の子が好きなものだもんね。","毕竟拼装组装之类的作业，
通常都是男孩子们才喜欢摆弄的嘛。",translated,依恩,48ad29475f,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#20#12,"結構パーツの量が少ないと思ったけど、
組み立て方が凄く複雑なの。","本以为零件数量挺少的，
没想到组装结构却格外复杂呢。",translated,依恩,dff65c0000,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#21#12,"でも、難しい方がパーツ同士がハマッた時の
喜びは倍増するよね！","不过难度越高，零件严丝合缝扣上时的
喜悦感也会翻倍呢！",translated,依恩,d014400bf5,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#23#12,ふ～、ふふっ、ふふ～ん♪,呼～，呵呵，呼呼～嗯♪,translated,依恩,d0964f4615,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#24#12,"えへへ、こういう物を組み立てる作業って、
つい夢中しちゃうよね。","诶嘿嘿，像这种组装物件的活儿，
不知不觉就会全身心沉迷进去呢。",translated,依恩,339878f5ed,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#25#12,"物を組み立てる作業なら、
多分一晩中やってても飽きないよ。","如果是拼装组装东西的话，
就算让我通宵干上一整晚也绝对不腻哦。",translated,依恩,995320437b,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#27#12,"こういう作業って凄く楽しいから、
つい歌っちゃってたよ。","因为动手做这些真的太有意思了，
不知不觉就哼起歌来了呢。",translated,依恩,30f2679527,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#28#12,"ばらばらのパーツがはまって、
少しずつ形になっていくのって、
凄くワクワクするよね。","看着零零散散的零件一块块拼接上去，
渐渐展现出完整的雏形轮廓，
真的超级令人兴奋雀跃呢。",translated,依恩,f844652e2b,br=0 nl=2,3,
inc/event/res/passiveevent01/pas_assem.txt#30#12,んっふふ～ふ～ふ～♪,嗯呼呼～呼～呼～♪,translated,依恩,d166a30d1d,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#31#12,"えへへ、こういう作業って得意だし、
大好きなの！","诶嘿嘿，像这种细致活我很拿手，
而且也最喜欢了！",translated,依恩,d00ef06081,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#32#12,"男の子よりも綺麗に作り上れる自信もある
……かな。","我有自信能比男孩子做得更工整美观
……大概吧。",translated,依恩,838a2d1893,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#33#12,……じ、自慢できない、かな？,……难、难道不值得炫耀自豪吗？,translated,依恩,cd3706e2ea,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#35#12,"えへへ、手先は器用な方だから、
組み立ては綺麗にできそうだよ。","诶嘿嘿，我手脚还是挺灵巧的，
组装出来的成品应该会很漂亮哦。",translated,依恩,fec3cac648,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#36#12,"……その分、苦手なことも多いから、
胸は張れないかな。","……相对地，我不擅长的事情也很多，
也没法挺起胸膛夸海口就是了。",translated,依恩,ed09fcd544,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#38#12,……はっ！？,……哈！？,translated,依恩,e6442d228e,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#39#12,いけない、ぼーっとしちゃってたみたい！,糟了，我刚才好像有些走神发呆了！,translated,依恩,1845cafef2,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#40#12,"組み立て方を考えてて、
そのままぼーっとしちゃってたよ……。","一边琢磨着怎么组装，
一边就不自觉地发起呆来了……。",translated,依恩,ab825000f7,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#41#12,"考えることよりも、手を動かすことに
集中するね。","比起光动脑筋空想，
我还是集中精力多动动手吧。",translated,依恩,3a5b64675e,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#43#12,……あっ、あれ？,……啊，奇怪？,translated,依恩,79f4af058a,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#44#12,"わわわっ、
ちょっとぼーっとしちゃってたみたい！","哇哇哇，
我好像稍微有点犯迷糊走神了！",translated,依恩,aeccc2a1fd,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#45#12,うう、まだ全然組みあがってないのに……。,呜呜，明明完全都还没拼好呢……。,translated,依恩,4cf83dd8e3,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#46#12,急いで組み立てちゃうね。,我得抓紧赶快拼好才行了。,translated,依恩,8f9ed27530,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#48#12,……はっ！？,……哈！？,translated,依恩,e6442d228e,br=0 nl=0,1,
inc/event/res/passiveevent01/pas_assem.txt#49#12,"わわわ、なんかレシピとは違う
組み立てかたしちゃってる！？","哇哇哇，我怎么搞得跟图纸配方上
拼装的方式完全不一样啊！？",translated,依恩,379532a2cc,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#50#12,"やっぱり、ぼーっとしてたら
まともに作れないよね……。","果然，要是三心二意走神发呆的话，
根本不可能顺顺当当做好呢……。",translated,依恩,0ff5ba0bf5,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#51#12,"って、話してる場合じゃないね。
間違って組み立てたところ、直さないと。","不对，现在可不是闲聊的时候。
装错的地方得赶快拆开重新修正才行。",translated,依恩,3a8feae919,br=0 nl=1,2,
inc/event/res/passiveevent01/pas_assem.txt#53#12,……あ、あれ？,……诶，奇怪？,translated,依恩,c377f5e95d,br=0 nl=0,1,
