id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/useeventall/useeventall_acc01.txt#5#12,頻繁に着けて欲しい,希望你经常戴,translated,,0104528202,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#6#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#7#12,はずしてほしい,希望你取下来,translated,,76611c5bd8,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#9#12,頻繁に着けて欲しい,希望你经常戴,translated,,0104528202,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#10#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#11#12,はずしてほしい,希望你取下来,translated,,76611c5bd8,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#13#12,頻繁に着けて欲しい,希望你经常戴,translated,,0104528202,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc01.txt#14#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#5#12,すぐに着けて欲しい,希望你马上戴上,translated,,97df608250,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#6#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#7#12,はずしてほしい,希望你取下来,translated,,76611c5bd8,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#9#12,すぐに着けて欲しい,希望你马上戴上,translated,,97df608250,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#10#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#11#12,はずしてほしい,希望你取下来,translated,,76611c5bd8,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#13#12,すぐに着けて欲しい,希望你马上戴上,translated,,97df608250,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc02.txt#14#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc03.txt#5#12,また着けてみて欲しい,希望你能再戴戴看,translated,,d1477101cc,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc03.txt#6#12,あまり着けないで欲しい,希望你不要经常戴,translated,,eb03c8c595,br=0 nl=0,1,
inc/event/res/useeventall/useeventall_acc03.txt#7#12,はずしてほしい,希望你取下来,translated,,76611c5bd8,br=0 nl=0,1,
