id,jp,zh,status,max_bytes,src,ctl,occurrences,note
item:0,>型番がＧＴ－５５となっており、ラシェーラにはこの他にも多くの真空管が存在しているようだ。<CR>,>型号为GT-55，拉榭拉似乎还存在许多其他种类的真空管。<CR>,translated,138,5f53e5520b,<CR> br=0 nl=0,9,field is a continuation chunk of a longer source string; translate it as that part only; keep-tags <CR>; src-longest-line=49
item:1,、使いすぎるのは避けた方が良さそうだ。,，还是尽量避免过度使用为妙。,translated,58,2484f9c372,br=0 nl=0,7,field is a continuation chunk of a longer source string; translate it as that part only
item:2,。<CR>ただ、お遊び程度にやってみるのはありかも？,。<CR>不过，当作消遣娱乐尝试一下或许也未尝不可？,translated,71,fd6600580c,<CR> br=0 nl=0,7,field is a continuation chunk of a longer source string; translate it as that part only; keep-tags <CR>; src-longest-line=26
item:3,『はじゃちょうかいのみつるぎ』と読む。<CR>イオンとカノンが皇帝から授かった短剣と鈴の片方であり、イオンが受け取ったもの。低い波動を祓い世界の波動を調律する力があるとされる短剣だが、今回作ったのはあくまでもレプリカであり、そういう特別な力はないお守りのようなもののようだ。,读作“破邪澄界之神剑”。<CR>是依恩与卡诺从皇帝处获赐的短剑与铃铛中的一件，由依恩所接收。虽说是相传具备祓除低阶波动、调律世界波动之力的短剑，但这次制作的终究只是一件复制品，并没有那种特殊的力量，似乎只是类似护身符一般的物品。,translated,404,ca7570c686,<CR> br=0 nl=0,2,keep-tags <CR>; src-longest-line=137
item:4,『不変』の意味を持つ、<CR>ラシェーラの花の名を冠したＲＮＡ。<CR>様々な物質の安定化に優れており、環境の変化に高い耐性をもつことができる。大気の薄い地域や寒暖の差が激しい地域はもちろん、宇宙空間や深海探査用などに使われる機械に用いられることが数多くある。,冠以蕴含“不变”之意的<CR>拉榭拉花之名的RNA。<CR>在稳定各种物质方面极为优秀，能对环境变化拥有很高的耐性。不仅适用于空气稀薄地区或温差悬殊剧烈的地区，在宇宙空间与深海探测等用途的机械中也有诸多应用。,translated,375,8598d2135d,<CR> <CR> br=0 nl=0,7,keep-tags <CR>; src-longest-line=130
item:5,『宇宙』と来るとつい怪獣や生物と付けたくなってしまうが、これはサラダである。見た目は極普通だが、食べると重力から解放されたような気分を味わうことができてしまう。<CR>この現象から宇宙と名付けられたが、使われているのはありふれた野菜であり、このような気分になる原因は謎である。,一提到“宇宙”，便总让人不由自主想联想到怪兽或生物，但这其实是一道沙拉。外观极其普通，但吃下去后却能体验到仿佛从重力中解脱出来一般的美妙感觉。<CR>虽然由此现象被命名为宇宙，但使用的却尽是些普通平凡的蔬菜，为何会产生这种感觉其原因至今仍是个谜。,translated,407,b615eb607c,<CR> br=0 nl=0,3,keep-tags <CR>; src-longest-line=138
item:6,『循環』の意味を持つ、<CR>ラシェーラの花の名を冠したＴｘＢＩＯＳ。<CR>『ひなぴな』とは、小鳥の羽毛のような花弁をもつ花であり、ひなぴなくらすの中にはそれを模した羽のようなものが入っている。<CR>ラシェーラでは極一般的な花のようだが、なぜかイオンの家の近くには咲いていないらしい。,冠以蕴含“循环”之意的<CR>拉榭拉花之名的TxBIOS。<CR>所谓“雏雏”，是一种拥有宛如雏鸟羽毛般花瓣的花朵，雏雏级之中便装有仿照其形态制成的羽毛状物体。<CR>在拉榭拉似乎是非常普通普遍的花，但不知为何在依恩家附近好像并没有盛开。,translated,409,811897342c,<CR> <CR> <CR> br=0 nl=0,7,keep-tags <CR>; src-longest-line=144
item:7,『技巧』という意味を持つラシェーラの花の名を冠したカソード。<CR>強力な出力や長大な持久力は持たない代わりに変化に富んだ能力を持つ。<CR>その特性を利用して多種の波長を扱う箇所に利用されることが多く、汎用性の高さでは他のカソードと一線を画する。,冠以蕴含“技巧”之意的拉榭拉花之名的阴极。<CR>虽不具备强大的输出与持久的耐力，取而代之的是拥有富于变化的能力。<CR>凭借这一特性，多被应用于需要处理多种波长的部位，其极高的泛用性令其他阴极望尘莫及。,translated,357,9dca577913,<CR> <CR> br=0 nl=0,7,keep-tags <CR>; src-longest-line=124
item:8,『重可変型Ｔｚ媒体特殊加工金属』の略称で、加工法により重力が変化する特殊金属のことである。<CR>主に照射するＴｚ波を加える時間によって変化する。加工法そのものは確立しており有用性も高いが、この金属自体が希少であり、<CR>ラシェーラにおいても使用されることは稀のようである。,是“重力可变型Tz介质特殊加工金属”的简称，指的是能根据加工方法改变重力的特殊金属。<CR>主要依据照射Tz波施加的时长产生变化。加工方法本身已经确立且实用价值极高，但由于这种金属本身极其稀有，<CR>即便在拉榭拉似乎也极少被使用。,translated,399,27bf9b3412,<CR> <CR> br=0 nl=0,5,keep-tags <CR>; src-longest-line=138
item:9,あつあつダブル,热气腾腾双层,translated,22,2a63350b12,br=0 nl=0,12,
item:10,あつあつ？,热气腾腾？,translated,16,dcea9fce4b,br=0 nl=0,12,
item:11,あの頃の思い出？,那时的回忆？,translated,25,f85de5f94a,br=0 nl=0,1,
item:12,あまあま？,甜甜的？,translated,16,d524e27637,br=0 nl=0,12,
item:13,ある。,有。,translated,127,32e7710355,br=0 nl=0,28,
item:14,い。,好。,translated,7,d9324d1fdf,br=0 nl=0,88,
item:15,いかめしの内側にご飯の代わりにたこ焼きを入れることで、弾力のあるイカの食感と、内側のモっとした食感、さらに中心部にある<CR>タコの歯ごたえと一口で３つの食感を楽しむことが出来る、夢のような料理。,通过在乌贼饭内部塞入章鱼烧代替米饭，一口下去便能同时享受到充满弹性的乌贼口感、内里松软的质感，以及位于中心位置的<CR>章鱼嚼劲，能一举体验到三种多重口感的如梦幻般的绝品料理。,translated,287,007e3b3528,<CR> br=0 nl=0,12,keep-tags <CR>; src-longest-line=98
item:16,いかも。,也许吧。,translated,157,f3822e205c,br=0 nl=0,20,
item:17,いが強いようだ。,似乎较强。,translated,268,7767b10bac,br=0 nl=0,24,
item:18,いくつもの青紫の粒が集<CR>まった果物。<CR>木ではなく野イチゴのように実がなるため、イオンでも割と簡単に採取できるらしい。<CR>ただこの実を好物としている動物も少なくないため、無事なものを探すのは少し大変なようだ。,由众多蓝紫色颗粒聚集<CR>而成的果实。<CR>并非长在树上而是像野草莓般结出果实，因此据说依恩也能相对轻松地进行采摘。<CR>不过由于喜爱这种果实的动物也不在少数，想要找到完好无损的果实似乎颇费一番功夫。,translated,310,2f5ce478c0,<CR> <CR> <CR> br=0 nl=0,12,keep-tags <CR>; src-longest-line=111
item:19,いた生地が高級品だったのは間違いないだろう。,所使用的布料无疑是高档品。,translated,67,5304573350,br=0 nl=0,14,field is a continuation chunk of a longer source string; translate it as that part only
item:20,いちごのプリマちゃん,草莓首席小姐,translated,36,f0c59f88a0,br=0 nl=0,12,
item:21,いぬみみ,犬耳,translated,13,2c5e27bee6,br=0 nl=0,10,
item:22,いぬみみ？,犬耳？,translated,16,4f50a14909,br=0 nl=0,10,
item:23,いぶき石,气息石,translated,13,0a623069f5,br=0 nl=0,12,
item:24,いようだ。,似乎如此。,translated,16,23096783c6,br=0 nl=0,23,
item:25,いる。,在。,translated,10,ba4294fc24,br=0 nl=0,21,
item:26,うさぎ型の切られたような状態で生る謎のりんごのような果物。<CR>皮で覆われていない部分も腐ることはない。けして他の動物や虫に食われたわけではないという話だが、どうしてこういう形で生っているのか謎の多い果物である。,结出时就仿佛被切成了小兔形状的谜之苹果状果实。<CR>未被果皮覆盖的部分也不会腐烂。据说绝非被其他动物或虫子咬噬所致，但为何会长成这种形状，至今仍是谜团重重的果实。,translated,544,2a1f09c890,<CR> br=0 nl=0,12,keep-tags <CR>; src-longest-line=107
item:27,うさみみ,兔耳,translated,13,c40d1fed7c,br=0 nl=0,10,
item:28,うさみみその２？,兔耳其二？,translated,25,b6e061ebd3,br=0 nl=0,1,
item:29,うさみみバンド？,兔耳发箍？,translated,25,69e95b6c95,br=0 nl=0,1,
item:30,うさみみ？,兔耳？,translated,16,151712d603,br=0 nl=0,10,
item:31,うしにく？,牛肉？,translated,16,2814571f6a,br=0 nl=0,12,
item:32,うだ。,似乎。,translated,10,e22dcb2550,br=0 nl=0,12,
item:33,うに使用されてるようだ。,同样被广泛使用。,translated,283,276c358d28,br=0 nl=0,12,field is a continuation chunk of a longer source string; translate it as that part only
item:34,おうごん？,黄金？,translated,16,5f8a5a0e0d,br=0 nl=0,12,
item:35,おしゃれ小物を作ろうとして出来上がった謎の小物。緑が旦那さんで、青が奥さんのように思えるが本当は逆らしい。<CR>一つ言えることは、作った本人にもおしゃれなのかどうか分からないということだ。,本想制作时髦小饰品却最终成型的谜之小物。看似绿色的是丈夫、蓝色的是妻子，但据说事实恰好相反。<CR>唯一可以确定的是，就连制作它的人本人也不知道这到底算不算得上时髦。,translated,278,8ab15df7d1,<CR> br=0 nl=0,11,keep-tags <CR>; src-longest-line=95
item:36,おしゃれ小物？,时髦小饰品？,translated,36,cec38c6e25,br=0 nl=0,11,
item:37,おしゃれ帽子？,时髦帽子？,translated,22,db165d44f8,br=0 nl=0,10,
item:38,おしゃれ衣装？,时髦服装？,translated,22,8fce732b97,br=0 nl=0,1,
item:39,おふくろスープ？,妈妈牌热汤？,translated,36,800fe2b92d,br=0 nl=0,12,
item:40,おもちもちグラタン,软糯年糕焗菜,translated,28,86e544103e,br=0 nl=0,12,
item:41,おもちゃ？,玩具？,translated,16,20c7546768,br=0 nl=0,8,
item:42,おヒゲのようなものが付いた白い豆。<CR>おヒゲが王様のようなヒゲになってるため“キング”と呼ばれるようになったがもちろん味も良いようだ。<CR>ヒゲの上が赤くなっているが、熱すると段々と赤みが増してくるらしい。,长有宛如胡须般附着物的白豆。<CR>因那胡须形似国王的胡子而被称作“王者”，当然味道也是极佳的。<CR>胡须上方带有红色，据说加热后那份鲜红还会逐渐加深。,translated,303,4d7ec36763,<CR> <CR> br=0 nl=0,10,keep-tags <CR>; src-longest-line=106
item:43,お人形？,人偶？,translated,13,44d4318cff,br=0 nl=0,10,
item:44,お刺身？,刺身？,translated,13,695e7ec6ce,br=0 nl=0,12,
item:45,お姫様？,公主？,translated,13,72708ca4db,br=0 nl=0,12,
item:46,お子様ランチ？,儿童套餐？,translated,22,739fd9a557,br=0 nl=0,4,
item:47,お気楽衣装？,轻松服装？,translated,19,345ae46ad0,br=0 nl=0,1,
item:48,お肉と揚げ物をふんだんに盛り付けた超絶高カロリー定食。<CR>カロリー摂取に関して一切スキの無い出来栄えとなっている。<CR>満腹感とエネルギー補給に最適の料理。脂っこいものに耐性がないと、キツいかもしれない。,大量盛放了肉类与炸物的极高热量套餐。<CR>就卡路里摄入而言堪称毫无破绽的绝品佳作。<CR>最适于获得饱腹感与补充能量的料理。若对油腻食物耐受力不足，吃起来可能会颇为吃力。,translated,300,9d3f3e0b6e,<CR> <CR> br=0 nl=0,9,keep-tags <CR>; src-longest-line=105
item:49,お肉と野菜と、浅めの鉄鍋を使ってダシで煮たもの。お肉は薄切りにして、煮る前に一度さっと焼くと風味が増す。<CR>タレは甘辛く、好みによっての配分を調整するため、家庭によっていろいろと違う味が存在する。,使用浅底铁锅将肉类与蔬菜以高汤熬煮而成的料理。肉切成薄片，在煮之前先快速煎炙一下风味更佳。<CR>酱汁偏甜辣口，可根据喜好调节配比，因此各家各户都拥有各具特色的风味。,translated,293,fd9cccb108,<CR> br=0 nl=0,12,keep-tags <CR>; src-longest-line=100
item:50,お面？,面具？,translated,10,ea39e3faf4,br=0 nl=0,10,
item:51,か。,吗。,translated,7,127db0a8c4,br=0 nl=0,20,
item:52,かき氷たろう君,刨冰太郎君,translated,22,f5f18fb3b5,br=0 nl=0,9,
item:53,かざぐるま？,风车？,translated,19,c25cc35df2,br=0 nl=0,7,
item:54,かつて天文の職員が記したとされる次元論の一部。<CR>書かれている内容が難しくイオンも記憶を頼りに書き綴ったのみである。<CR>また作成できたのが極一部のため、これだけでは書いてある内容を理解するどころか次元論の理解など不可能なようだ。,据传是昔日天文职员所撰写的维度论的一部分。<CR>其中所记录的内容极其深奥，依恩也仅仅是凭借模糊的记忆勉强誊写下来而已。<CR>而且所复原的仅仅是极其微小的一部分，单凭这些别说是读懂其中的内容，想要理解维度论简直是天方夜谭。,translated,339,3b9d0b4ae7,<CR> <CR> br=0 nl=0,5,keep-tags <CR>; src-longest-line=118
item:55,かつて皇帝に仕え、宮城に住んでいた者のみが使用を許されていたカソード。<CR>『信頼』と『誠実』の意味を持つカソードであり、まさに皇帝に信頼された証といえるカソードだが、その性能に特出したものがあるわけではない。皇帝に信頼されている、ということこそ、このカソードの価値なのだろう。,昔日唯有侍奉皇帝、居住在皇宫之中的人员方被特许使用的阴极。<CR>具有蕴含“信赖”与“诚实”之意的阴极，堪称真正获得皇帝信赖的明证，但在性能上并没有特别出类拔萃之处。能获得皇帝的信赖，正是此阴极的真正价值所在吧。,translated,414,6a26981d72,<CR> br=0 nl=0,2,keep-tags <CR>; src-longest-line=140
item:56,かつて開いていた幻のゲートを潜り抜けたエージェントのみが手にする事が出来る白銀に輝く聖衣。<CR>ＰＭ１－Ｇ－ＶＴＲＮと対になっている様で、こちらは最後まで共に走り抜いたエージェントに贈呈される真のエリートの証である。<CR>”Ｍａｙ　ｙｏｕ ｂｅ<CR>　　　ｂｌｅｓｓｅｄ！”,唯有穿越昔日曾经敞开的幻之大门的特工方能获赐的闪烁白银光辉的圣衣。<CR>似乎与PM1-G-VTRN成对存在，这一件是赠予携手并肩奔驰至终点的特工的真正精英之证明。<CR>“May you be<CR>　　　blessed！”,translated,395,1d9288c9a8,<CR> <CR> <CR> br=0 nl=0,1,keep-tags <CR>; src-longest-line=140
item:57,かぼちゃ,南瓜,translated,13,9c24f5bf45,br=0 nl=0,11,
item:58,かぼちゃがゆ？,南瓜粥？,translated,22,e7a7c1a718,br=0 nl=0,11,
item:59,かぼちゃリゾット,南瓜意式炖饭,translated,25,7be572d2a4,br=0 nl=0,11,
item:60,かわいいエプロン？,可爱围裙？,translated,36,f725da86f7,br=0 nl=0,1,
item:61,かわいい人形？,可爱人偶？,translated,22,2f691d4ac6,br=0 nl=0,8,
item:62,かわいらしい色と装飾が<CR>特徴的なイオンの衣装。<CR>材料にキノコが使われて<CR>いるが、それは一体どこに使われてどこに消えてしまったのだろう？<CR>もしかしたら、繊維の中にキノコが編み込まれているのかもしれない。<CR>セットで作られたアクセサリーと一緒に身に着けることで、よりかわいくなる。,以可爱色彩与装饰为<CR>显著特征的依恩的服装。<CR>虽然材料中使用了蘑菇，<CR>但那究竟用在了哪里、又消失到何处去了呢？<CR>说不定蘑菇已经被织入了纤维之中。<CR>与配套制作的饰品一同佩戴，会显得更加可爱。,translated,540,edaf6d36b3,<CR> <CR> <CR> <CR> <CR> br=0 nl=0,10,keep-tags <CR>; src-longest-line=152
item:63,かんざし？,发簪？,translated,16,a0c0b8d00a,br=0 nl=0,5,
item:64,ができる。,能够实现。,translated,16,c52ef592c4,br=0 nl=0,12,
item:65,が難しい。,较为困难。,translated,17,db58b83fbc,br=0 nl=0,3,
item:66,きぐるみ？,玩偶服？,translated,16,fd23051c82,br=0 nl=0,7,
item:67,きつねのお面,狐狸面具,translated,19,d085d89a9e,br=0 nl=0,10,
item:68,きらきら星？,闪烁之星？,translated,19,d489529602,br=0 nl=0,10,
item:69,くしゃみで粉を飛ばす,打喷嚏把粉吹飞,translated,36,c7b35f911d,br=0 nl=0,1,
item:70,くすんだ紫色の野菜だが、熱を加えることで主成分の一部が変性し、鮮やかな赤色になることからこの名がつけられた。<CR>また変性と同時に甘みが増すため、基本的には温かいスープや温野菜などにして食されることが多い。また寒く乾燥した場所でも育つため、その昔、寒冷地では重宝していたようだ。,虽是暗紫色的蔬菜，但加热后主要成分的一部分会发生变性，转变为鲜艳的红色，由此得名。<CR>并且随着变性的同时甜味也会增加，因此基本上多被做成热汤或温蔬菜等食用。此外由于在寒冷干燥的场所也能生长，在过去似乎在寒冷地区备受珍视。,translated,413,a42dd0b408,<CR> br=0 nl=0,5,keep-tags <CR>; src-longest-line=140
item:71,くちづけ石,接吻石,translated,16,909964744c,br=0 nl=0,12,
item:72,くなる。,变得。,translated,136,4ff65be4b0,br=0 nl=0,9,
item:73,くのも良いかもしれない。,或许也挺不错的。,translated,247,6b40165236,br=0 nl=0,11,field is a continuation chunk of a longer source string; translate it as that part only
item:74,こうもりハット,蝙蝠帽子,translated,22,f6f79eaa22,br=0 nl=0,1,
item:75,こってり定食？,浓郁套餐？,translated,22,63071a098a,br=0 nl=0,9,
item:76,こってりＩＮバーグ,浓郁夹心汉堡肉,translated,28,63ede6756b,br=0 nl=0,12,
item:77,こんいろの水着,深蓝色的泳装,translated,22,dfb60258d9,br=0 nl=0,6,
item:78,こんいろ水着の色を白にした水着。<CR>色以外の性質は全てこんいろ水着と同じのため、強靭かつ保温性に優れた高性能水着であることは間違いないが、色が白のため透けるかもしれないとイオンも不安に思っているようだ。<CR>ただ、もし透けるのであれば、水着として機能しないので心配はいらなそうだ。,将深蓝色泳装换成白色的泳装。<CR>除颜色外所有性质均与深蓝色泳装相同，毫无疑问是强韧且保温性出色的高性能泳装，但正因颜色为纯白，依恩似乎也在担心会不会走光透光。<CR>不过要是真的透光，那可就无法当作泳装使用了，所以应该不必担心才对。,translated,414,4da3eaf43e,<CR> <CR> br=0 nl=0,6,keep-tags <CR>; src-longest-line=143
item:79,こんがり焼き魚,焦香烤鱼,translated,22,0e67ca6447,br=0 nl=0,11,
item:80,こんぽた？,玉米浓汤？,translated,16,fb04bae5d7,br=0 nl=0,9,
item:81,さくさくパン？,酥脆面包？,translated,22,b7b8de3591,br=0 nl=0,11,
item:82,さっぱり定食？,清淡套餐？,translated,22,93919a9f51,br=0 nl=0,9,
