id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/chatevent01/bath_a01.txt#4#12,"ん～……気持ちよ過ぎて、
眠くなってきちゃった。","唔――……太舒服了，
我都开始犯困了。",translated,依恩,86cf56f52b,br=0 nl=1,2,
inc/event/res/chatevent01/bath_a01.txt#5#12,"ふぁ～……
ちょっと寝ちゃおうかな？","哈啊――……
稍微睡上一会儿吧？",translated,依恩,507fd3b924,br=0 nl=1,2,
inc/event/res/chatevent01/bath_a01.txt#8#12,"たまには体も頭も洗わないで、
ざぶっと浸かるだけにしたいかも。","偶尔也想身上头上都不洗，
就只是哗啦一下泡进去呢。",translated,依恩,745281502b,br=0 nl=1,2,
inc/event/res/chatevent01/bath_a01.txt#9#12,……って、さすがにそれはマズイかな？,……等等，到底还是那样不太好吧？,translated,依恩,d71abc00f9,br=0 nl=0,1,
inc/event/res/chatevent01/bath_a01.txt#10#12,"汚れた体であなたの前に出るの、
恥ずかしいもん。","带着脏兮兮的身子出现在你面前，
会很害羞的嘛。",translated,依恩,8d85d18865,br=0 nl=1,2,
inc/event/res/chatevent01/bath_a01.txt#13#12,"お風呂で寝ると溺れるっていうけど、
それなら顔が沈まない程度にお湯を
減らせば大丈夫だよね？","虽然听说在浴缸里睡着会溺水，
但只要把热水减少到脸不会沉下去的程度，
就没问题了吧？",translated,依恩,aeacc75194,br=0 nl=2,3,
inc/event/res/chatevent01/bath_a01.txt#14#12,……今度試してみようかな？,……下次试着试试看吧？,translated,依恩,53724f5cb0,br=0 nl=0,1,
inc/event/res/chatevent01/bath_a01.txt#22#12,ん～、いい気持ちー……。,嗯――好舒服哦――……,translated,依恩,7d4779df83,br=0 nl=0,1,
inc/event/res/chatevent01/bath_a01.txt#23#12,よかったら、あなたも一緒にどう？,如果可以的话，你也一起泡怎么样？,translated,依恩,2174f07554,br=0 nl=0,1,
inc/event/res/chatevent01/bath_a01.txt#24#12,なんてね、えへへ……冗談だよ。,开玩笑啦，诶嘿嘿……逗你玩的。,translated,依恩,5b203a0ab8,br=0 nl=0,1,
inc/event/res/chatevent01/bath_a01.txt#27#12,"お風呂って疲れを癒すっていうよりは、
一日の疲れを眠気に変えてるんじゃないか、
って思うの、わたしだけかな？","泡澡比起说是消除疲劳，
不如说是把一天的疲劳转化成了困意吧，
这么想的只有我一个人吗？",translated,依恩,ca95b82bd5,br=0 nl=2,3,
inc/event/res/chatevent01/bath_a01.txt#28#12,"だってお風呂に入る前は、疲れたー、って
思うだけなのに、お湯に浸かると途端に
眠気が襲ってくるんだもん。","因为在泡澡之前明明只是觉得好累啊――
可一泡进热水里，
困意立刻就排山倒海地袭来了嘛。",translated,依恩,6ec8915048,br=0 nl=2,3,
inc/event/res/chatevent01/bath_a01.txt#29#12,"案外、間違ってないような
気がするけど……どうかな？","总觉得说不定并没有说错呢……
你觉得呢？",translated,依恩,eeb72737e3,br=0 nl=1,2,
