id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/endingevent/ciel_ending02.txt#4#12,あっ……。,啊……,translated,依恩,d5cb2d065d,br=0 nl=0,1,
inc/event/res/endingevent/ciel_ending02.txt#11#12,ねぇ……いる？,呐……你在吗？,translated,依恩,bfb4b0d3e4,br=0 nl=0,1,
inc/event/res/endingevent/ciel_ending02.txt#12#12,いたらトントンして？,在的话就敲敲屏幕好吗？,translated,依恩,8650b8bba1,br=0 nl=0,1,
inc/event/res/endingevent/ciel_ending02.txt#16#12,"いないのかな？
少し話したいことがあったんだけど……。","不在吗？
我本来有些话想跟你聊聊的呢……",translated,依恩,251e06c6a6,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#4#12,あのね、少しだけ話したいことがあるの。,那个呀，我有一点事情想跟你说。,translated,依恩,db303a0557,br=0 nl=0,1,
inc/event/res/endingevent/ciel_ending02m.txt#6#12,"ごめんね。
少しだけ話したいことがあったの。","对不起呀。
我稍微有点事情想跟你说呢。",translated,依恩,9cd6c240ee,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#8#12,"実はね、新しい真空管の作り方を
思いついたの。","其实啊，我想到了
一种新型真空管的制作方法哦。",translated,依恩,ff976265bc,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#9#12,"……ううん、違うのかな。
えっと流れ込んできた、とかそういう感じ。","……不对，可能不是想到的吧。
呃，感觉就像是脑海中涌进来的一样。",translated,依恩,af5b6a2eb7,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#10#12,"うまく言えないんだけど、
唐突になにか閃くことってあるでしょ？","虽然我也说不太清楚，
不过有时不是会突然灵光一闪吗？",translated,依恩,bb723dc44b,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#11#12,俯瞰視点の力？,是俯瞰视点的力量？,translated,,57fbde09b3,br=0 nl=0,1,
inc/event/res/endingevent/ciel_ending02m.txt#13#12,"う～ん、そうかもしれないけど、
自分じゃよくわからないかな。","唔～嗯，或许是那样吧，
但我自己其实也看不太明白呢。",translated,依恩,0632cbb3b6,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#14#12,"わたしの場合、無意識に働くことの方が
多いみたいだから……。","因为对我来说，似乎更多时候
都是在无意识中起作用的……",translated,依恩,dade23b8eb,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#15#12,"わかるのは、この真空管がすごく大切なもの
だってことと、作るのが難しいってこと。","我只知道这个真空管是非常非常重要的东西，
而且制作起来也很困难。",translated,依恩,4590966384,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#16#12,"これが何のためのものなのか、
作ってみないと分からない。","这究竟是用来做什么的，
如果不做出来的话我也不清楚。",translated,依恩,c6a0a56334,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#17#12,"でも、あなたが頼んでくれたら、
きっと頑張って作れると思う。","不过，要是你拜托我的话，
我想我一定能鼓起劲做出来的。",translated,依恩,eb2591e21b,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#18#12,"だから、必要だと思ったら遠慮なく
声をかけてね。","所以，如果你觉得有需要的话，
就请尽管跟我开口哦。",translated,依恩,188ef2a88b,br=0 nl=1,2,
inc/event/res/endingevent/ciel_ending02m.txt#20#12,<CLY2>レシピ【特別な真空管？】が追加されました。,<CLY2>已追加配方【特别的真空管？】。,translated,系统文本,06927dea30,<CLY2> br=0 nl=0,1,keep-tags <CLY2>; src-longest-line=27
inc/event/res/endingevent/ciel_ending03_01.txt#3#12,"でき……た……。
ついに完成したんだ。","做……好……了……
终于大功告成了。",translated,依恩,1e71155a1f,br=0 nl=1,2,
