id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/nelico_dateevent/date_nel01.txt#5#12,"ほれほれ、また我が話し相手になりに
来てやったぞ。","喂喂，老身又特地跑过来
当你的聊天对象啦。",translated,妮莉库,38713226a4,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01.txt#9#12,……なんじゃ、おらんのかい。,……搞什么嘛，原来不在啊。,translated,妮莉库,c1f0f6542d,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#10#12,おーーーい。反応せい。,喂――。快点吱个声。,translated,妮莉库,d8656af994,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#12#12,"……やれやれ、仕様がないのぅ。
少し軸をズラしてみるか……。","……哎呀呀，真拿你没办法呐。
试着稍微错开一下坐标轴看看吧……",translated,妮莉库,b9830bf0c7,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01.txt#14#12,お～い、ねりこさんじゃぞ～？,喂～，是妮莉库小姐哦～？,translated,妮莉库,892ed3c37e,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#18#12,……なんじゃ、死んどるんかのう？,……搞什么嘛，真死掉了不成？,translated,妮莉库,50cc5711f9,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#19#12,おーーーい。生きとるなら返事をせい。,喂――！还活着的话就吱个声。,translated,妮莉库,83f117a3c1,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#21#12,"……やれやれ、仕方ない。
また別の機会に来るとするかの……。","……哎呀呀，真没办法。
还是等下次有机会再来吧……",translated,妮莉库,b7539ba4c5,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01.txt#23#12,お～い、またきてやったぞ～。,喂～，老身又来找你啦～,translated,妮莉库,0a7bd3bd1e,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#27#12,"……ふむ。
もしかして死んどるのかの？","……唔。
莫非是死掉了不成？",translated,妮莉库,5e9185b651,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01.txt#28#12,おーーーい。返事をせぃ！,喂――！快回个话啊！,translated,妮莉库,5112c266ec,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01.txt#30#12,"……仕方ないのぅ。
軸をズラしてみるか……。","……真没办法呐。
试着稍微错开一下坐标轴看看吧……",translated,妮莉库,4d0528325d,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#2#12,"<CLBU>おお、ちゃんとおったようじゃな。
安心したぞ。","<CLBU>哦哦，看来你小子确实在呐。
老身这就放心喽。",translated,妮莉库,888e1b9671,<CLBU> br=0 nl=1,2,keep-tags <CLBU>
inc/event/res/nelico_dateevent/date_nel01a.txt#3#12,"それはそうと……少々お前さんに
愚痴りたいことがあっての。","闲话暂且不提……老身其实有点牢骚
想跟你小子吐一吐呐。",translated,妮莉库,13aa5415e9,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#4#12,"おっと、聞きたくない、というのは
却下じゃぞ。","哎呀，你可别想说“不想听”，
抗议无效驳回哦。",translated,妮莉库,0eed087a18,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#5#12,"我としても、本来であればみっともなく
愚痴るようなことはしたくないのじゃ。","站在老身的角度，本来也是不想
如此难看地四处发牢骚的。",translated,妮莉库,5b71424e61,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#6#12,"だが、そうとわかっていてもしないで
いられる状況ではなくての。","但老身明知如此，眼下的情况
却容不得老身不吐不快呐。",translated,妮莉库,19fc55415e,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#7#12,大人なんだから我慢してください,既然是大人了就请忍耐一下嘛,translated,,e8a236ed0e,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#8#12,何があったんですか？,发生什么事了吗？,translated,,6cdcd4d5db,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#10#12,大人である前にレディじゃ！,老身在成为大人之前首先是个淑女！,translated,妮莉库,2f0249fdca,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#11#12,レディの我慢は美容の大敵！,淑女的隐忍可是美容的大敌！,translated,妮莉库,1c9f3c3735,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#12#12,……と、我が今決めた。,……这是老身刚才刚定下的规矩。,translated,妮莉库,4bdc1990fc,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#13#12,"というわけで、我の愚痴に
付き合ってもらうぞぃ。","总而言之，你小子今天就得
老老实实听老身发牢骚哦。",translated,妮莉库,f0c4e9a909,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#16#12,"うぅ、そうやって文句も言わずに
我を気遣ってくれるお前さんの
優しさに、我も涙を流さずにはおれん……。","呜呜，面对你小子毫无怨言、
处处体贴关怀老身的这份温柔，
老身感动得简直要潸然泪下了……。",translated,妮莉库,eed6d0de5d,br=0 nl=2,3,
inc/event/res/nelico_dateevent/date_nel01a.txt#17#12,"とはいえ泣いてたら話も出来ぬのでな、
それはとりあえず置いておくとしよう。","虽说如此，要是哭个不停就没法说话了，
感动的事情就先放一边吧。",translated,妮莉库,a101805920,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#19#12,実はな、とうだいもりのことなんじゃが……。,其实啊，是关于灯塔守那丫头的事……。,translated,妮莉库,2954273617,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#20#12,"あやつ、相変わらず我の店に来ては
お前さんとの惚気話をしていきよるのじゃ。","那丫头，还是跟以往一样每次跑来老身的店里，
就大肆炫耀秀恩爱讲你俩的事呐。",translated,妮莉库,eed566fe01,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#21#12,"正直に言うと、もう聞き飽きて
何も感じぬと思ってはいたのじゃが……。","说句老实话，老身本以为自己早就听腻了，
内心早已波澜不惊了……。",translated,妮莉库,409e34aa03,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#22#12,"……まあ、とうだいもりの
若さに当てられたのかの？","……嘛，大概是被灯塔守那丫头的
青春活力给感染了吧？",translated,妮莉库,ba11001ccd,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#23#12,"たまには我もデートをしてみたいのぉ、
なんて思ってしまったわけじゃ。","老身居然也忍不住琢磨起，
偶尔自己也想去约个会看看呐。",translated,妮莉库,bc17a66458,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#24#12,"はぁ……子供じゃあるまいし、
こんなことを思うようになるとは……。","哈啊……又不是毛头小鬼，
居然还会产生这种念头……。",translated,妮莉库,6582cfa111,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#25#12,"自分で思っているよりも、大人になりきって
おらんのかもしれんのぉ……。","说不定老身远没有自己以为的那样
彻底成熟独立呐……。",translated,妮莉库,8d2b743ed7,br=0 nl=1,2,
inc/event/res/nelico_dateevent/date_nel01a.txt#26#12,じゃあ、海でデートしようよ,那就去海边约会吧,translated,,d0c2ec47bd,br=0 nl=0,1,
inc/event/res/nelico_dateevent/date_nel01a.txt#28#12,たわけ！！,蠢材！！,translated,妮莉库,5772a74143,br=0 nl=0,1,
