id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/soineevent/soine_00.txt#4#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#10#12,（むにゃ…）,（呜喵……）,translated,依恩,e257beed1f,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#15#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#21#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#27#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#38#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#45#12,むにゃ…,呜喵……,translated,依恩,bc67521faf,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#49#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#53#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#61#12,（　…　……　すぅ…）,（　…　……　呼……）,translated,依恩,7fca0b3772,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#69#12,（うーん…　…あ……）,（唔……　……啊……）,translated,依恩,071306fbc9,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#71#12,たいへん…ちょっと寝過ぎちゃった。,糟了……好像稍微睡过头了。,translated,依恩,53e451b67f,br=0 nl=0,1,
inc/event/res/soineevent/soine_00.txt#72#12,"…あなたは、まだ寝てるのかな？
ごめんね、わたし、起きるね。","……你还在睡着吗？
对不起哦，我先起床啦。",translated,依恩,2107c7d36a,br=0 nl=1,2,
inc/event/res/soineevent/soine_00a.txt#18#12,"じゃじゃ～ん♪
えへへ。","锵锵～♪
嘿嘿。",translated,依恩,887b7c67eb,br=0 nl=1,2,
inc/event/res/soineevent/soine_00a.txt#19#12,それじゃ、寝よっか。,那么，我们准备睡觉吧。,translated,依恩,397249fd64,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#3#12,<CLBU>…どうしたの？,<CLBU>……怎么了吗？,translated,依恩,6ec90f4173,<CLBU> br=0 nl=0,1,keep-tags <CLBU>
inc/event/res/soineevent/soine_00t.txt#5#12,イオンと話す,和依欧聊天,translated,,3de543abf3,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#6#12,歌を歌って欲しい,想听你唱歌,translated,,664aeb503b,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#7#12,お話を聞かせて欲しい,想听你讲讲故事,translated,,3ba2369a2a,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#8#12,もう起きる,该起床了,translated,,113c8151da,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#9#12,なんでもない…,没什么……,translated,,48c666df5b,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#12#12,あれ？　寝ちゃった…のかな？,咦？是睡着了……吗？,translated,依恩,2d15056f4f,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#19#12,お疲れ様。ゆっくり休もうね。,辛苦啦。好好休息一下吧。,translated,依恩,61a4792da7,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#21#12,なんか時間が経つのが早いね。,总觉得时间过得好快呀。,translated,依恩,de5e632023,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#23#12,いい夢、見られるといいなぁ～。,希望你能做一个好梦呢～,translated,依恩,257dd581f4,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#25#12,"えへへ、ちょっと恥ずかしいけど、
こうやって寝るの、なんかいいね。","嘿嘿，虽然稍微有点害羞，
但像这样一起入睡感觉真好呢。",translated,依恩,f443a1a588,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#27#12,ねぇ、起きたらどんなお話しようか。,我说，等醒来之后我们聊些什么好呢？,translated,依恩,fcd3b8927a,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#28#12,えへへ、今から楽しみだな。,嘿嘿，从现在开始就好期待啦。,translated,依恩,5824f3e8e1,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#30#12,"寝てる間に、へ、変なことしちゃ
ダメなんだからね。","趁我睡着的时候，可、可不准
对我动手动脚做奇怪的事哦！",translated,依恩,876d6d8ef2,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#32#12,次はどんなことしてみようかな……。,下次尝试着做点什么好呢……,translated,依恩,b6bf4ea3df,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#33#12,"あなたが来てから、いろんなことが
うまくいきそうな気がするの。","自从你来到这里之后，
我总觉得很多事情都会进展顺利呢。",translated,依恩,935905d486,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#35#12,えへへ、なんか安心する。,嘿嘿，总觉得好安心呀。,translated,依恩,bd4e9b4ce3,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#37#12,端末って不思議……。,终端机真是不可思议……,translated,依恩,9e91cd2933,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#38#12,"こうしてると本当にそばにいてくれる
みたいな感覚があるよ。","像这样待在一起，就真的感觉
你仿佛正陪伴在我的身边一样呢。",translated,依恩,9fb5394f53,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#40#12,"こうやって二人で眠れるのは
嫌じゃないけど……。","像这样两个人一起入睡，
虽然我并不讨厌啦……",translated,依恩,d2c40c42e0,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#41#12,なんか、ちょっと恥ずかしい……かな。,但总觉得……还是稍微有点害羞吧。,translated,依恩,b815e19a77,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#45#12,歌を歌ってほしいの？,想让我唱歌给你听吗？,translated,依恩,205a8a982f,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#46#12,じゃあその……少しだけ。,那那个……就唱一小会儿哦。,translated,依恩,a9f85cbb70,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#47#12,"おやすみ～♪　今日もたくさ～ん♪
ありが～とう♪","晚安啦～♪　今天也超～级♪
感～谢你♪",translated,依恩,050aec5c83,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#48#12,"ステキな～夢～を～見られ～
ますよ～おに～♪","祝愿～你～能够～做个～
美～丽的～好梦～♪",translated,依恩,a7a85164c6,br=0 nl=1,2,
inc/event/res/soineevent/soine_00t.txt#55#12,うん、それじゃ、起きよっか。,嗯，那么，我们起床吧。,translated,依恩,4d04f248a0,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t.txt#78#12,ん……。,唔……,translated,依恩,5c55b9880a,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#3#12,もう、頭突かないで。,真是的，别戳我的头啦。,translated,依恩,2c46e7fef0,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#4#12,なんかくすぐったいよ～。,感觉有点痒痒的啦～。,translated,依恩,d1e9ac86ea,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#7#12,もう、眠れないってば。,真是的，这样人家睡不着啦。,translated,依恩,2ae6430ded,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#8#12,お話はまた明日しようね。,聊天等明天再聊吧。,translated,依恩,0c046dd767,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#11#12,うぅ、ごめんねぇ。,呜呜，对不起嘛。,translated,依恩,e22c01754b,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#12#12,眠いからお話はまた明日にしよ～……。,我好困，聊天留到明天再说吧～……,translated,依恩,377ae61efd,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#16#12,ね、ねぇ……。,那、那个……,translated,依恩,3be9b8412e,br=0 nl=0,1,
inc/event/res/soineevent/soine_00t2.txt#17#12,顔を突かれると気になって眠れないよ。,脸被你戳着总会在意得睡不着觉。,translated,依恩,f9be732aeb,br=0 nl=0,1,
