id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dayseventex/day04_07.txt#6#12,"あ、そういえば、前に蒔いたお花の種から芽が
出てきたの。","啊，说起来，之前播种的花种
发芽了呢。",translated,依恩,2dca1c1edf,br=0 nl=1,2,
inc/event/res/dayseventex/day04_07.txt#7#12,"聞いてたより芽が出るのが遅かったから、
もしかしたら、失敗したんじゃないかって
ちょっと不安で……。","比听说的发芽时间要晚，
我还稍微有点担心，
想着会不会失败了呢……",translated,依恩,49a6c7e5b8,br=0 nl=2,3,
inc/event/res/dayseventex/day04_07.txt#8#12,根気が大事,耐心很重要,translated,,fdec9622d2,br=0 nl=0,1,
inc/event/res/dayseventex/day04_07.txt#9#12,"でも、なんとか無事に育ってるみたいで
よかったよ。","不过总算顺利生长起来了，
太好了呢。",translated,依恩,7751e1d9fc,br=0 nl=1,2,
inc/event/res/dayseventex/day04_07.txt#10#12,やっぱり慣れてないことって大変だね。,不习惯的事情果然很不容易呢。,translated,依恩,77a0058659,br=0 nl=0,1,
inc/event/res/dayseventex/day04_07.txt#19#12,"うん、そうだね。
小まめに手入れをしたり、水をあげたり、
根気がいるみたい。","嗯，是啊。
经常去照料、给它浇水什么的，
好像确实需要耐心呢。",translated,依恩,413fe1098f,br=0 nl=2,3,
inc/event/res/dayseventex/day04_07.txt#20#12,"けど今回みたいに頑張った結果が
ちゃんと出たら、やっぱり嬉しいよね。","不过像这次一样努力得到了好成果，
果然还是会很开心呢。",translated,依恩,c5b96952e5,br=0 nl=1,2,
inc/event/res/dayseventex/day04_07.txt#21#14,"蒔いたお花の種が芽を
出してくれた♪","播种的花种
发芽了♪",translated,,bde92fd17d,br=0 nl=1,2,
inc/event/res/dayseventex/day05_13.txt#6#12,ねぇ、好きなお花とかってあるかな？,呐，你有什么喜欢的花吗？,translated,依恩,4751f12ba9,br=0 nl=0,1,
inc/event/res/dayseventex/day05_13.txt#7#12,どうして？,为什么？,translated,,005edb699e,br=0 nl=0,1,
inc/event/res/dayseventex/day05_13.txt#8#12,花に興味はない,对花没什么兴趣,translated,,e3a2b3153e,br=0 nl=0,1,
inc/event/res/dayseventex/day05_13.txt#11#12,"えっと……せっかくお花育ててるんだし、
次はあなたが好きそうなのにしようかなって。","那个……好不容易在种花，
我就想着下次选你可能会喜欢的花种。",translated,依恩,d7629b32e3,br=0 nl=1,2,
inc/event/res/dayseventex/day05_13.txt#12#12,"家の外に持っていけるようになったとき、
できればあなたにも見てほしいし……。","等以后能搬到屋外去的时候，
我也希望能让你看一看嘛……",translated,依恩,c400a5f5b4,br=0 nl=1,2,
inc/event/res/dayseventex/day05_13.txt#13#12,迷惑、だったかな？,会觉得困扰吗？,translated,依恩,f61cc65fb9,br=0 nl=0,1,
inc/event/res/dayseventex/day05_13.txt#14#12,そんなことない,不会困扰,translated,,17a77b07ea,br=0 nl=0,1,
inc/event/res/dayseventex/day05_13.txt#17#12,"よかったぁ。それじゃあ、好きなお花が
あったら教えてね。","太好了。那你要是有喜欢的花，
记得告诉我哦。",translated,依恩,a59919a894,br=0 nl=1,2,
