id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/nelicoevent/ta_nel01.txt#4#12,お～い、またきてやったぞ～。,喂～，老身又来找你啦～,translated,妮莉库,0a7bd3bd1e,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel01.txt#8#12,"……ふむ。
もしかして死んどるのかの？","……唔。
莫非是死掉了不成？",translated,妮莉库,5e9185b651,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel01.txt#9#12,おーーーい。返事をせぃ！,喂――！快回个话啊！,translated,妮莉库,5112c266ec,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel01.txt#11#12,"……仕方ないのぅ。
軸をズラしてみるか……。","……真没办法呐。
试着稍微错开一下坐标轴看看吧……",translated,妮莉库,4d0528325d,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02.txt#4#12,お～い、ねりこさんじゃぞ～？,喂～，是妮莉库小姐哦～？,translated,妮莉库,892ed3c37e,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02.txt#8#12,……なんじゃ、死んどるんかのう？,……搞什么嘛，真死掉了不成？,translated,妮莉库,50cc5711f9,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02.txt#9#12,おーーーい。生きとるなら返事をせい。,喂――！还活着的话就吱个声。,translated,妮莉库,83f117a3c1,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02.txt#11#12,"……やれやれ、仕方ない。
また別の機会に来るとするかの……。","……哎呀呀，真没办法。
还是等下次有机会再来吧……",translated,妮莉库,b7539ba4c5,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#2#12,"<CLBU>おっ、ちゃんとおったようじゃな。
感心感心。","<CLBU>哦，看来你确实还在嘛。
值得夸奖，值得夸奖。",translated,妮莉库,219caeff13,<CLBU> br=0 nl=1,2,keep-tags <CLBU>
inc/event/res/nelicoevent/ta_nel02a.txt#3#12,"どうじゃ？
とうだいもりとの生活は満足しとるか？","怎么样呀？
和灯塔守的生活过得还算满意吗？",translated,妮莉库,f54b1838e6,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#4#12,満足してる,很满意,translated,,4f6b9cef2b,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#5#12,もっといろんなことをしたい,想一起做更多各种各样的事,translated,,0fd753bf8f,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#7#12,"むっふっふ。
それは何よりじゃな。","哼哼哼。
那可真是再好不过了呢。",translated,妮莉库,5a37594265,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#8#12,"あやつもおぬしと出会ってから
一等幸せそうじゃ。
我も楽しませてもらっておるよ。","那丫头自从遇到你之后，
看起来也是最幸福不过了。
老身也跟着大饱眼福看得很开心呢。",translated,妮莉库,67f8a0d072,br=0 nl=2,3,
inc/event/res/nelicoevent/ta_nel02a.txt#12#12,なんじゃ、満足しとらんのか。,搞什么嘛，难道不满意吗？,translated,妮莉库,47a213193d,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#13#12,"まぁ、こんなカメラごしの関係では
満足できないのも分からんでもないがの。","不过隔着这么个摄像头般的关系，
会觉得不满足老身倒也不是不能理解就是了。",translated,妮莉库,2b7b742c0a,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#16#12,"まぁ、なんだかんだ言っても、
あやつにとっておぬしは心のより所じゃ。","不过不管怎么说，
对那丫头来说你都是心灵的寄托。",translated,妮莉库,f27c7086be,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#17#12,"記憶を失ってからは、
我以外の人間と会話もしとらんからの。","毕竟自从她失去记忆以来，
就根本没和老身以外的人类交谈过呢。",translated,妮莉库,1848c96275,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#18#12,"挙動不審になったり、時々で人が変わった
ようになるのは許してやって欲しい。","她要是举止可疑，或者偶尔像变了个人
一样的话，还希望你能多体谅体谅她。",translated,妮莉库,e839442ff1,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#19#12,あんまり気にしてない,我倒没怎么介意,translated,,88bb7f235e,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#20#12,イオンがよく分からない,我不太搞得懂依恩,translated,,af109780f0,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#22#12,"はっはっ。
おぬしはなかなか男気があるようじゃな。","哈哈。
你小子看来还挺有男子气概的嘛。",translated,妮莉库,e179913223,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#23#12,それとも鈍感の方かの？,还是说纯粹只是迟钝而已呢？,translated,妮莉库,8da0eeb5d7,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#27#12,"むっふっふ。
今のセリフ、我があやつにちくったら
どうなるかのう？","哼哼哼。
要是老身把你刚才这句台词捅给那丫头，
不知道会发生什么事呢？",translated,妮莉库,6d1e2fa7ca,br=0 nl=2,3,
inc/event/res/nelicoevent/ta_nel02a.txt#28#12,"……正直なところ、
おぬしの気持ちも分からんでもないがの。","……说句大实话，
你的心情老身倒也不是不能体会就是了。",translated,妮莉库,29225adaee,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#31#12,"さて、この話は始めるとキリがないからの。
今は横に置いとくぞ。","好啦，这个话题要是扯起来可没完没了，
现在就先搁一边吧。",translated,妮莉库,09138197b1,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#32#12,"察するにおぬし、我に聞きたいことが
あるんじゃないかの？","依老身看来，你是不是
有什么事情想问老身呀？",translated,妮莉库,7fafaba18e,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#33#12,雑貨屋での違和感について聞く,询问在杂货铺感受到的违和感,translated,,a574e8ff25,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#35#12,ふむ。やはりおぬしには話しおったか。,唔。那丫头果然还是跟你说了啊。,translated,妮莉库,9fffa1775d,br=0 nl=0,1,
inc/event/res/nelicoevent/ta_nel02a.txt#36#12,"とうだいもりは我に隠しているつもりの
ようじゃが全然隠せておらんでの。","灯塔守那丫头自以为瞒得天衣无缝，
但在老身眼里根本就漏洞百出呢。",translated,妮莉库,e85f21c558,br=0 nl=1,2,
inc/event/res/nelicoevent/ta_nel02a.txt#37#12,"店に来るたびに調子が悪そうな顔をしてて
バレないとでも思ってるのかのう。","每次来店里都摆出一副不太舒服的脸色，
难道还真以为能瞒得过老身吗。",translated,妮莉库,686b9aa645,br=0 nl=1,2,
