id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/cafeevent/nl_item_event024.txt#2#12,"今まで覚えた料理を元にレシピブックを
作ってみたの。","我根据目前为止学会的料理，
试着做了一本配方书哦。",translated,依恩,dadfb945a3,br=0 nl=1,2,
inc/event/res/cafeevent/nl_item_event024.txt#3#12,"これを作ってて整理整頓の大切さが
すごく分かった気がするよ。","在做这本书的时候，
我深刻体会到了整理收纳的重要性呢。",translated,依恩,c9ed84d6bc,br=0 nl=1,2,
inc/event/res/cafeevent/nl_item_event024.txt#4#12,"こうやってまとめてみると新しい発見が
あったり、うっかり忘れちゃうことも
なくなるしね。","像这样归纳整理一下，不仅会有新的发现，
而且也不用担心
会稀里糊涂忘掉了呢。",translated,依恩,3c415b94c4,br=0 nl=2,3,
inc/event/res/cafeevent/nl_item_event024.txt#5#12,"まだたくさん料理が作れるわけじゃないけど、
いつかこのレシピブックをいっぱいにできたら
いいなぁ♪","虽然现在能做的料理还不是很多，
不过要是哪天能把这本配方书填满的话，
那就太好啦♪",translated,依恩,7e64ba6e8a,br=0 nl=2,3,
inc/event/res/cafeevent/nl_item_event024.txt#7#14,"レシピブックを
作ったよ♪","制作了
配方书哦♪",translated,,06d5820188,br=0 nl=1,2,
inc/event/res/cafeevent/nl_item_event024.txt#9#14,"レシピブックが
完成したよ♪","配方书
制作完成啦♪",translated,,44b1d3f744,br=0 nl=1,2,
inc/event/res/cafeevent/nl_item_event024.txt#11#14,"レシピブックの
作成完了。
次は何を作ろうかな♪","配方书
制作完成。
下次要做点什么好呢♪",translated,,b1b90f37ac,br=0 nl=2,3,
inc/event/res/cafeevent/nl_item_event024.txt#13#14,"レシピブックが
できたよ♪","配方书
做好啦♪",translated,,0ab58101ab,br=0 nl=1,2,
inc/event/res/cafeevent/recipebook01.txt#1#12,これ、この前に作ったレシピブック？,这个，是之前做的那本配方书？,translated,依恩,561560bc4e,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#2#12,"……まだまだ数が少なくて本っていうよりも、
お店のメニューリストって感じだよね。","……收录的数量还太少，比起书来，
感觉更像店里的菜单列表呢。",translated,依恩,247d25c3dc,br=0 nl=1,2,
inc/event/res/cafeevent/recipebook01.txt#3#12,"そうだ！
ねえ、カフェに行ってみない？","对啦！
我说，要不要去咖啡馆看看？",translated,依恩,a98f4d8df2,br=0 nl=1,2,
inc/event/res/cafeevent/recipebook01.txt#4#12,"あそこならたくさん料理があるし、
何か参考になるかもしれないから。","那里有很多各种各样的料理，
说不定能作为参考呢。",translated,依恩,3423886f3c,br=0 nl=1,2,
inc/event/res/cafeevent/recipebook01.txt#5#12,その……どうかな？,那个……你觉得怎么样？,translated,依恩,c2b567b53c,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#6#12,いいよ,好啊,translated,,b285e3bc27,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#7#12,また今度,下次吧,translated,,e0969d72a9,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#9#12,"あらら……残念。
それじゃ、また今度行こうね。","哎呀……真遗憾。
那我们下次再去吧。",translated,依恩,17d55a82b1,br=0 nl=1,2,
inc/event/res/cafeevent/recipebook01.txt#14#12,本当？　やった！,真的吗？太好啦！,translated,依恩,9290ef86be,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#15#12,これも、デートってことになるのかな？,这算不算是去约会呢？,translated,依恩,e32f2c8307,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#16#12,それじゃ、いこっか！,那么，我们出发吧！,translated,依恩,4cbc2d7d5d,br=0 nl=0,1,
inc/event/res/cafeevent/recipebook01.txt#18#12,とうちゃくー。,到达目的地啦～。,translated,依恩,67817645dc,br=0 nl=0,1,
