id,jp,zh,status,attr,src,ctl,note
ui/ui/asave/uil_saveload.xml#831,セーブ,存档,translated,text,05c0686726,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#926,セーブ,存档,translated,text,05c0686726,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#3033,更新日,更新日期,translated,text,3f6ab96adb,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#3264,アースタイム,地球时间,translated,text,5184808b15,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#3498,シェルタイム,榭鲁时间,translated,text,792cd65e9d,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#3736,夢セカイ進行状況,梦世界进展情况,translated,text,f19dbe58a8,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#3974,現在のイオン,当前的依恩,translated,text,f4e4c260ad,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#4208,あなたとの関係,与你的关系,translated,text,b94fcdb7c0,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#4447,ラブラブ,亲亲密密,translated,text,e38e98657a,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#4682,シャール保有数,夏尔持有数,translated,text,cb596fcbba,br=0 nl=0,
ui/ui/asave/uil_saveload.xml#4924,仮想世界カード,虚拟世界卡片,translated,text,622fa7144e,br=0 nl=0,
ui/ui/asave/uil_saveload_dialog.xml#774,このセーブデータをロードしますか？,要读取此存档数据吗？,translated,text,25d5ad4f49,br=0 nl=0,
ui/ui/cieldx/uil_dream_cmn_caption.xml#745,チェックON/OFF切り替え,勾选ON/OFF切换,translated,text,8dfcb6d623,br=0 nl=0,
ui/ui/cieldx/uil_genomix.xml#1187,■CODEを入力してください,■请输入CODE,translated,text,9735d36b7a,br=0 nl=0,
ui/ui/cieldx/uil_genomix.xml#1376,←→で枠を選択  ↑↓で数字を入力,←→选择方框  ↑↓输入数字,translated,text,da4abbdfdb,br=0 nl=0,
ui/ui/cieldx/uil_genomix.xml#2000,入,入,translated,text,4a8d065902,br=0 nl=0,
ui/ui/cieldx/uil_genomix.xml#2102,力,力,translated,text,a81c2ab80e,br=0 nl=0,
ui/ui/cieldx/uil_genomix.xml#17463,戻る,返回,translated,text,60a1005be6,br=0 nl=0,
ui/ui/cieldx/uil_genomix.xml#17657,決定,确定,translated,text,0f8e5b4de9,br=0 nl=0,
ui/ui/cieldx/uil_make_sharl_caption.xml#745,チェックON/OFF切り替え,勾选ON/OFF切换,translated,text,8dfcb6d623,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#1224,セーブ,存档,translated,text,05c0686726,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#2577,更新日,更新日期,translated,text,3f6ab96adb,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#3405,夢セカイ進行状況,梦世界进展情况,translated,text,f19dbe58a8,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#3680,現在のイオン,当前的依恩,translated,text,f4e4c260ad,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#3947,あなたとの関係,与你的关系,translated,text,b94fcdb7c0,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#4217,ラブラブ,亲亲密密,translated,text,e38e98657a,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#4497,シャール保有数,夏尔持有数,translated,text,cb596fcbba,br=0 nl=0,
ui/ui/cieldx/uil_saveload_base.xml#4784,仮想世界カード,虚拟世界卡片,translated,text,622fa7144e,br=0 nl=0,
ui/ui/cieldx/uil_saveload_list.xml#1185,ああああああああああああああああああああ,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,translated,text,c216672504,br=0 nl=0,
ui/ui/cieldx/uil_saveload_list.xml#1756,新しいセーブデータ,新的存档数据,translated,text,313dafc9fc,br=0 nl=0,
ui/ui/cieldx/uil_title_web_manual.xml#1055,以下のリンクから遊び方や操作方法を確認できます。<CR>スマートフォン・PCなどからご利用ください。,可通过以下链接查看玩法与操作方法。<CR>请使用智能手机、电脑等设备访问。,translated,text,ea3f8f1f8e,<CR> br=0 nl=0,keep-tags <CR>; src-longest-line=50
ui/ui/cieldx/uil_title_web_manual.xml#1552,閉じる,关闭,translated,text,3da5c18551,br=0 nl=0,
ui/ui/cieldx/uil_yomeui_camera.xml#690,カメラ切替,镜头切换,translated,text,a6b08206ea,br=0 nl=0,
ui/ui/common/uil_common_dialog_yome.xml#712,２０文字３行のメッセージ領域あいうえおか\n２行目あいうえおかきくけこさしすせそたち\n３行目あいうえおかきくけこさしすせそたち,２０字３行的消息区域示例一二三四五\n第２行示例一二三四五六七八九十甲乙丙\n第３行示例一二三四五六七八九十甲乙丙,translated,text,199a5e684f,br=0 nl=0,src-longest-line=64
ui/ui/common/uil_common_dialog_yume.xml#696,２０文字３行のメッセージ領域あいうえお,２０字３行的消息区域示例一二三四五,translated,text,6252546909,br=0 nl=0,
ui/ui/common/uil_common_dialog_yume.xml#932,いいえ,否,translated,text,f901585367,br=0 nl=0,
ui/ui/common/uil_common_dialog_yume.xml#1129,はい,是,translated,text,c92b4cda8b,br=0 nl=0,
ui/ui/common/uil_common_dialog_yume_large.xml#697,あいうえおかきくけこあいうえおかきくけこあいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>,示例文字一二三四五六七八九十示例文字一二三四五六七八九十<CR>示例文字<CR>示例文字<CR>示例文字<CR>示例文字<CR>示例文字<CR>示例文字<CR>,translated,text,83b0551738,<CR> <CR> <CR> <CR> <CR> <CR> <CR> br=0 nl=0,keep-tags <CR>; src-longest-line=83
ui/ui/common/uil_common_dialog_yume_large.xml#1020,いいえ,否,translated,text,f901585367,br=0 nl=0,
ui/ui/common/uil_common_dialog_yume_large.xml#1217,はい,是,translated,text,c92b4cda8b,br=0 nl=0,
ui/ui/common/uil_common_dialog_yume_middle.xml#697,あいうえおかきくけこあいうえおかきくけこあいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>あいうえお<CR>,示例文字一二三四五六七八九十示例文字一二三四五六七八九十<CR>示例文字<CR>示例文字<CR>示例文字<CR>示例文字<CR>示例文字<CR>,translated,text,e6617fe658,<CR> <CR> <CR> <CR> <CR> <CR> br=0 nl=0,keep-tags <CR>; src-longest-line=74
ui/ui/common/uil_common_dialog_yume_middle.xml#1011,いいえ,否,translated,text,f901585367,br=0 nl=0,
ui/ui/common/uil_common_dialog_yume_middle.xml#1208,はい,是,translated,text,c92b4cda8b,br=0 nl=0,
ui/ui/common/uil_common_setcode_genomix.xml#1187,■CODEを入力してください,■请输入CODE,translated,text,9735d36b7a,br=0 nl=0,
ui/ui/common/uil_common_setcode_genomix.xml#1376,←→で枠を選択  ↑↓で数字を入力,←→选择方框  ↑↓输入数字,translated,text,da4abbdfdb,br=0 nl=0,
ui/ui/common/uil_common_setcode_genomix.xml#2000,入,入,translated,text,4a8d065902,br=0 nl=0,
ui/ui/common/uil_common_setcode_genomix.xml#2102,力,力,translated,text,a81c2ab80e,br=0 nl=0,
ui/ui/common/uil_common_setcode_genomix.xml#17484,戻る,返回,translated,text,60a1005be6,br=0 nl=0,
ui/ui/common/uil_common_setcode_genomix.xml#17678,決定,确定,translated,text,0f8e5b4de9,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#926,■時間を進める,■推进时间,translated,text,d83cdd7203,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#1148,HymPを消費して時間を進めることができます。\n進めたい時間を入力して「YES」ボタンで実行してください。,可以消耗HymP推进时间。\n请输入想要推进的时间并按“YES”按钮执行。,translated,text,cdc83be8f0,br=0 nl=0,src-longest-line=54
ui/ui/common/uil_common_settime_yome.xml#13146,日,日,translated,text,15917f3b32,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#13256,時間,时间,translated,text,09558b2cc6,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#13367,分,分,translated,text,0d7416e2e2,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#14192,進,进,translated,text,d1255ded08,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#14269,行,行,translated,text,2a2b777ae4,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#14463,時間 / HymPレート ＝ 3分 / 1HymP.,时间 / HymP比率 ＝ 3分 / 1HymP.,translated,text,6a4209b98d,br=0 nl=0,src-longest-line=26
ui/ui/common/uil_common_settime_yome.xml#15134,費,费,translated,text,841534d30d,br=0 nl=0,
ui/ui/common/uil_common_settime_yome.xml#15524,現在の所持HymP：,当前持有的HymP：,translated,text,78d82ed736,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#746,■時間を進める,■推进时间,translated,text,d83cdd7203,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#928,HymPを消費して時間を進めることができます。\n進めたい時間を入力して「時間を進める」で実行してください。,可以消耗HymP推进时间。\n请输入想要推进的时间并按“推进时间”执行。,translated,text,374c6e6d8d,br=0 nl=0,src-longest-line=54
ui/ui/common/uil_common_settime_yume.xml#12978,日,日,translated,text,15917f3b32,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#13086,時間,时间,translated,text,09558b2cc6,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#13195,分,分,translated,text,0d7416e2e2,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#13593,進,进,translated,text,d1255ded08,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#13668,行,行,translated,text,2a2b777ae4,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#13848,時間 / HymPレート ＝ 3分 / 1HymP.,时间 / HymP比率 ＝ 3分 / 1HymP.,translated,text,6a4209b98d,br=0 nl=0,src-longest-line=26
ui/ui/common/uil_common_settime_yume.xml#14459,費,费,translated,text,841534d30d,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#14831,現在の所持HymP：,当前持有的HymP：,translated,text,78d82ed736,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#15408,時間を進める,推进时间,translated,text,c9224aa65b,br=0 nl=0,
ui/ui/common/uil_common_settime_yume.xml#15635,やめる,放弃,translated,text,18ca8614b7,br=0 nl=0,
ui/ui/diveroom/uil_dive.xml#700,あいうえお,啊咿呜诶哦,translated,text,4ab0856318,br=0 nl=0,
ui/ui/diveroom/uil_dive_plate.xml#543,あいうえお,啊咿呜诶哦,translated,text,4ab0856318,br=0 nl=0,
ui/ui/diveroom/uil_door_dialog.xml#195,この扉に入りますか？,要进入这扇门吗？,translated,text,7731d53a97,br=0 nl=0,
ui/ui/diveroom/uil_door_dialog.xml#458,はい,是,translated,text,c92b4cda8b,br=0 nl=0,
ui/ui/diveroom/uil_door_dialog.xml#587,いいえ,否,translated,text,f901585367,br=0 nl=0,
ui/ui/dream/uil_history.xml#1662,タイトル,标题,translated,text,47b4753f22,br=0 nl=0,
ui/ui/dream/uil_history.xml#1826,TTN:ほにゃ,TTN:某处,translated,text,bbbb71e5cd,br=0 nl=0,
ui/ui/dream/uil_history.xml#1945,■あらすじ,■故事梗概,translated,text,b151b8592d,br=0 nl=0,
ui/ui/dream/uil_history.xml#2047,本文,正文,translated,text,35f496a304,br=0 nl=0,
ui/ui/dream/uil_history.xml#2385,戻る,返回,translated,text,60a1005be6,br=0 nl=0,
ui/ui/dream/uil_history.xml#2607,設定,设置,translated,text,6329f21c41,br=0 nl=0,
ui/ui/dream/uil_history.xml#2720,設定,设置,translated,text,6329f21c41,br=0 nl=0,
ui/ui/dream/uil_ruin.xml#677,修復地点「雑貨屋・ほにゃ」,修复地点“杂货店・某某”,translated,text,d060c13c70,br=0 nl=0,
ui/ui/dream/uil_ruin.xml#760,ざっかや　ほにゃ,杂货店 某某,translated,text,3cdf019e39,br=0 nl=0,
ui/ui/dream/uil_ruin_restore.xml#931,修復地点「雑貨屋・ほにゃ」,修复地点“杂货店・某某”,translated,text,d060c13c70,br=0 nl=0,
ui/ui/dream/uil_ruin_restore.xml#2546,閉じる,关闭,translated,text,3da5c18551,br=0 nl=0,
ui/ui/dream/uil_ruin_restore.xml#2728,修復する,修复,translated,text,4a37f991b1,br=0 nl=0,
ui/ui/dream/uil_ruin_restore_sharl.xml#1004,シャール名,夏尔名称,translated,text,54cd816081,br=0 nl=0,
ui/ui/dream/uil_ruin_restore_sharl.xml#1388,修復力:,修复力:,translated,text,91ef731190,br=0 nl=0,
ui/ui/dream/uil_ruin_restore_sharl.xml#1595,くさってます。くさってます。くさってます。くさってます。,腐烂了。腐烂了。腐烂了。腐烂了。,translated,text,e74172e021,br=0 nl=0,src-longest-line=28
ui/ui/dream/uil_ruin_restore_sharl.xml#1824,マスターシャール,主夏尔,translated,text,60f214c202,br=0 nl=0,
ui/ui/dream/uil_ruin_restore_sharl.xml#2033,サポーターシャール,支援夏尔,translated,text,d54442dbf6,br=0 nl=0,
ui/ui/dream/uil_ruin_restore_sharl.xml#2240,レイバーシャール,劳工夏尔,translated,text,4ada8eac12,br=0 nl=0,
ui/ui/dream/uil_ruin_restore_work.xml#1146,修復地点「雑貨屋・ほにゃ」,修复地点“杂货店・某某”,translated,text,d060c13c70,br=0 nl=0,
ui/ui/event/uil_event.xml#951,名前,名称,translated,text,d54d12f95c,br=0 nl=0,
ui/ui/event/uil_event.xml#1056,メッセージウィンドウのテスト文字列<CR>二行目<CR>三行目,消息窗口测试文本<CR>第二行<CR>第三行,translated,text,ef72032fee,<CR> <CR> br=0 nl=0,keep-tags <CR>; src-longest-line=31
ui/ui/event/uil_event_infowindow.xml#488,タイトル,标题,translated,text,47b4753f22,br=0 nl=0,
