id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/itemeventdlc/rt_item_head101a.txt#3#12,動物みみセット？の完成だよ。,兽耳套装？制作完成啦。,translated,依恩,294730294e,br=0 nl=0,1,
inc/event/res/itemeventdlc/rt_item_head101a.txt#4#12,"これは、動物の耳がついてる
カチューシャなの。",这是带有动物耳朵的发箍哦。,translated,依恩,743211dbfb,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#5#12,"って、さすがに説明しなくても
わかるよね？","不过，就算我不解释
你也明白的吧？",translated,依恩,c8c9f59e0c,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#7#12,本物の動物の耳！？,真的动物耳朵！？,translated,,a3d34f15ea,br=0 nl=0,1,
inc/event/res/itemeventdlc/rt_item_head101a.txt#8#12,"えへへ、こういう可愛いカチューシャって、
何か良いよね？","诶嘿嘿，这种可爱的发箍，
感觉很不错吧？",translated,依恩,2b05e2a159,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#9#12,"つけると楽しい気持ちになっちゃうの。
動物になった気分になるからかな？","戴上之后心情就会变得很雀跃呢。
是因为感觉自己变成了动物吗？",translated,依恩,a53e360847,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#13#12,えへへ、早く試着してみたいなぁ……。,诶嘿嘿，真想快点试戴看看呀……,translated,依恩,692065eb1c,br=0 nl=0,1,
inc/event/res/itemeventdlc/rt_item_head101a.txt#17#12,"ち、違う、違うよ！
本物に似せた作り物だよ！","不、不对，才不是呢！
只是仿照真的动物做的仿制品啦！",translated,依恩,722ff62b44,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#18#12,"もぉ、どうしてそういう怖い発想を
しちゃうかな？","真是的，你怎么会
产生这种可怕的联想呀？",translated,依恩,5eed57fb76,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#19#12,"本物の動物の耳はこんなに大きくないから、
間違えようがないと思うのに……。","真正的动物耳朵才没有这么大呢，
我觉得根本不可能搞错才对呀……",translated,依恩,6f254c86e6,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#22#14,"動物みみセット？を
作ったよ♪","制作了
兽耳套装？哦♪",translated,,08b6353bf3,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#24#14,"動物みみセット？が
完成したよ♪","兽耳套装？
制作完成了♪",translated,,17111e85cf,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101a.txt#26#14,"動物みみセット？の
作成完了。
次は何を作ろうかな♪","兽耳套装？
制作完毕。
下次要做什么呢♪",translated,,36c2f8dee0,br=0 nl=2,3,
inc/event/res/itemeventdlc/rt_item_head101a.txt#28#14,"動物みみセット？が
できたよ♪","兽耳套装？
做出来啦♪",translated,,bb5f17d9c8,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101b.txt#3#12,動物みみセット？の完成だよー。,兽耳套装？制作完成啦～。,translated,依恩,5abfea8089,br=0 nl=0,1,
inc/event/res/itemeventdlc/rt_item_head101b.txt#4#12,"……何で名前に？が入るのかは
気にしないでね。","……至于名字里为什么会有问号，
就请不要深究啦。",translated,依恩,3e64b7aada,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101b.txt#5#12,えへへ、どれも可愛い耳ばかりでしょ？,诶嘿嘿，每一种耳朵都超级可爱吧？,translated,依恩,c4d5785fbc,br=0 nl=0,1,
inc/event/res/itemeventdlc/rt_item_head101b.txt#6#12,わたしの一番のお気に入りは、えっと……。,我最喜欢的一个嘛，唔……,translated,依恩,3eae45da11,br=0 nl=0,1,
inc/event/res/itemeventdlc/rt_item_head101b.txt#7#12,"……やっぱり選べないや。
どれも可愛過ぎるもん。","……果然选不出来呢。
因为每一个都太可爱了嘛。",translated,依恩,5272916d95,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101b.txt#8#12,"だから、もしあなたの好きな動物の耳が
あったら、遠慮なく言ってね。","所以，如果你有喜欢的动物耳朵，
请不用客气尽管告诉我哦。",translated,依恩,592809bbfc,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101b.txt#9#12,"リクエストしてくれれば、
どれでもつけるよ。","只要你提出要求，
无论哪一个我都会戴上的哦。",translated,依恩,a6d64c27bd,br=0 nl=1,2,
inc/event/res/itemeventdlc/rt_item_head101b.txt#10#12,"……っていうか、わたしじゃ迷っちゃって
選べないもん。","……话说回来，我自己选的话
只会纠结得拿不定主意呢。",translated,依恩,52a5e6153c,br=0 nl=1,2,
