id,source,zh,kind,category,variants,forbidden,context,note,authority,status
001bb779,レベル,等级,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，128 次,,本项目,agreed
00922c67,ポイントピクチャーズ,Point Pictures,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
00a17060,プログラマー,程序员,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，14 次,,本项目,agreed
025da02a,フレアガード,耀斑护盾,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
0299d42e,ウェブオペレーション,网页运维,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
02f17fee,デザイン,设计,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，95 次,,本项目,agreed
0371f2af,リミッター,限制器,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
0373cbc6,導師,导师,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
03e66c54,天文へ登録手続き,天文的登记手续,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
042ada3d,魂のレベル,灵魂等级,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
04e72cd3,ドレッシング,调味汁,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
056302b7,ストレス,压力,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
060f7dcc,グラビトン,引力子,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
074ca740,ディレクター,总监,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，67 次,,本项目,agreed
078b647a,セカイパート,世界部分,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
084c4dd4,ケーブル,线缆,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
08a070c8,ジュース,果汁,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，40 次,,本项目,agreed
094246f1,メゾン,公馆,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
09e83387,皇女の衣,皇女之衣,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，3 次,,本项目,agreed
0a409cee,ステータス,状态,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
0a9d2cb8,ワンピース,连衣裙,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
0b8873d8,地文十二支,地文十二支,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
0bff1022,ーーー,―――,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，174 次,,本项目,agreed
0c1e6df2,「ネプトロンタワー」,“尼普特伦塔”,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
0cc4fdf5,タスクテロップ・,任务字幕・,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
0d1d0ae6,リラックス,放松,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
