id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/wear_choice/choice_face.txt#6#12,メガネはかけていった方がいいかな？,戴着眼镜去会比较好吗？,translated,依恩,e2b7400642,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#8#12,メガネはどうしよっか？,眼镜该怎么办呢？,translated,依恩,47717dc8da,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#10#12,"あとはメガネかな？
どれがいい？","接下来是眼镜吧？
哪一副比较好？",translated,依恩,278a501091,br=0 nl=1,2,
inc/event/res/wear_choice/choice_face.txt#17#12,何もつけない,什么都不戴,translated,,e9e68028d3,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#18#12,プライムグラス,优质杯,translated,,c0740930fb,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#19#12,ディライトレンズ,悦目镜片,translated,,60bc6aa28f,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#20#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#21#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#23#12,何もつけない,什么都不戴,translated,,e9e68028d3,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#24#12,プライムグラス,优质杯,translated,,c0740930fb,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#25#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#26#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#28#12,何もつけない,什么都不戴,translated,,e9e68028d3,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#29#12,ディライトレンズ,悦目镜片,translated,,60bc6aa28f,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#30#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#31#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#35#12,何もつけない,什么都不戴,translated,,e9e68028d3,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#36#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#37#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#45#12,[取得衣装Ⅰ_02],[取得衣装Ⅰ_02],translated,,cf9c29f6b5,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#46#12,[取得衣装Ⅱ_02],[取得衣装Ⅱ_02],translated,,ad079e12a1,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#47#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#48#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#50#12,[取得衣装Ⅰ_02],[取得衣装Ⅰ_02],translated,,cf9c29f6b5,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#51#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#52#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#54#12,[取得衣装Ⅱ_02],[取得衣装Ⅱ_02],translated,,ad079e12a1,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#55#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#56#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#65#12,レッドフレーム,红框,translated,,c8fb0867d3,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#66#12,セル・ルージュ,红色赛璐珞,translated,,9949b845da,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#67#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#68#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#70#12,レッドフレーム,红框,translated,,c8fb0867d3,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#71#12,次へ,下一页,translated,,e572295bb2,br=0 nl=0,1,
inc/event/res/wear_choice/choice_face.txt#72#12,前へ,上一页,translated,,09eab5614e,br=0 nl=0,1,
