id,jp,zh,status,max_chars,src,ctl,kind,note
env:1, ボタン, 按键,translated,4,de222b5c64,br=0 nl=0,dlg+str,出现9处
env:2,Aボタンで決定・Bボタンでキャンセル,A键确定・B键取消,translated,18,a0c52b477f,br=0 nl=0,dlg+str,出现2处
env:3,Bボタンで決定・Aボタンでキャンセル,B键确定・A键取消,translated,18,5a87541297,br=0 nl=0,dlg+str,出现2处
env:4,DirectInputの初期化に失敗しました,DirectInput 初始化失败,translated,22,0cd5cdc2a7,br=0 nl=0,str,
env:5,DirectXの初期化に失敗しました。DirectX11をインストールしてください。,DirectX 初始化失败。请安装 DirectX 11。,translated,42,1fec2c06f3,br=0 nl=0,str,
env:6,『シェルノサージュ ～失われた星へ捧ぐ詩～ DX』　マウス設定,『Ciel nosurge DX』　鼠标设置,translated,31,0d4cc0cb94,br=0 nl=0,dlg,
env:7,『シェルノサージュ ～失われた星へ捧ぐ詩～ DX』　移動/カメラ設定,『Ciel nosurge DX』　移动/镜头设置,translated,34,58079f5473,br=0 nl=0,dlg,
env:8,『シェルノサージュ ～失われた星へ捧ぐ詩～ DX』　設定の初期化,『Ciel nosurge DX』　初始化设置,translated,32,dba13e9837,br=0 nl=0,dlg,
env:9,『シェルノサージュ ～失われた星へ捧ぐ詩～ DX』　起動環境設定,『Ciel nosurge DX』　启动环境设置,translated,32,65d5ab23a6,br=0 nl=0,dlg+str,出现2处
env:10,いいえ,否,translated,3,f901585367,br=0 nl=0,dlg,
env:11,はい,是,translated,2,c92b4cda8b,br=0 nl=0,dlg,
env:12,アナログカメラ確認,摇杆镜头确认,translated,9,b74c89d708,br=0 nl=0,str,
env:13,アナログ入力設定,摇杆输入设置,translated,8,e295648cfa,br=0 nl=0,dlg+str,出现2处
env:14,アナログ移動確認,摇杆移动确认,translated,8,f520f849bc,br=0 nl=0,str,
env:15,カメラキーを上（↑）に倒してください。,请将镜头键向上（↑）推。,translated,19,978e6b4334,br=0 nl=0,str,
env:16,カメラキーを下（↓）に倒してください。,请将镜头键向下（↓）推。,translated,19,c9b3f2763b,br=0 nl=0,str,
env:17,カメラキーを右（→）に倒してください。,请将镜头键向右（→）推。,translated,19,443f759896,br=0 nl=0,str,
