id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/daystaskevent01/tas_bta01.txt#6#12,今呼んだ～？,刚才是在叫我吗～？,translated,依恩,7e6f3fcd88,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_bta01.txt#7#12,"ごめんね。
今お風呂だから、またあとでね。","对不起哦。
我现在在洗澡，待会儿再说吧。",translated,依恩,069ed36d58,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_bta01.txt#9#12,"えっ！　あっ！
今呼んだよね？","诶！啊！
刚才是在叫我对吧？",translated,依恩,44891dab13,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_bta01.txt#10#12,"ごめんね、お風呂に入ってるから、
あとでお話しようね。","对不起哦，我现在在泡澡，
待会儿再聊吧。",translated,依恩,0f49eb02d9,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_bta01.txt#12#12,今お風呂に入っているところなの。,我现在正在洗澡呢。,translated,依恩,ecb247637f,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_bta01.txt#13#12,上がったら、いっぱいお話しようね。,等我出去之后，再好好聊很多话哦。,translated,依恩,db931e4099,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_bta01.txt#15#12,"あっ、は～い！
ごめんねぇ、今お風呂なの～。","啊，来～啦！
抱歉呀，我现在在洗澡呢～。",translated,依恩,6b6b4d0449,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_bta01.txt#16#12,ちょっと、タイミング悪かったかな……。,好像时机有点不太凑巧呢……,translated,依恩,1e8283b6d1,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_bta01.txt#18#12,"今呼ばれたような気がしたんだけど、
気のせいじゃないよね？","总觉得刚才好像有人叫我，
应该不是我的错觉吧？",translated,依恩,d20188b9e0,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_bta01.txt#19#12,"ごめんなさい。
今お風呂だから、またあとでね。","真不好意思。
我现在在洗澡，待会儿再说哦。",translated,依恩,fd662ccfe5,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_btb01.txt#2#12,どうかしたの～？,怎么了吗～？,translated,依恩,763d3d916a,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#3#12,お風呂に行きたい,想去浴室,translated,,82fcbbdbfb,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#4#12,そんなつもりはない,没有那个意思,translated,,13e857296d,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#8#12,ねぇ、どっちなの～？,那个，到底是哪种意思呀～？,translated,依恩,4222efcf41,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#10#12,あれ？　どうしたのかな？,咦？怎么了吗？,translated,依恩,e8c7193213,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#13#12,"はぁ……。
お風呂でゆっくりしよう。","哈……
在浴池里好好放松一下吧。",translated,依恩,0637398ad1,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_btb01.txt#17#12,や、やっぱり、そうなんだ……。,果、果然是这样呀……,translated,依恩,51fec3eed8,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#18#12,えっと、その……ごめんね。,那个，不好意思哦……,translated,依恩,5c132fa512,br=0 nl=0,1,
inc/event/res/daystaskevent01/tas_btb01.txt#19#12,"聞いておいてなんだけど、
やっぱり恥ずかしいから……。","虽然是我主动问你的，
但果然还是太害羞了啦……",translated,依恩,76b6d235ef,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_btb01.txt#20#12,"端末を置く場所はあるけど、
さすがにちょっと……。","虽然确实有可以放终端的地方，
但这也未免太……",translated,依恩,1772d0f175,br=0 nl=1,2,
inc/event/res/daystaskevent01/tas_btb01.txt#24#12,よかったぁ……。,太好啦……,translated,依恩,3bd9f171d5,br=0 nl=0,1,
