id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/tutorialevent/de00_01.txt#11#12,"よっ、とうだいもり。
元気にしとるか？","哟，灯塔守。
精神还好吗？",translated,妮莉库,a055aca472,br=0 nl=1,2,
inc/event/res/tutorialevent/de00_01.txt#12#12,って、おらんのか。,哎，不在吗。,translated,妮莉库,f305a82f92,br=0 nl=0,1,
inc/event/res/tutorialevent/de00_01.txt#13#12,まぁ、その方が好都合かもしれんの……。,嘛，这样说不定正好合我心意呢……,translated,妮莉库,2073503dcd,br=0 nl=0,1,
inc/event/res/tutorialevent/de00_01.txt#15#12,"さてと……、
ふむ、あれがそうじゃな。","那么……
嗯，就是那个了吧。",translated,妮莉库,ff5a24f406,br=0 nl=1,2,
inc/event/res/tutorialevent/de00_01.txt#18#12,"どうやら、きちんと動いとるようじゃし、
声でもかけてみるかのう。","看来运转得挺正常的，
跟它打个招呼看看吧。",translated,妮莉库,793f98d2fd,br=0 nl=1,2,
inc/event/res/tutorialevent/de00_01.txt#20#12,"ほれ、返事をせい。
生きてないわけではなかろう？","喂，回个话呀。
总不至于没气了吧？",translated,妮莉库,efd629de26,br=0 nl=1,2,
inc/event/res/tutorialevent/de00_01.txt#22#12,"ふむ、だんまりか。
なんぞ、怪しまれとるのかの……？","唔，一声不吭吗。
难道是觉得我很可疑……？",translated,妮莉库,21b7d4b7bc,br=0 nl=1,2,
inc/event/res/tutorialevent/de00_01.txt#23#12,……まさか、壊れたりしとらんよな？,……应该不至于坏掉了吧？,translated,妮莉库,6948153f18,br=0 nl=0,1,
inc/event/res/tutorialevent/de00_01.txt#25#12,"やれやれ……。せっかく、いろいろと
教えてやろうと思ったんじゃが……。","哎呀呀……亏我还想好心
教你各种事情呢……",translated,妮莉库,dd1b91c0c7,br=0 nl=1,2,
inc/event/res/tutorialevent/de00_01.txt#28#12,仕様ない。また来るとするかの。,没办法。改天再来吧。,translated,妮莉库,19e4e5509a,br=0 nl=0,1,
inc/event/res/tutorialevent/de00_01t.txt#1#12,<CLBU>おっ、ちゃんと生きておったようじゃの。,<CLBU>哦，看来还活得好好的嘛。,translated,妮莉库,8b824c9ff7,<CLBU> br=0 nl=0,1,keep-tags <CLBU>; src-longest-line=25
