id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/05/me05_00.txt#30#12,"──ネプツール社長の死亡が確認された
チューブ･カンパニーでは、危機管理態勢の
さらなる拡充を求める声が高まっています。","――在已确认尼普楚尔社长死亡的
管体公司中，要求进一步扩充
危机管理体制的呼声正不断高涨。",translated,新闻,63746742a1,br=0 nl=2,3,
inc/event/res/05/me05_00.txt#32#12,"また、万寿区に隣接するジェノメトリクス
同調調停院関連施設・通称『縦貫坑道』でも
ほぼ同時刻に爆発事故が発生しており──","此外，在与万寿区相邻的梦世界
同调调停院相关设施・通称“纵贯坑道”中，
也几乎在同一时间发生了爆炸事故――",translated,新闻,d7e4308a58,br=0 nl=2,3,
inc/event/res/05/me05_00.txt#33#12,"両者の関係性も踏まえた上で、
地文、天文双方による詳しい状況の調査が
続いています。","在考虑到两者关联性的基础上，
地文与天文双方对详细情况的调查
仍在持续进行。",translated,新闻,3fbd800245,br=0 nl=2,3,
inc/event/res/05/me05_00.txt#35#12,"死者・行方不明者の数は把握されておらず、
爆発で飛散した塵やガスなどの成分も不明な為、
周辺では外出規制が敷かれています。","目前死者及失踪者人数尚未明确，
爆炸扩散的粉尘及气体成分也尚未查明，
因此周边区域已发布了外出限制指令。",translated,新闻,f935a2a69f,br=0 nl=2,3,
inc/event/res/05/me05_00.txt#37#12,"天文・地文双方であいついだ、
爆発をともなう事故。","天文与地文双方接连发生
伴随爆炸的严重事故。",translated,新闻,933f39a887,br=0 nl=1,2,
inc/event/res/05/me05_00.txt#39#12,"一連の事態を重視し、天文は一時的に
シェルノトロンの使用規制を発令しました。","鉴于一连串事态的严重性，天文已暂时
发布了榭鲁诺特伦的使用限制令。",translated,新闻,ecec632683,br=0 nl=1,2,
inc/event/res/05/me05_00.txt#41#12,"レベル２以上での使用が不可能となり、
市民生活には大きな影響が出ています──。","等级2以上的使用已被禁止，
市民生活受到了极大的影响――。",translated,新闻,e4c2ce468b,br=0 nl=1,2,
inc/event/res/05/me05_00.txt#66#12,……カノイール様。,……卡诺伊尔大人。,translated,女子Ｃ,4819b10954,br=0 nl=0,1,
inc/event/res/05/me05_00.txt#67#12,"いままで{シェルノトロン}に頼って
暮らしてきた私が──","事到如今，一直依赖{榭鲁诺特伦}
生活的我――",translated,女子Ｃ,d88428508d,br=1 nl=1,2,keep-terms {シェルノトロン}
inc/event/res/05/me05_00.txt#67#14,ジェノムに代わる詩魔法生成器として研究開発され、<CR>生み出されたのがシェルノトロンである。<CR>シェルノトロンはＲＥＯＮ－４２１３と呼ばれるＯＳを搭載することで、ジェノムよりも自由かつ簡単に詩魔法の生成を実現した。<CR>しかし、シェルノトロンの心臓部であるシェルノサージュ管やクレイドルの製造で７０％のシェアを占めていたＴｚチューブ・カンパニーが新型シェルノトロンの研究に失敗。また縦貫坑道と呼ばれる場所でも爆発事故が発生した折に使用レベルの規制が敷かれている。<CR>そのため、シェルノトロンに頼りきりになっていた天文派住民の多くが突然の規制に戸惑いを隠せず、一部では天文に対するデモも行われている。,作为替代杰诺姆的诗魔法生成器而被研发出来的，<CR>正是榭鲁诺特伦。<CR>榭鲁诺特伦通过搭载名为REON-4213的操作系统，实现了比杰诺姆更自由、更简便的诗魔法生成。<CR>然而，在榭鲁诺特伦核心部件Ciel nosurge管和支架制造方面占据70%份额的Tz管体公司，在新型榭鲁诺特伦的研发上遭遇失败。加之在被称为纵贯坑道的区域也发生了爆炸事故，因此实施了使用等级的限制。<CR>正因如此，一直完全依赖榭鲁诺特伦的天文派居民大多对突如其来的限制感到惊慌失措，部分地区甚至爆发了针对天文的游行示威。,translated,女子Ｃ,2f66bc533e,<CR> <CR> <CR> <CR> br=0 nl=0,1,keep-tags <CR>; src-longest-line=305
