id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/daysevent13/day13_01.txt#6#12,"う～ん……仕方ないのはわかってるけど、
いつも同じようなデートばかりなのが
残念かも……。","唔～……虽然我也明白这是无可奈何的事，
但每次总是千篇一律的约会，
感觉还是稍稍有点遗憾呢……",translated,依恩,b5a9e93c56,br=0 nl=2,3,
inc/event/res/daysevent13/day13_01.txt#7#12,"歩いたり、座ってお話したりするだけって、
デートと言っていいのかすごく微妙なとこ
だと思わない？","仅仅是一起散散步、坐着聊聊天，
到底算不算是约会，
你不觉得其实很微妙吗？",translated,依恩,6bf23bcb27,br=0 nl=2,3,
inc/event/res/daysevent13/day13_01.txt#8#12,"今だったら、そうだなぁ……。
どんなデートがしてみたいかな？","要是换作现在的话，让我想想……
我究竟想尝试什么样的约会呢？",translated,依恩,5237cc7f72,br=0 nl=1,2,
inc/event/res/daysevent13/day13_01.txt#9#12,おもいっきり遊べるデート,能痛痛快快尽情畅玩的约会,translated,,1ea02a0609,br=0 nl=0,1,
inc/event/res/daysevent13/day13_01.txt#10#12,湖の上でボートに乗るデート,在湖面上划船泛舟的约会,translated,,3083dc5c1c,br=0 nl=0,1,
inc/event/res/daysevent13/day13_01.txt#14#12,"遊園地とかでおもいっきり遊ぶデートも、
いつかしてみたいよね？","像在游乐园里尽情疯玩的约会，
真希望有朝一日能去体验一次呢？",translated,依恩,cdc9210b02,br=0 nl=1,2,
inc/event/res/daysevent13/day13_01.txt#15#12,"ジェットコースターに乗って叫んだり、
あなたにしがみついたり……。","坐上过山车放声尖叫，
紧紧地抱住你不放之类的……",translated,依恩,7394aa87c4,br=0 nl=1,2,
inc/event/res/daysevent13/day13_01.txt#20#12,わぁ、それ素敵だね！,哇，那听起来好浪漫呀！,translated,依恩,099368c284,br=0 nl=0,1,
inc/event/res/daysevent13/day13_01.txt#21#12,"まるで恋愛小説のワンシーンみたいで、
すごくドキドキしそうだよ。","简直就像恋爱小说里的唯美场景一样，
光是想想都觉得心跳加速呢。",translated,依恩,d38521bddf,br=0 nl=1,2,
inc/event/res/daysevent13/day13_01.txt#23#12,いつか、本当にできる日が来るといいな。,真希望有朝一日能迎来美梦成真的那天呀。,translated,依恩,33308c2121,br=0 nl=0,1,
inc/event/res/daysevent13/day13_01.txt#24#14,"あなたともっと色んな
デートをしたいな。","好想和你尝试
更多形形色色的约会呀。",translated,,47d06f413e,br=0 nl=1,2,
inc/event/res/daysevent13/day13_02.txt#6#12,"今すぐには無理だけど、大規模な部屋の
模様替えをいつかしてみたいな。","虽然现在马上做不太现实，
但真想哪天给房间来一次大改造重新布置呢。",translated,依恩,9820ff278b,br=0 nl=1,2,
inc/event/res/daysevent13/day13_02.txt#7#12,"だって、結婚したんだもん。
気持ちの切り替えにもなるし、
いい考えだと思わない？","毕竟我们都已经结婚了嘛。
这也能帮助转换生活心情，
你不觉得是个好主意吗？",translated,依恩,066e68706f,br=0 nl=2,3,
inc/event/res/daysevent13/day13_02.txt#8#12,"とはいっても、あんまり替え過ぎるのも
問題あると思うけど……。","话虽如此，但要是改造得太彻底，
我觉得也会带来不少问题呢……",translated,依恩,259d928438,br=0 nl=1,2,
