id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/haircutevent/haircut01_01.txt#8#12,あなたー、今時間あるかな？,你～，现在有空吗？,translated,依恩,0e90cdee71,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#10#12,う～ん、やっぱり忙しいのかな？,嗯～，果然还是在忙吗？,translated,依恩,cc409f3cb7,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#11#12,"あっ、聞こえてても、忙しいなら
無理はしなくていいよ。","啊，就算听到了，
在忙的话也不用勉强哦。",translated,依恩,cc2c70ed9d,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#12#12,"ちょっと、髪のことで質問したかった
だけだから。","只是稍微有点关于发型的事
想问问你而已。",translated,依恩,cf58b83188,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#13#12,"……やっぱり、忙しいみたい。
ふふっ、わたしの旦那様は大忙しだね。","……看来确实在忙呢。
呵呵，我的老公真是个大忙人呢。",translated,依恩,581bfb0cc4,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#14#12,邪魔したらいけないし、また今度にしよ。,不能打扰你，还是下次再说吧。,translated,依恩,f24b05d055,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#16#12,おーい、今ちょっとだけ大丈夫？,喂～，现在方便聊一下吗？,translated,依恩,dddbde3d0f,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#17#12,"ちょっと、髪のことについて
聞きたいんだけど～。","关于发型的事情，
想稍微问问你呢～",translated,依恩,8e75fa7f6e,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#19#12,あれ、もしかしていないの？,哎呀，难不成不在吗？,translated,依恩,4d4cf3f593,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#20#12,それとも、今って取り込み中かな？,还是说，现在正抽不开身呢？,translated,依恩,b1154a9d2d,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#21#12,"それなら無理しなくていいけど……
もうちょっとだけ待ってみようかな？","那样的话不用勉强哦……
要不再稍微等一下看看吧？",translated,依恩,f8b69c0f1c,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#23#12,……反応なし、か。,……没有反应啊。,translated,依恩,5177f003b9,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#24#12,"まあ、こういう時もあるよね。
また後で出直そっと。","嘛，这也是常有的事呢。
待会儿再过来吧。",translated,依恩,896c48b6d7,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#26#12,ん～……。,嗯～……,translated,依恩,1ec4947c24,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#27#12,ねえねえ、今いるかな？,喂喂，现在在吗？,translated,依恩,6f50da11d5,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#29#12,"おーい。
ちょっとお話したいんだけど～…。","喂～
稍微想跟你聊聊呢～…",translated,依恩,6320872c72,br=0 nl=1,2,
inc/event/res/haircutevent/haircut01_01.txt#30#12,いたらトントン♪ってして～。,在的话就咚咚♪敲两下嘛～。,translated,依恩,a1195c3043,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#32#12,…いないかな？,…不在吗？,translated,依恩,9eaa66183f,br=0 nl=0,1,
inc/event/res/haircutevent/haircut01_01.txt#34#12,残念。また後で呼んでみよっと。,真遗憾。等会儿再试着叫叫看吧。,translated,依恩,e767bba30a,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#2#12,<CLBU>…あっ！　いたいた！,<CLBU>…啊！在呢在呢！,translated,依恩,3496a72c9c,<CLBU> br=0 nl=0,1,keep-tags <CLBU>
inc/event/res/haircutevent/haircut02_01m.txt#4#12,今そっちに行くね。,我现在就去你那边哦。,translated,依恩,f82f9b39eb,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#7#12,"あのね、最近髪の毛伸びてきたでしょ？
そろそろ切ろうかなって
思ってるんだけど――","那个，最近头发变长了对吧？
我在想差不多
该剪剪了呢――",translated,依恩,de170301bc,br=0 nl=2,3,
inc/event/res/haircutevent/haircut02_01m.txt#8#12,"どれくらいにするのがいいかな～って
思って、ちょっと相談したかったの。","剪成多长比较好呢～
想跟你商量一下。",translated,依恩,7898d6d11f,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#9#12,あなたはどう思う？,你觉得呢？,translated,依恩,722e66ad74,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#10#12,思いっきりショート,痛快地剪成短发,translated,,a5a121ea08,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#11#12,肩にかかるくらい,刚好搭到肩膀的长短,translated,,0cf20b6053,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#12#12,あまり切らない方が好き,喜欢不要剪太多的,translated,,e30c86e600,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#14#12,…あれ？　おーい！,…咦？喂～！,translated,依恩,0a0294ee7b,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#16#12,いなくなっちゃったのかな…？,是走开了吗……？,translated,依恩,0434ab3346,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#18#12,…おーい。,…喂～,translated,依恩,f1d1947c2b,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#21#12,"うーん…まあいいや。
自分で決めちゃおっと。","唔……算啦。
我自己来决定吧。",translated,依恩,03aba29da4,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#29#12,"ほんと？
実はわたしもそう思ってたんだ。","真的吗？
其实我也这么觉得。",translated,依恩,bdfd322638,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#30#12,"だって、ちょっとしか切らなかったら
すぐにまた切らなくちゃいけなくなって
面倒くさいもんね。","因为如果只剪一点点的话，
很快又得重新剪，
那样很麻烦嘛。",translated,依恩,e096ce6fdd,br=0 nl=2,3,
inc/event/res/haircutevent/haircut02_01m.txt#31#12,"ありがと♪　相談に乗ってくれて。
それじゃ、バッサリ切っちゃおうかな♪","谢谢你♪陪我商量。
那么，就痛快地剪短吧♪",translated,依恩,bbdb79f1d6,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#35#12,"そっかー。
もしかして、短い方が好きなの？","这样啊～
难道说你喜欢短发吗？",translated,依恩,3006dd729a,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#36#12,好きです,喜欢,translated,,fdab6232a1,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#37#12,そういうわけでもない,也不是那个意思,translated,,f7f9f792d7,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#39#12,"あなたは短いのが好きなんだね。
うーん……。","原来你喜欢短发啊。
唔～……",translated,依恩,41bc9ebf09,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#40#12,それじゃ、ちょっと考えておくね。,那么，我稍微考虑一下吧。,translated,依恩,f81b36e845,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#44#12,"あれ？　そうなの？
それなら…。","咦？是那样吗？
既然如此……",translated,依恩,7bc7a26985,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#45#12,"…ちょっと長めに切ろうかな。
わたし、あまり短いのは苦手なの。","…稍微剪长一点吧。
我不太习惯剪得太短。",translated,依恩,8bc6f18237,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#50#12,"それじゃ…
いつもと同じくらいに切ればいいかな。","那么……
剪得和平时差不多就好啦。",translated,依恩,96d9e37263,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#51#12,"わたし、普段から誰かに会うこともなくて
ずっと適当に切ってたの。","我平时也不怎么见人，
一直都是随便剪剪的。",translated,依恩,14f0c6f3ce,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#52#12,"でも、これからはあなたに見られちゃう
から、ちょっと気をつけようかなって
思って。","不过今后会被你看到，
所以我想着
稍微注意一下呢。",translated,依恩,536b4fb18f,br=0 nl=2,3,
inc/event/res/haircutevent/haircut02_01m.txt#53#12,"…なんてね。
気にしすぎかな…？","…开玩笑的啦。
我是不是太在意外表了…？",translated,依恩,50b3ad7d2a,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#58#12,え…そうなの？,诶…是吗？,translated,依恩,653fcd3be9,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#59#12,"うーん…
でも、そうすると、またすぐに切らないと
いけなくなっちゃって…その…。","唔～…
但是那样的话，很快又得再剪，
那个……",translated,依恩,144bce7153,br=0 nl=2,3,
inc/event/res/haircutevent/haircut02_01m.txt#60#12,ちょっとだけ、面倒…かな？　なんて！,会有点小麻烦…吧？开玩笑的！,translated,依恩,57d7defe2c,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#61#12,ロングが好き,喜欢长发,translated,,302c8d95d8,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#62#12,イオンの自由に切ればいい,依恩由着自己心意剪就好,translated,,efeba4ce99,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#64#12,"そ、そんなにロングがいいの？
そっか…うーん……。","有、那么喜欢长发吗？
这样啊…唔～……",translated,依恩,92c379f948,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#65#12,ちょっと考えてみるね。,我稍微考虑一下哦。,translated,依恩,bb3ecd1717,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#69#12,"そうなの？
それじゃ…少し長めに切ることにするね。","是吗？
那么…我就留得稍长一些吧。",translated,依恩,8b3f8a3b66,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#70#12,"あなたがロング好きなら
考えようかな…って思ったけど。","如果你喜欢长发的话，
我还想着考虑一下呢…",translated,依恩,67f1c7927e,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#71#12,本当はロングが大好き,其实最喜欢长发了,translated,,e1d3e5c943,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#74#12,それじゃ、ちょっと短めに切るね。,那么，我就剪得稍微短一点吧。,translated,依恩,cabe47a32d,br=0 nl=0,1,
inc/event/res/haircutevent/haircut02_01m.txt#78#12,"ええっ！？　そうなの？
それならそう言ってくれればいいのに。","诶诶！？是这样吗？
早点这么说不就好了嘛。",translated,依恩,4209dcbae6,br=0 nl=1,2,
inc/event/res/haircutevent/haircut02_01m.txt#79#12,"遠慮しなくてもいいよ？
わたしも遠慮するの、苦手だもん。","不用客气的哦？
我也不擅长客套呢。",translated,依恩,bff301f0ae,br=0 nl=1,2,
