id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/daysevent_book/day_book_01_main.txt#8#12,あっ、ちょうどよかったよ！,啊，来得正好！,translated,依恩,3578618a73,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_01_main.txt#11#12,"見てくれてるからわかると思うけど、
わたしって結構書き物してるでしょ？","你一直在看着嘛应该知道，
我经常在写点什么吧？",translated,依恩,711ef71a18,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#12#12,"あれ、落書きをしてるわけじゃないんだよ？
ちゃんと真面目な書き物をしてるんだから。","那可不是在涂鸦哦？
我是在认认真真地做创作呢。",translated,依恩,769085bce4,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#13#12,"例えばだけど、日記とか詩でしょ？
それに自作小説なんかも書いてるの。","比如说嘛，日记呀、诗呀什么的。
还有自己创作的小说之类的也在写呢。",translated,依恩,4d73ab1a51,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#14#12,"あと、あなたへのお手紙を
書くこともあるかな？","另外偶尔也会写
给你的信哦。",translated,依恩,aa40a1fb03,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#15#12,"えへへ、もちろん送れないけど、
普段伝えられないようなことを書いてるの。","嘿嘿，虽然当然没法寄出去啦，
但我会把平时难以当面说出口的话写在上面。",translated,依恩,1a7ceb0514,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#16#12,"……でも、誰にも読まれないのが
わかってるから、いつも最後まで
書ききる前に集中が切れちゃって……。","……不过，因为知道反正不会有人读到，
所以每次都会在写完之前
就提不起劲了……",translated,依恩,8a6eb41a80,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_01_main.txt#17#12,"例えそうだとしても、途中で投げ出すのは
良くないよね？","就算是那样，半途而废也
不太好吧？",translated,依恩,e1b0fed7cf,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#18#12,良くないけど気持ちはわかる,虽然不好但能理解那种心情,translated,,81a9825b8d,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_01_main.txt#19#12,見たいなぁ,好想看看呀,translated,,e3c82e1027,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_01_main.txt#22#12,えへへ、そう言ってもらえると嬉しいな。,诶嘿嘿，你能这么说我真高兴。,translated,依恩,498008f58c,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_01_main.txt#23#12,"でも、結構頑張って書いたものもあるから、
思い返してみると結構もったいないことを
したものもあるよ。","但其中也有些是我相当用心写的，
回头看看就觉得放弃了挺可惜的
作品呢。",translated,依恩,cae0593d0c,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_01_main.txt#27#12,"うん、わたしもいつもそう思いながら
作業をしてるの。","嗯，我每次在写的时候
也一直是这么想的。",translated,依恩,97374a9888,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#28#12,"あなたに見せられる日が来たら、
まっさきに読んでもらいたいな、
って思いながら……。","要是有朝一日能拿给你看了，
我一定要第一个请你读，
一直抱着这样的想法在写……",translated,依恩,79f093923b,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_01_main.txt#30#12,"はぁ……あなたが読めるように
なってくれればいいのに……。","哈啊……真希望你能读到我写的东西
就好了……",translated,依恩,79c2312046,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_01_main.txt#31#14,"無理だって分かってて
も、途中で投げ出した
りしたくないよ。","即使知道做不到，
也不想半途
而废呢。",translated,,8b6f29a748,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_main.txt#6#12,"大変大変！
すごいことになっちゃったよ！","不得了不得了！
出大事了！",translated,依恩,93278df13a,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#8#12,"ちょっと待って！
すぐそっちに行くから！","你等一下！
我马上就过来！",translated,依恩,2beb580120,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#10#12,"ねりこさんが教えてくれたんだけど、
あなたの世界に物を送る技術を
発明したんだって！","妮莉库告诉我说，
有人发明了一种能把东西
传送到你的世界的技术呢！",translated,依恩,de45e4aac6,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_main.txt#11#12,色々と手間はかかるみたいなんだけど……。,虽然过程好像挺费事的……,translated,依恩,4764d6e3bd,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_main.txt#12#12,"それでね、新技術完成を祝して、
わたしもその機械を使わせてもらえることに
なったの！","而且呢，为了庆祝新技术的完成，
我也获得了
使用那台机器的机会！",translated,依恩,4fd5f653b0,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_main.txt#13#12,"何を送ろうか迷ってたんだけど……
ほら、前にわたしが書き物してるって
話したの、覚えてる？","我一直在纠结该寄什么好……
话说回来，之前我跟你提过
我在写东西这事，你还记得吗？",translated,依恩,17c2f22c66,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_main.txt#14#12,小説とか日記とか書いてるやつ？,就是写小说和日记那个？,translated,,2c71ae97b5,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_main.txt#15#12,怪盗っぽい犯行声明分を書いてるんだよね？,写的是怪盗犯案预告书那种吧？,translated,,c8ee570e59,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_main.txt#18#12,わぁ、覚えててくれたんだ！？,哇，你居然记得！？,translated,依恩,6468d9fe91,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_main.txt#19#12,えへへ……嬉しいな。,嘿嘿……好开心啊。,translated,依恩,50ee058f5e,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_main.txt#23#12,"そうそう、今宵０時に宝物庫の宝物を頂きに
参上します、怪盗イオン……。","今晚零点将来宝库取走财宝，
怪盗依恩参上……",translated,依恩,7428daf1f8,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#24#12,"って、違うよ！
わたし、そんな文章書いたことないもん。","才不是呢！
我可从来没写过那种文章！",translated,依恩,2ea4bb0863,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#25#12,"小説とか日記とか……詩とか色々書いてる、
って前に言ったでしょ？","我之前说过，我在写小说呀日记呀……
诗呀之类各种各样的东西吧？",translated,依恩,99571029ca,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#27#12,"それでね、ねりこさんの作った機械で、
あなたに本を作って送りたいな、って
思ったの。","所以呢，我想用妮莉库做的那台机器，
为你做一本书寄过去，
就是这么想的。",translated,依恩,ba882c0da9,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_main.txt#28#12,"そういう目標があれば、わたしも最後まで
書き物を続けることができると思って……。","有了这样的目标，我也能有动力
坚持把作品写到底了……",translated,依恩,54a891220f,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#29#12,"だから、もし完成して送れた時には、
読んでもらえるかな？","所以，如果我完成了并寄到的话，
你能读一读吗？",translated,依恩,203ff7cc30,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#30#12,楽しみに待ってるよ,很期待你的书哦,translated,,e0c40c6444,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_main.txt#32#12,"えへへ……やっぱり、読んでくれる人が
いると、いつもとやる気が違うね。","嘿嘿……果然有人肯读的话，
干劲完全不一样呢。",translated,依恩,d3ff1df062,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#33#12,"よーし、あなたに楽しんで読んでもらえる
ように、頑張って作るよ！","好的！为了让你读得开心，
我会努力创作的！",translated,依恩,992464d4c3,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_main.txt#34#14,"すごいすごい！
本当に送れるなんて夢
みたいだよ♪","太棒太棒了！
真能寄过去简直就像
做梦一样呢♪",translated,,069376c538,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_sub.txt#7#12,う～ん、どうしよう……。,唔～该怎么办好呢……,translated,依恩,1c98dfc4fd,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_sub.txt#8#12,"本のことなんだけど、どんな内容にしたら
面白いかな、ってちょっと悩んでるの……。","就是关于书的事，我正在犯愁
到底写什么内容才会有趣……",translated,依恩,f30e33b1dc,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_sub.txt#9#12,"書いた内容がいまいちピンと来なかったり、
次の展開どうするか思いつかなかったり……。","写好的内容总觉得差了点意思，
或者想不出接下来该怎么发展……",translated,依恩,046fd03788,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_sub.txt#10#12,面白いと思ったものを書けば良い,写自己觉得有趣的就好,translated,,bc52fda23b,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_sub.txt#11#12,"う～ん……でも、このまま悩んでても
仕方ないし、とりあえず書き進めちゃった方が
良いのかな……？","唔～……不过继续这样纠结也不是办法，
不如干脆先往下写，
或许更好……？",translated,依恩,bd975adb67,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_sub.txt#13#12,"はぁ……やっぱり、慣れないことは
しない方がよかったかな？","哈啊……果然还是不该
去做自己不擅长的事情呢？",translated,依恩,0e50fb6cc2,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_sub.txt#14#12,"って、ダメダメ。
弱気になってたら出来るものまで
出来なくなっちゃうよね。","哎呀，不行不行。
要是畏畏缩缩的，
连本来能做成的事也做不成了。",translated,依恩,10c606b6d6,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_sub.txt#17#12,"とりあえず、思いつく限りのお話を書いてみて、
一番良さそうなのを採用してみるよ。","总之先把能想到的故事全写出来，
再从中挑最好的用吧。",translated,依恩,a646ce10f3,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_sub.txt#21#12,そっか……そうだよね！,是啊……说得对呢！,translated,依恩,aa7dd43b76,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_sub.txt#22#12,"わたしが作る本なんだもん！
まずはわたし自身が面白いって思わなかったら
良い物なんて出来ないよね！","这可是我自己要做的书啊！
连我自己都觉得不有趣的话，
怎么可能做出好作品来呢！",translated,依恩,c32e1998c3,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_02_sub.txt#23#12,"ありがとう！　あなたのおかげでなんか
吹っ切れたような気がする。","谢谢你！多亏了你的话，
感觉心里一下子豁然开朗了。",translated,依恩,c500b64f84,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_02_sub.txt#24#12,よーし！　頑張ろう！,好――！加油吧！,translated,依恩,851379f2ed,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_02_sub.txt#26#14,"ストーリーの展開を
考えるのって、
意外と難しいんだね。","构思故事的走向
出乎意料地
还挺难的呢。",translated,,e1a50faf67,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_03_main.txt#13#12,あっ、ちょうどよかったよ！,啊，来得正好♪,translated,依恩,3578618a73,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_main.txt#16#12,"えへへ……あなたに送るための本、
ようやく書き始められたよ。","嘿嘿……给你的那本书，
我总算可以开始动笔写了哦。",translated,依恩,b383d7b0f7,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#17#12,"ちなみにね、今書いてるのは
王道の冒険小説なの。","顺便说一下，我现在写的
是一本正统王道的冒险小说。",translated,依恩,abceaba6c3,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#18#12,"勢いだけで書いてるから、
矛盾とかあるかもしれないけど……。","因为是凭着一股冲劲在写，
或许会有前后矛盾的地方……",translated,依恩,803bb7b78e,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#19#12,"そうだ、最初の方だけは出来てるから、
ちょっと読んでみるね。","对了，开头部分已经写好了，
我念给你听听看吧。",translated,依恩,bf5e6300f9,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#20#12,"おっほん……。
女冒険者ハナコ・秘境探検記。","咳咳……
女冒险家花子・秘境探险记。",translated,依恩,062e7377eb,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#21#12,"女冒険者のハナコは、大金持ちの家に
生まれた一人娘のお嬢様でした。","女冒险家花子，是一位出生于
豪门巨富之家的千金大小姐。",translated,依恩,551d15b16c,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#22#12,"彼女は冒険に行く前に、その豊富な財力を
使って部下に下調べをさせつつ、
衛星で現地の航空写真を確認します。","她在出发冒险之前，会先用雄厚的财力
让下属去做事前调查，同时
通过卫星确认现场的航拍照片。",translated,依恩,28f131de2e,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_03_main.txt#23#12,"科学と財力を使えば、実際に自分が冒険を
する時に、危険度がグンと下がるからです。","只要充分利用科学与财力，实际冒险时
危险程度就能大幅降低。",translated,依恩,f71fc4c6a4,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#24#12,ドキドキ感ゼロだよ！,一点心跳不已的感觉都没有！,translated,,dacd9cf51d,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_main.txt#25#12,気にはなるけどそれは冒険じゃないよ！,虽然确实挺让人在意但那不叫冒险！,translated,,7c3914f45e,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_main.txt#28#12,うっ……や、やっぱり、ダメだよね？,呜……果、果然不行吧？,translated,依恩,6319577811,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_main.txt#32#12,えへへ、気にはなってくれてるんだ？,嘿嘿，你倒是蛮感兴趣的嘛？,translated,依恩,8a657f8ba9,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_main.txt#33#12,"……でも、あなたの言う通り、
これは冒険小説とは言わないよね？","……不过正如你说的，
这大概不能叫冒险小说吧？",translated,依恩,202715060b,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#35#12,"大金持ちのお嬢様とか、
最新鋭の科学技術とか、思いついたものを
とにかく詰め込んだせいかな？","大富千金呀，
最新锐科技呀，因为把想到的东西
全塞进去了，所以才会这样吧？",translated,依恩,8521f04586,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_03_main.txt#36#12,"それに、危険なことをそうまでして
避けたら、本人が現地に着いた時には
何事もなく終わっちゃいそうだし……。","而且如果把危险都规避了的话，
主角到了现场的时候，
一切就已经风平浪静了吧……",translated,依恩,fc87bda957,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_03_main.txt#37#12,……冒険小説は、やめた方がいいね。,……冒险小说，还是算了吧。,translated,依恩,415a5a8258,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_main.txt#38#12,"何か別の物を書けないか、
もう一度考えてみるよ。","我再想想能不能写点别的东西，
重新考虑一下吧。",translated,依恩,a1aab5860b,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_main.txt#39#14,"冒険小説でドキドキ感
を出すのって難しい。
考え直さなきゃ……。","要在冒险小说里
营造紧张感好难啊。
得重新想想才行……",translated,,4ca29a4607,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_03_sub.txt#7#12,"そういえば、あなたも本……じゃなくても
いいかな。
物語とかそういうの書いたことある？","说起来，你之前也写过书……
不，不一定得是书也行。
写过故事之类的东西吗？",translated,依恩,52263d923c,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_03_sub.txt#8#12,"良いお話を作る秘訣ってなんだろう、
って考えることがあって……。","我一直在琢磨到底怎么样
才能写出好故事呢……",translated,依恩,ad30c0f448,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_sub.txt#9#12,あなたは何か良い方法知ってるかな？,你知道什么好方法吗？,translated,依恩,21ca7aec30,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_sub.txt#10#12,いろんな種類の本を読む,多读各种类型的书,translated,,8ec2287ef2,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_sub.txt#11#12,たくさんの人に読んでもらう,让很多人来读一读,translated,,94f49d146f,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_sub.txt#14#12,あっ、それならわたしにも出来そう！,啊，那个我好像也能做到！,translated,依恩,445d52daa2,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_sub.txt#15#12,"今までにもいっぱい読んできたけど、
もっといろんな種類の本を読んでみるね。","虽然之前已经读了很多了，
但我会试着去读更多种类的书的。",translated,依恩,0ab2d905ae,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_sub.txt#19#12,う～ん、それはちょっと無理かも……。,唔～那个可能有点难办……,translated,依恩,09c2838ba6,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_03_sub.txt#20#12,"読んでもらう、っていってもここの近くには
ねりこさんしかいないし……。","说是让别人来读，可我附近
也只有妮莉库一个人呢……",translated,依恩,da1713ff33,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_sub.txt#21#12,"でも、何か良いアドバイスが貰えるかも
しれないし、今度読んでもらおうかな。","不过说不定能得到什么好的建议，
下次找她读一读吧。",translated,依恩,42f9e705ff,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_03_sub.txt#23#14,"本を作る秘訣って人に
よって違うのかな？","做书的秘诀会因人
而异吗？",translated,,aba4021d67,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#10#12,あっ、ちょうどよかったよ！,啊，来得正好♪,translated,依恩,3578618a73,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_main.txt#13#12,"えへへ……あなたに送るための本、
ようやく書き始められたよ。","嘿嘿，为你准备的书
总算是完成啦。",translated,依恩,b383d7b0f7,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#14#12,"とは言っても、普段書き留めている日記を
まとめてるだけなんだけど……。","话虽如此，其实只是把平时写的
日记整理了一下而已……",translated,依恩,003a106c8d,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#15#12,"ほら、日記って普段口にして言わないような
こととかも書いてるから、それをあなたに
見てもらいたいなぁ、って思ったの。","你看，日记里有些平时不会说出口的
心里话嘛，所以就想
把那些东西拿给你看看。",translated,依恩,d0984efdc3,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_04_main.txt#16#12,ちょっとだけ読んでみるから、聞いててね。,我稍微读一点，你听听看。,translated,依恩,562fdbcba2,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_main.txt#17#12,"おっほん……。
朝起きたら、あなたがいてくれました。
嬉しくて目が覚めたよ、バンザーイ！","咳咳……
早上醒来，你在那里。
开心得一下子就清醒了，万岁！",translated,依恩,2a6987c776,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_04_main.txt#18#12,"今日はご飯がすごく美味しくて、
自然と笑顔になれました。
ちょっと幸せ……。","今天的饭菜特别好吃，
不由自主地就露出了笑容。
稍微有点幸福……",translated,依恩,bc82f328d4,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_04_main.txt#19#12,"今日はお昼寝をしました。
どうしてお昼寝はあんなに
気持ちがいいのかな？","今天睡了个午觉。
午觉为什么
那么舒服呢？",translated,依恩,f939f2d8de,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_04_main.txt#20#12,"こんな感じなんだけど、どうかな？
わたしの心情がわかりやすく書かれてる
でしょ？","大概就是这种感觉，你觉得怎么样？
我的心情有没有表达得很清楚
呢？",translated,依恩,261ffc1801,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_04_main.txt#21#12,続き、読んでみたいと思わない？,不想读读后续吗？,translated,依恩,bda9da2507,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_main.txt#22#12,いつも見てるからわかってるし,反正我每天都看着你所以都知道啦,translated,,372258285a,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_main.txt#25#12,"そう思ったから、普段言葉にはしない
心情とかも入れてみたんだけど……。","我也是这么想的，所以特意加了些
平时不会说出口的心情在里面……",translated,依恩,dfff2377e8,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#26#12,"でも、実際に言葉にして読んでみると……
これ、ちょっと酷いかも。","但实际读出声来之后……
这个，好像有点糟糕呢。",translated,依恩,ef97d6f0b9,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#27#12,"子供でももうちょっとちゃんとした
日記を書くような気がするし。","我总觉得，连小孩子都能写出
比这更像样的日记呢。",translated,依恩,09b262b656,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#28#12,"……やっぱり、日記はやめて
他のを書くことにするよ。","……果然日记行不通，
我决定换成写别的东西了。",translated,依恩,ff2f710bc4,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_main.txt#29#14,"日記の形にしてみたけ
どダメだった……。
どうしようかな……。","试着做成日记的形式
但失败了……
该怎么办才好呢……",translated,,4a0c50b063,br=0 nl=2,3,
inc/event/res/daysevent_book/day_book_04_sub.txt#4#12,"う～ん、あれから本のこと考えてみたけど、
あんまり良い考えが出てこないの……。","唔～那之后我一直在想书的事，
但好的点子怎么也想不出来……",translated,依恩,36e8496044,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_sub.txt#5#12,ねぇ……『面白い』、って何かな？,"呐……""有趣""到底是什么呢？",translated,依恩,9a7648a2cb,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_sub.txt#6#12,"たくさん読んで、そう思った本はいっぱいある
はずなのに……。","明明读了那么多，觉得好看的书
应该有一大堆才对……",translated,依恩,a7338263ab,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_sub.txt#7#12,なんか、よく分からなくなってきちゃった……。,不知怎的，越想越搞不明白了……,translated,依恩,706ad7f899,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_sub.txt#8#12,人それぞれだから分からない,每个人看法不同所以不好说,translated,,67b84c799d,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_sub.txt#9#12,イオンがそう思えるものを書けば良い,依恩觉得有趣的东西，写出来就好了,translated,,5ebc1b6593,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_sub.txt#12#12,"そう……だよね。
人それぞれだもんね……。","是……这样呢。
每个人的感受确实不一样嘛……",translated,依恩,35040761ef,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_sub.txt#16#12,"わたしが『面白い』って思えるもの？
……それでいいのかな？","我自己觉得""有趣""的东西？
……那样就可以了吗？",translated,依恩,cf7397f236,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_sub.txt#18#12,"ごめんね。
変なこと聞いちゃって……。","对不起。
问了你奇怪的问题……",translated,依恩,4db43785f1,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_sub.txt#19#12,でもなんか……少しスッとしたかも。,不过……心里好像稍微轻松了一些呢。,translated,依恩,4ce66c0984,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_04_sub.txt#20#12,"ありがとう、あなたに聞いてもらえて良かった。
あとはわたしが自分で頑張ってみるね。","谢谢你，能有你倾听真的太好了。
剩下的我会靠自己努力的。",translated,依恩,518113f6b7,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_04_sub.txt#21#14,"本のこと、難しく考え
すぎてたのかな？","关于书的事，
是不是想得太复杂了呢？",translated,,d0fb4d2249,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_05_main.txt#10#12,あっ、ちょうどよかったよ！,啊，来得正好♪,translated,依恩,3578618a73,br=0 nl=0,1,
inc/event/res/daysevent_book/day_book_05_main.txt#13#12,"えへへ……あなたに送るための本、
着々と完成に近づいてるよ。","嘿嘿……给你的那本书，
正在一步步接近完成了哦。",translated,依恩,07a2a329d3,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_05_main.txt#14#12,"やっぱりあなたに送るんだから、
詩が良いんじゃないかなって思ったの。","我想着既然是寄给你的嘛，
写首诗应该会比较好吧。",translated,依恩,521f448068,br=0 nl=1,2,
inc/event/res/daysevent_book/day_book_05_main.txt#15#12,"ちょっとだけ読んでみるから、
感想もらえると嬉しいな。","我稍微读一段，
能说说感想的话我会很开心的。",translated,依恩,235487367b,br=0 nl=1,2,
