id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dateromevent/de01_01.txt#6#12,邪魔するぞ～。,打扰啦～。,translated,妮莉库,c6c29684cb,br=0 nl=0,1,
inc/event/res/dateromevent/de01_01.txt#7#12,"いやはや、この仕事も楽じゃないのう。
まあ、お前さんの仕事には負けるが…。","哎呀呀，这份差事也挺不容易的呐。
不过嘛，比起你小子的工作还是差了点……。",translated,妮莉库,8a5cf69daf,br=0 nl=1,2,
inc/event/res/dateromevent/de01_01.txt#8#12,"どうかの？
ちゃんと生きとるか？","怎么样啊？
你小子还好好活着吗？",translated,妮莉库,0f657d0e5a,br=0 nl=1,2,
inc/event/res/dateromevent/de01_01.txt#9#12,"そっちの世界で死んでいたり
せんじゃろな？　むふふ…。","该不会在那边的世界已经死翘翘了吧？
唔呵呵……。",translated,妮莉库,036f9ab398,br=0 nl=1,2,
inc/event/res/dateromevent/de01_01.txt#10#12,こら、生きておるなら返事をせい。,喂，要是还活着就吱个声嘛。,translated,妮莉库,7934dc19fd,br=0 nl=0,1,
inc/event/res/dateromevent/de01_01.txt#13#12,せっかく出てきてやったのじゃ。,老身可是难得特意跑来一趟呢。,translated,妮莉库,351c6efe25,br=0 nl=0,1,
inc/event/res/dateromevent/de01_01.txt#14#12,"…ふむ。
本当に生きておらんのか、
それとも端末が壊れたか……。","……唔。
是真的一命呜呼了呢，
还是说终端坏掉了呢……。",translated,妮莉库,08093825e7,br=0 nl=2,3,
inc/event/res/dateromevent/de01_01.txt#17#12,"…まあ、仕方ない。
別に今、どうこうする事はないからの。","……嘛，拿你没办法。
反正眼下老身也没什么非做不可的事。",translated,妮莉库,ec88f0a633,br=0 nl=1,2,
inc/event/res/dateromevent/de01_01.txt#20#12,また日を置いて来てみるとするか。,还是过两天再来看看吧。,translated,妮莉库,9208a4bf4d,br=0 nl=0,1,
inc/event/res/dateromevent/de01_01t.txt#1#12,<CLBU>おーおー、生きておったか。,<CLBU>哎呀呀，原来还活着呐。,translated,妮莉库,521e1a9d36,<CLBU> br=0 nl=0,1,keep-tags <CLBU>
