id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/systemevent/auto_result.txt#4#12,"前回終了以降に、イオンが採取してきた
アイテムがあります。","在上一次结束之后，依恩采集到了
新的道具。",translated,【材料筹措速报♪】,5bbd04a552,br=0 nl=1,2,
inc/event/res/systemevent/auto_result.txt#10#12,"前回終了以降に、イオンが完成させた
アイテムがあります。","在上一次结束之后，依恩完成了
新的道具制作。",translated,【制作完成速报♪】,52291881e1,br=0 nl=1,2,
inc/event/res/systemevent/sys_and.txt#2#12,あとねー……。,还有哦～……。,translated,依恩,b7bf07a91a,br=0 nl=0,1,
inc/event/res/systemevent/sys_and.txt#4#12,それとね！,还有呢！,translated,依恩,dc09c0696a,br=0 nl=0,1,
inc/event/res/systemevent/sys_and.txt#6#12,それとね～……。,还有呢～……。,translated,依恩,117ed40883,br=0 nl=0,1,
inc/event/res/systemevent/sys_and.txt#8#12,えっと、ほかには……。,那个，另外还有……。,translated,依恩,b159f5fa55,br=0 nl=0,1,
inc/event/res/systemevent/sys_and.txt#10#12,それから……。,然后是……。,translated,依恩,bd8ebe4bda,br=0 nl=0,1,
inc/event/res/systemevent/sys_cielending_start01.txt#1#12,"こちらはエンディングイベント開始状態にする
デバッグ用イベントになります。","本事件为将游戏切换至结局事件开始状态的
调试用事件。",translated,系统文本,0a7eea289a,br=0 nl=1,2,
inc/event/res/systemevent/sys_cielending_start01.txt#2#12,実行すると以下の状態になります。,执行后将变为以下状态。,translated,系统文本,57d11fd9df,br=0 nl=0,1,
inc/event/res/systemevent/sys_cielending_start01.txt#3#12,"1)ME12_10までの夢セカイを見た状態
2)上記とリンクするメインイベント発生済み
3)上記とリンクするアイテム作成済み(5)","1)已观看至ME12_10的梦世界
2)与上述内容链接的主事件已触发
3)与上述内容链接的道具已制作(5)",translated,系统文本,cd77c3fc35,br=0 nl=2,3,
inc/event/res/systemevent/sys_cielending_start01.txt#4#12,"4)チュートリシャールは未作成
5)廃墟マップは未修復状態
6)すべてのデートカード取得済み","4)教程夏尔尚未制作
5)废墟地图为未修复状态
6)已获取全部约会卡片",translated,系统文本,cce07bce02,br=0 nl=2,3,
inc/event/res/systemevent/sys_cielending_start01.txt#5#12,実行しますか？,要执行吗？,translated,系统文本,847290614d,br=0 nl=0,1,
inc/event/res/systemevent/sys_cielending_start01.txt#6#12,実行する,执行,translated,,cd9fad5c6a,br=0 nl=0,1,
inc/event/res/systemevent/sys_cielending_start01.txt#7#12,実行しない,不执行,translated,,c126c4979e,br=0 nl=0,1,
inc/event/res/systemevent/sys_cielending_start02.txt#1#12,"こちらは部屋崩壊直前の状態にする
デバッグ用イベントになります。","本事件为将状态切换至房间崩塌直前的
调试用事件。",translated,系统文本,12d74e6702,br=0 nl=1,2,
inc/event/res/systemevent/sys_cielending_start02.txt#2#12,実行すると以下の状態になります。,执行后将变为以下状态。,translated,系统文本,57d11fd9df,br=0 nl=0,1,
