id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dayseventrc01/day_anim.txt#5#12,そうだ。聞いてよ！,对了。你听我说呀！,translated,依恩,792038d814,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim.txt#6#12,"ねりこさんたら、
わたしは動物に例えたらカバだって
いうんだよ！","妮莉库居然说，
要是把我比喻成动物的话，
就像河马一样呢！",translated,依恩,59dfafc4f5,br=0 nl=2,3,
inc/event/res/dayseventrc01/day_anim.txt#7#12,"まぬけそうなところが、
そっくりなんだって……ひどいよね！？","说那种呆头呆脑的地方
简直一模一样……太过分了吧！？",translated,依恩,96069f68f0,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim.txt#8#12,カバかわいい,河马挺可爱的啊,translated,,53c1f4510a,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim.txt#9#12,そいつはひどい,那可太过分了,translated,,40395ec88e,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim.txt#12#12,あぅ……。そうかなぁ……。,啊呜……是这样吗……,translated,依恩,eb691e319d,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim.txt#13#12,"う～ん、たしかにかわい……くも
ないような……。","唔～虽说确实挺可……
爱好像也不算……",translated,依恩,ceaae0c0dd,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim.txt#14#12,うぅ、でもやっぱりやだよ～……。,呜呜，但我果然还是不要啦～……,translated,依恩,0d66d8592b,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim.txt#18#12,そうだよね！,就是说嘛！,translated,依恩,966a987ccf,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim.txt#19#12,"どうせ、動物に例えるなら、
もっとかわいいのがいいよ。","反正要比喻成动物的话，
更可爱一点的会比较好吧。",translated,依恩,bdebf92969,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim.txt#20#12,"あ、ち、違うよ、わたし自身がかわいいとか
じゃなくて……だから、その。","啊、不、不是啦，不是说我自己很可爱
什么的……那个，呃。",translated,依恩,1386cbafea,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim.txt#21#12,"えっと、ごめんなさい。
わたしだってその……女の子だもん。","呃，对不起。
因为人家好歹也是……女孩子嘛。",translated,依恩,e2c6145a29,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim.txt#22#12,"かわいく見られたいって
気持ちはあるんだよ？","希望能被人觉得可爱
也是人之常情吧？",translated,依恩,9a20f879b3,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim02.txt#5#12,"そういえば、前に話した“動物に例えたら”
って話だけど……。","说起来，关于之前聊过的“比喻成动物”
那个话题……",translated,依恩,21c9183892,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim02.txt#6#12,"あなたから見て、
わたしはどんな動物っぽいかな？","在你看来，
我像什么动物呢？",translated,依恩,a90b0bd8c2,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim02.txt#7#12,かわいい小動物系,可爱的小动物系,translated,,80948dca2f,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim02.txt#8#12,カバ……かな,河马……吧,translated,,168f22b17b,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim02.txt#12#12,"そ、そうだよね。
間違ってもカバなんかじゃないよね。","就、就是说嘛。
再怎么说也绝不会是河马吧。",translated,依恩,3939b81c07,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim02.txt#13#12,"あなたにまでカバって言われたら
どうしようかと思ったよ……。","要是连你也说我是河马，
我都不知道该怎么办才好了……",translated,依恩,830e1bfa0b,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim02.txt#14#12,それにしても、なんかちょっと嬉しいな。,不过不知怎的，心里稍微有点开心呢。,translated,依恩,f8caff6ffa,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim02.txt#15#12,"小動物かぁ……。
えっと……。","小动物啊……
我想想……",translated,依恩,c83b24c478,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_anim02.txt#16#12,わん！,汪！,translated,依恩,178ab00db1,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_anim02.txt#17#12,えへへ、こんな感じかな？,嘿嘿，大概是这种感觉吗？,translated,依恩,fd4c007ca1,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#5#12,最近ね、ミステリー小説を読んでるの。,最近呢，我一直在读悬疑小说哦。,translated,依恩,325bf95d62,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#6#12,"ミステリーって、読んでる人が
ちゃんと推理できるように
いくつか決まりごとがあるよね。","悬疑小说为了让读者
能好好地进行推理，
似乎有好几条约定俗成的规则呢。",translated,依恩,31b88b56f6,br=0 nl=2,3,
inc/event/res/dayseventrc01/day_book01.txt#7#12,"特に推理に必要な要素は全部出てないと、
推理のしようがないもん。","尤其是推理所必需的要素要是不全给齐，
读者根本就无从推理嘛。",translated,依恩,2d50f4b1c8,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_book01.txt#8#12,"時々そういう決まりごとを守ってない
ミステリー物もあるけど……。","虽然偶尔也有不遵守这类规则的
悬疑作品就是了……",translated,依恩,e9b9d05af2,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_book01.txt#9#12,"それはそれで特徴があって、
面白かったりもするんだよね。","不过那种作品也算别具一格，
有时候还挺有趣的呢。",translated,依恩,a857f74b38,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_book01.txt#10#12,"そういえば、
あなたってどんな本が好きなの？","说起来，
你平时喜欢读什么样的书呢？",translated,依恩,557bfb0e49,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_book01.txt#11#12,ミステリーが好き,喜欢悬疑类的,translated,,268bb48cd0,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#12#12,ファンタジーが好き,喜欢奇幻类的,translated,,fe467aa7f0,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#15#12,ホントに！？,真的吗！？,translated,依恩,0313f68299,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#16#12,"えへへ、それじゃトリックとかで
分からないことあったら聞いちゃおうかな。","嘿嘿，那要是有弄不懂的手法，
我就向你请教好啦。",translated,依恩,6cfa7615dd,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_book01.txt#17#12,あなたをわたしの助手第一号に任命します！,任命你为我的第一号助手！,translated,依恩,299368c382,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#18#12,……なんてね。,……开玩笑的啦。,translated,依恩,a552ad3729,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#22#12,そうなんだ。,这样啊。,translated,依恩,2c13fb5706,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_book01.txt#23#12,"ファンタジー物はわたしもよく読むし、
よかったら今度、あなたの世界のお話も
聞いてみたいな。","奇幻类的作品我也经常读呢，
下次方便的话，
真想听听你那个世界里的故事呢。",translated,依恩,7226054024,br=0 nl=2,3,
inc/event/res/dayseventrc01/day_book01.txt#25#14,"本のお話、これから
もっとしてみたいな♪","真想今后也能和你
聊更多关于书的话题呢♪",translated,,80a60fd7a8,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau02.txt#5#12,"あなたの世界の機械って
ちょっと変わってるんだ。","你那个世界的机械
稍微有些奇怪呢。",translated,依恩,f4f25012b9,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau02.txt#6#12,何より真空管が付いてないし……。,最重要的是上面居然没装真空管……,translated,依恩,6f72cbe333,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau02.txt#7#12,"どうやって動いているのか、
すごく興味があるよ。","它们到底是怎么运转的，
我真的很感兴趣呢。",translated,依恩,56f0000f84,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau02.txt#8#12,真空管の方が変わってる,真空管这边才更奇怪吧,translated,,8ad8238d5c,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau02.txt#9#12,こっちも興味がある,我也挺感兴趣的,translated,,b60a3e7290,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau02.txt#12#12,そ、そうかな？,是、是这样吗？,translated,依恩,c57115fbbc,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau02.txt#13#12,でも、そういうものかもしれない。,不过，也许确实是那么回事呢。,translated,依恩,178f82305a,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau02.txt#17#12,"えへへ、お互いに知りたいって思うのは
気の合う証拠……かな？","嘿嘿，彼此都想要了解对方的世界，
算不算是情投意合的证明呢……？",translated,依恩,6f0a1242ba,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau02.txt#19#12,"きっとこれからも、わたしにとっての普通が
あなたの普通じゃないこともあるよね。","我想今后也一定会有“在我看来很普通的事，
在你眼里却并不寻常”的时候吧。",translated,依恩,1fecf64b0f,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau02.txt#20#12,むしろそれが楽しみで仕方ない……。,不如说光是想想就让我期待得不行……,translated,依恩,2f7039d094,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau02.txt#21#12,もっとたくさんのこと知りたいな。,真想了解更多更多的事情啊。,translated,依恩,4d26dc701b,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#5#12,そうだ。,对了。,translated,依恩,1eaddbf339,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#6#12,"前に変わった生き物については聞いたけど、
普通のは聞いてなかったね。","之前我打听过奇特的生物，
但普通的生物还没问过呢。",translated,依恩,dbc1aa0862,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau03.txt#7#12,"あなたの世界の生き物って、
どういうのがいるの？","你那个世界的生物，
一般都有些什么样的呢？",translated,依恩,11a1df4309,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau03.txt#8#12,やっぱり犬や猫とかはいたりするの？,果然也是会有猫猫狗狗之类的吗？,translated,依恩,a97cdf67f0,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#9#12,普通に犬や猫がいる,普通地有猫和狗,translated,,316bc00417,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#10#12,ドラゴンがいる,有龙,translated,,2cbb3cb470,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#13#12,"やっぱり、
そういうところは変わらないんだ。","果然，
这种地方还是大同小异的呢。",translated,依恩,30d0c2550d,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau03.txt#14#12,"生物が生きれる環境って限定されそうだし、
そのせいで似たような生態系になるのかな？","生物能够生存的环境似乎也很有限，
所以才会形成相似的生态系统吧？",translated,依恩,dee408cb95,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau03.txt#15#12,"本当のところは考えても分からないけど、
似ているところもやっぱり多いみたいだね。","真相到底如何就算绞尽脑汁也想不明白，
不过看起来相似之处果然还是挺多的呢。",translated,依恩,a8b8139f60,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau03.txt#19#12,すごいドラゴンがいるんだ！,居然有那么厉害的龙啊！,translated,依恩,70eb7b6d5c,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#20#12,って、それはさすがに嘘だって分かるよ！,喂，这种话再怎么说我也知道是骗人的啦！,translated,依恩,fb003fc9a7,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau03.txt#21#12,"前にいないって言ってたの
ちゃんと覚えてるもん。","你之前说过没有龙，
我可都好好记着呢。",translated,依恩,8c7709b04d,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau03.txt#22#12,"せっかくお話したことを
そう簡単に忘れたりしないよ。","好不容易跟你聊过的事情，
我才不会那么轻易就忘掉呢。",translated,依恩,e9c7fd7170,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau04.txt#5#12,そういえば、聞いてみたいことがあるの。,说起来，我有一件事想问问看。,translated,依恩,4303fedfcb,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau04.txt#6#12,"あなたの世界には変わった生き物って
いるかな？","你的世界里有那种
奇奇怪怪的生物吗？",translated,依恩,7dd4944f6c,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau04.txt#7#12,"例えば、人の言葉を喋る植物とか……、
ドラゴンとか……。","比方说，会讲人类语言的植物啦……
或者龙之类的……",translated,依恩,3873afd013,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau04.txt#8#12,もしそういうのがいるなら教えて欲しいな。,如果真有那种生物的话，请一定要告诉我哦。,translated,依恩,10ade1d077,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau04.txt#9#12,空想の世界になら,幻想世界里倒是有,translated,,c8f0b765e8,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau04.txt#10#12,いたらビックリ,真有的话就吃惊了,translated,,803287f6eb,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau04.txt#17#12,そっか、あなたの世界にはいないんだ……。,这样啊，你的世界里没有啊……,translated,依恩,c57bf90701,br=0 nl=0,1,
inc/event/res/dayseventrc01/day_cau04.txt#18#12,"わたしの世界にはどこかにいるって
聞いたことがあるんだけど……。","我听说在我们世界的某个角落
好像是存在的……",translated,依恩,e4ee4f189d,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau04.txt#19#12,"すごく珍しいらしいから、
わたしもまだ見たことないの。","不过听说非常稀有，
所以我自己也还没亲眼见过呢。",translated,依恩,6edf8cf360,br=0 nl=1,2,
inc/event/res/dayseventrc01/day_cau04.txt#20#12,一度でいいから、いつか見てみたいなぁ。,哪怕只有一次也好，真想什么时候见见看啊。,translated,依恩,39df7915af,br=0 nl=0,1,
