id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/itemevent01/rt_as01a.txt#3#12,ふぅ～……やっと完成～。,呼～……终于完成啦～。,translated,依恩,1285223b1a,br=0 nl=0,1,
inc/event/res/itemevent01/rt_as01a.txt#4#12,"はい、どんなものでも磨ける魔法の粉、
研磨剤だよ。","给，无论什么都能打磨光亮的魔法之粉，
研磨剂哦。",translated,依恩,86b2f97385,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#5#12,"さすがはどんなものでも磨ける研磨剤だよ。
作るのが大変でもうヘトヘトだよ。","真不愧是无所不磨的研磨剂呢。
做起来太费劲，我都快累趴下了。",translated,依恩,ece1dfa850,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#6#12,"……うん、ごめんね、今のウソ。
だってすり潰しただけだもん。","……嗯，抱歉啦，刚才骗你的。
毕竟只是把它研磨捣碎而已嘛。",translated,依恩,01a0662632,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#7#12,"でも細かくすり潰すのが大変だった、って
いうのは本当だけどね。","不过要研磨得很细很费劲，
这倒是大实话哦。",translated,依恩,511413a313,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#8#12,"見ればわかるけど、凄く細かい粉に
なってるんだよ？","你看一眼就知道，
已经变成非常细腻的粉末了吧？",translated,依恩,b20abd33cc,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#9#12,"砂粒よりも細かいんだからね。
本当に苦労したよ……。","比沙粒还要细呢。
真的花了我好大一番功夫哦……",translated,依恩,1fd9bd1267,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#10#12,"でもこれでどんな硬いものでも、削って形を
整えることができるね。","不过这样一来，不管多坚硬的东西，
都能通过打磨来修整形状了呢。",translated,依恩,f64a9332e3,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#11#12,"作り方は単純だけど、使える場所が多いから
すぐに役に立ってくれそうだよ。","虽然制作方法很简单，但应用范围很广，
感觉马上就能派上用场哦。",translated,依恩,165b54279a,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#13#14,研磨剤を作ったよ♪,制作了研磨剂♪,translated,,c8951472ea,br=0 nl=0,1,
inc/event/res/itemevent01/rt_as01a.txt#15#14,研磨剤が完成したよ♪,研磨剂制作完成啦♪,translated,,da3f6fd134,br=0 nl=0,1,
inc/event/res/itemevent01/rt_as01a.txt#17#14,"研磨剤の作成完了。
次は何を作ろうかな♪","研磨剂制作完毕。
接下来要做什么好呢♪",translated,,be417232ec,br=0 nl=1,2,
inc/event/res/itemevent01/rt_as01a.txt#19#14,研磨剤ができたよ♪,研磨剂做好了♪,translated,,bf9a53e104,br=0 nl=0,1,
inc/event/res/itemevent01/rt_as01e.txt#3#12,ん、これでよし！,嗯，大功告成！,translated,依恩,1c3e3284d1,br=0 nl=0,1,
inc/event/res/itemevent01/rt_as01e.txt#4#12,はい、研磨剤ができたよ。,喏，研磨剂做好了哦。,translated,依恩,6b3c73d5e4,br=0 nl=0,1,
