id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/lockevent/ion_lock_01_01.txt#6#12,"ごめんなさい……。
今は一人にして……。","对不起……
现在请让我一个人静一静……",translated,依恩,1fbc4218b8,br=0 nl=1,2,
inc/event/res/lockevent/ion_lock_01_01.txt#8#12,"……あっ。
……また、ね。","……啊。
……下次、再聊吧。",translated,依恩,ec9614a6f3,br=0 nl=1,2,
inc/event/res/lockevent/ion_lock_01_01.txt#10#12,"ごめんね……。
まだ気持ちの整理がつかないの……。","对不起呢……
我的心情还没办法彻底平复下来……",translated,依恩,b053794829,br=0 nl=1,2,
inc/event/res/lockevent/ion_lock_01_01.txt#14#12,わたし……どうしたら……。,我……究竟该怎么办才好……,translated,依恩,4a240a8d51,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_01.txt#16#12,あんなの……。,那种事情……,translated,依恩,8b1840d931,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_01.txt#17#12,ううん、なんでもない……。,不、没什么的……,translated,依恩,cbc2a13bff,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_01.txt#19#12,ここって……。,这个地方是……,translated,依恩,1ffbbe943a,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_01.txt#23#12,お願い……一人にして……。,求你了……让我一个人静静吧……,translated,依恩,c0b6c7e3f5,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_01.txt#25#12,もう少し……時間を頂戴……。,请再给我……一点时间……,translated,依恩,b9ae499b58,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_01.txt#27#12,ごめん、また今度……。,对不起，下次再聊吧……,translated,依恩,2019f0258d,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_02.txt#5#12,"ん……。
……カノン……さん……。","唔……
……卡诺……小姐……",translated,依恩,9dfa0bef34,br=0 nl=1,2,
inc/event/res/lockevent/ion_lock_01_02.txt#7#12,……怖いよ……ネイちゃん……。,……我好害怕啊……奈依酱……,translated,依恩,b707fa252d,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_02.txt#9#12,"わた……し……。
……どう……して……。","我……究竟……
……为……什么……",translated,依恩,99d84aad31,br=0 nl=1,2,
inc/event/res/lockevent/ion_lock_01_02.txt#13#12,……やだよ。,……不要啊。,translated,依恩,c2db575947,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_02.txt#15#12,ダメ……レナルルさん……。,不要……蕾娜露露小姐……,translated,依恩,e8964e8a6c,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_02.txt#17#12,みん……な……。,大……家……,translated,依恩,bbafe04056,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_02.txt#21#12,うぅ……。,呜呜……,translated,依恩,7e9d35f0a5,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_03.txt#4#12,えっと……また今度でもいい？,那个……改天再聊可以吗？,translated,依恩,7187946c91,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_03.txt#6#12,"ごめんね、今そういう気持ちに
なれないから……。","对不起，我现在真的
提不起那个心情来……",translated,依恩,364411c7a1,br=0 nl=1,2,
inc/event/res/lockevent/ion_lock_01_03.txt#8#12,……え？　今呼んだ？,……诶？你刚才叫我了吗？,translated,依恩,85b6aab4cb,br=0 nl=0,1,
inc/event/res/lockevent/ion_lock_01_04.txt#4#12,あっ……おはよう……。,啊……早上好……,translated,依恩,05a1679a23,br=0 nl=0,1,
