id,jp,zh,status,max_bytes,src,ctl,occurrences,note
exe:8f754d89,"
このセーブデータをロードしますか？

","
要读取这个存档吗？

",translated,54,8f754d89e1,br=0 nl=3,1,多行
exe:3b8b824e,"
このセーブデータを上書きしますか？

","
要覆盖这个存档吗？

",translated,54,3b8b824ef4,br=0 nl=3,1,多行
exe:7483321c,"
エラー内容","
错误内容",translated,16,7483321cd0,br=0 nl=1,1,多行
exe:925369a3,"
セーブ中です。

","
正在保存。

",translated,24,925369a3be,br=0 nl=3,1,多行
exe:514c0054,"
新しくセーブデータを作成しますか？

","
要新建存档吗？

",translated,54,514c005426,br=0 nl=3,1,多行
exe:afcd5279,(原因コード:い-1),(原因代码:い-1),translated,23,afcd5279ea,br=0 nl=0,1,
exe:810ce40d,(原因コード:ち-8),(原因代码:ち-8),translated,23,810ce40d9c,br=0 nl=0,1,
exe:792b44ad,(原因コード:と-7),(原因代码:と-7),translated,23,792b44ad8d,br=0 nl=0,1,
exe:58b8eba3,(原因コード:に-4),(原因代码:に-4),translated,23,58b8eba3ac,br=0 nl=0,1,
exe:4919ed26,(原因コード:は-3),(原因代码:は-3),translated,23,4919ed26e6,br=0 nl=0,1,
exe:057cf6f2,(原因コード:へ-6),(原因代码:へ-6),translated,23,057cf6f232,br=0 nl=0,1,
exe:b1dec171,(原因コード:ほ-5),(原因代码:ほ-5),translated,23,b1dec171b0,br=0 nl=0,1,
exe:bcfe531f,(原因コード:ろ-2),(原因代码:ろ-2),translated,23,bcfe531f1e,br=0 nl=0,1,
exe:6394539f,<CR>このイベントは現在見れません。<CR>先に別の廃墟を修復する必要があります。,<CR>当前无法观看该事件。<CR>需要先修复其他废墟。,translated,110,6394539f73,<CR> <CR> br=0 nl=0,1,
exe:c3b50666,<CR>修復作業を中断しました。,<CR>已中断修复作业。,translated,40,c3b5066664,<CR> br=0 nl=0,1,
exe:3a250291,ACUIDataBaseがありませんでした。,,skip,42,3a250291b0,br=0 nl=0,1,不修改：调试与断言文本，玩家看不到
exe:dffcf18f,HymPが足りません。,HymP不足。,translated,25,dffcf18f02,br=0 nl=0,1,
exe:21c2170d,"HymPを消費して時間を進めます。
よろしいですか？","将消耗HymP推进时间。
确定吗？",translated,68,21c2170db4,br=0 nl=1,1,多行
exe:905b2d37,"HymPを追加しました。

※注意※
HymP追加後、バッテリー切れ等の不慮の電源
停止等が原因で追加したHymPが消えてしまう
可能性もございますので、                          
セーブすることをお勧めいたします。            ","已追加HymP。

※注意※
追加HymP后，可能因电池耗尽等意外
断电导致已追加的HymP消失，
因此建议
先进行存档。",translated,287,905b2d37f9,br=0 nl=6,1,多行
exe:231a53f1,MyGustIDとシェルノサージュの<CR>連携を解除しました。,已解除 MyGustID 与本作的<CR>关联。,translated,72,231a53f1e3,<CR> br=0 nl=0,1,
exe:dc9efe09,MyGustIDをシェルノサージュに<CR>連携しました！,MyGustID已与本作<CR>完成关联！,translated,63,dc9efe093a,<CR> br=0 nl=0,1,
exe:337dd302,Popタスクが一致しない,,skip,30,337dd30299,br=0 nl=0,1,不修改：调试与断言文本，玩家看不到
exe:68a17da7,Pt.と 経験値を,Pt.与经验值,translated,19,68a17da73c,br=0 nl=0,1,
exe:6d610bbf,finalizeが２重呼び出しされました。,,skip,47,6d610bbfe7,br=0 nl=0,1,不修改：调试与断言文本，玩家看不到
exe:6d7af292,★システムのセーブデータです。,★这是系统存档数据。,translated,45,6d7af2921a,br=0 nl=0,1,
exe:791a817b,"「はい」を選択すると、ゲーム内と
ネットワーク、両方のセーブデータが
全て消えますが、本当によろしいですか？","选择“是”之后，游戏内与网络上的
存档都将全部消失，
确定要继续吗？",translated,158,791a817bea,br=0 nl=2,1,多行
exe:b9e7f906,『7次元通信』への投稿,向『7次元通信』投稿,translated,31,b9e7f9066d,br=0 nl=0,1,
exe:c04868de,』が達成されました！　HymPを,』已达成！　获得HymP,translated,40,c04868de76,br=0 nl=0,1,
exe:a504ed99,【BGM】アルノBGMパック,【BGM】Ar nosurge BGM包,translated,30,a504ed99ed,br=0 nl=0,1,
exe:08eb4e8a,【C&A】カフェ・デ・コモ,【C&A】科莫咖啡馆,translated,33,08eb4e8aab,br=0 nl=0,1,
exe:4e39ec2f,【D-SPOT】プラネタリウム,【D-SPOT】天象仪馆,translated,33,4e39ec2f1e,br=0 nl=0,1,
exe:d213fb96,"【Notice】
このコンテンツは一部補助機能において、
ネットワーク接続を必要とする場合があります。

","【Notice】
本作的部分辅助功能
可能需要连接网络。

",translated,139,d213fb9671,br=0 nl=4,1,多行
exe:9174b05d,】のウィッシュ『,】的愿望『,translated,24,9174b05d87,br=0 nl=0,1,
exe:88cf78a8,あいうえお順(昇),按五十音(升),translated,23,88cf78a8bf,br=0 nl=0,1,
exe:d52fa618,あいうえお順(降),按五十音(降),translated,23,d52fa618c4,br=0 nl=0,1,
exe:91cb5276,あなた,你,translated,9,91cb527661,br=0 nl=0,1,
exe:a219702e,あなたのランキングは        --位,您的排名是        --位,translated,43,a219702ee6,br=0 nl=0,1,
exe:15b26fd0,あなたのランキングは   %5d位,您的排名是   %5d位,translated,39,15b26fd08f,br=0 nl=0,1,
exe:f9015853,いいえ,否,translated,9,f901585367,br=0 nl=0,1,
exe:d3106c72,おおらか,随和,translated,12,d3106c7261,br=0 nl=0,1,
exe:42c12d63,お昼寝中,午睡中,translated,12,42c12d6382,br=0 nl=0,1,
exe:365c3fe6,お片付け,收拾,translated,12,365c3fe66b,br=0 nl=0,1,
exe:5e46a296,お絵かき（暇）,,skip,21,5e46a29690,br=0 nl=0,1,不修改：行为/动作计时标签名，非界面文本
