id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/linkarnosurge/linkarno_get01.txt#7#12,"おぉ、とうだいもりもおったか。
これはちょうど良いときに来たかもしれんの。","哦，灯塔守也在啊。
老身来得可真是时候呐。",translated,妮莉库,bbb97515ac,br=0 nl=1,2,
inc/event/res/linkarnosurge/linkarno_get01.txt#8#12,"いたも何も、わたしそんなに外に
出たりしませんよ？","什么在不在的，
我平时又不大往外跑好不好？",translated,依恩,355cf1b637,br=0 nl=1,2,
inc/event/res/linkarnosurge/linkarno_get01.txt#9#12,"そうは言うが、とうだいもり。
我が顔を出すとき、お前さんはほとんど
おらんじゃろうが。","虽说如此，灯塔守啊，
老身露面的时候，
你基本上都不在吧。",translated,妮莉库,507a35853f,br=0 nl=2,3,
inc/event/res/linkarnosurge/linkarno_get01.txt#10#12,う～ん、そう言われるとたしかに……。,唔～经你这么一说好像确实……,translated,依恩,4a9972acd9,br=0 nl=0,1,
inc/event/res/linkarnosurge/linkarno_get01.txt#11#12,"まぁ、そんな話はどうでも良いんじゃよ。
今日はお前さんに見てもらいたい物があって
来たんじゃ。","算了，那种事先搁一边。
老身今天来，
是有个东西想让你看看。",translated,妮莉库,54691dae71,br=0 nl=2,3,
inc/event/res/linkarnosurge/linkarno_get01.txt#12#12,見てもらいたい物、ですか？,想让我看的东西，吗？,translated,依恩,ea1ba40494,br=0 nl=0,1,
inc/event/res/linkarnosurge/linkarno_get01.txt#14#12,"この紙……書いてあるのは暗号文か
何かですか？","这封纸……上面写的
是密码文之类的吗？",translated,依恩,02906061f0,br=0 nl=1,2,
inc/event/res/linkarnosurge/linkarno_get01.txt#16#12,"さてのぅ。それがわからんからお前さんに
見せに来たんじゃよ。","老身哪知道呢。就是因为看不懂，
才特意拿来给你瞧瞧的呀。",translated,妮莉库,b0d619d6db,br=0 nl=1,2,
inc/event/res/linkarnosurge/linkarno_get01.txt#17#12,"我にはただのゴミにしか見えんが、
とうだいもりならば、と思っての。","在老身看来不过就是张废纸，
但想着要是灯塔守的话，或许能懂。",translated,妮莉库,cc36b8c1ba,br=0 nl=1,2,
inc/event/res/linkarnosurge/linkarno_get01.txt#18#12,"宝の地図や重要な資料である可能性も
一応考えはしたが、読めんことには
どうしようもないんじゃよ。","老身也考虑过可能是藏宝图
或者重要资料，
但读不懂的话就根本没辙呀。",translated,妮莉库,85417d6ebd,br=0 nl=2,3,
inc/event/res/linkarnosurge/linkarno_get01.txt#19#12,宝の地図！？,藏宝图！？,translated,,0a51b44ae7,br=0 nl=0,1,
inc/event/res/linkarnosurge/linkarno_get01.txt#20#12,重要な資料！？,重要资料！？,translated,,7077c56101,br=0 nl=0,1,
inc/event/res/linkarnosurge/linkarno_get01.txt#22#12,"お前さん、そこに食いつくのかの？
意外とがめついんじゃなぁ。","你这家伙，对那个来劲了吗？
没想到还挺贪心的嘛。",translated,妮莉库,f602ba98f4,br=0 nl=1,2,
inc/event/res/linkarnosurge/linkarno_get01.txt#23#12,"しかし、これは我の例え話じゃ。
そもそも、そんな物が我の店に放置されとる
わけがなかろう。","不过，这只是老身打个比方。
老身的店里怎么可能
随便放着那种东西嘛。",translated,妮莉库,3cc74161e5,br=0 nl=2,3,
inc/event/res/linkarnosurge/linkarno_get01.txt#26#12,"あぁ、何を期待しておるか分からんが、
これはあくまでも例えじゃぞ？","啊～虽然不知道你在期待些什么，
但这终究只是打个比方哦？",translated,妮莉库,9615498cf6,br=0 nl=1,2,
