id,jp,zh,status,kind,src,ctl,occurrences,note
91004,天文,天文,translated,glossary-marker,d746b22f67,br=0 nl=0,11,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91005,地文,地文,translated,glossary-marker,8884de35c9,br=0 nl=0,11,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91006,シェルノトロン,榭鲁诺特伦,translated,glossary-marker,a4d6f4f1dd,br=0 nl=0,10,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91007,皇位継承の儀,皇位继承仪式,translated,glossary-marker,d46b5cf548,br=0 nl=0,9,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91008,皇女,皇女,translated,glossary-marker,c6f8a22aba,br=0 nl=0,9,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91009,ジェノム,杰诺姆,translated,glossary-marker,14abe46066,br=0 nl=0,9,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91010,同調,同调,translated,glossary-marker,7b27ecf113,br=0 nl=0,9,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91011,万寿沙羅,万寿沙罗,translated,glossary-marker,26578e0961,br=0 nl=0,9,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91012,コロン,克隆,translated,glossary-marker,08dc89c1c7,br=0 nl=0,8,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91013,PLASMA,PLASMA,translated,glossary-marker,ae08854535,br=0 nl=0,8,
91014,皇帝,皇帝,translated,glossary-marker,198d15ea13,br=0 nl=0,7,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91015,ファーストハーモニクス,第一谐波,translated,glossary-marker,32aeb81ae5,br=0 nl=0,7,
91016,チェイン,连锁,translated,glossary-marker,6ae12057df,br=0 nl=0,7,
91017,夢ノ珠,梦之珠,translated,glossary-marker,93601dd385,br=0 nl=0,7,
91018,グランフェニックス計画,大凤凰计划,translated,glossary-marker,6cbfb88c48,br=0 nl=0,7,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
