id,jp,zh,status,max_bytes,src,ctl,occurrences,note
global:0,"

を選択",选择,translated,12,324ab2cfc4,br=0 nl=2,3,
global:1,"
　シャール（モデル）

を選択","　夏尔（模型）

选择",translated,43,f23a8153bf,br=0 nl=3,2,src-lines=4
global:2,"
をタップ",点击,translated,14,cdd4cc45e7,br=0 nl=1,4,
global:3,BGM無し,无BGM,translated,32,a53002f14f,br=0 nl=0,1,
global:4,ES45カソードについて,关于ES45阴极,translated,29,1e26690192,br=0 nl=0,1,
global:5,"EV/NEXT」ボタンについて
　　メール本文を表示しているときに、メールが２件以上
　　存在する場合、本文枠の左右に「PREV」「NEXT」
　　ボタンが表示されます。
　　これらをタップすることで、一覧画面に戻ること無く、
　　メール本文を順次読み進めることが可能です。
","关于“EV/NEXT”按钮
　　显示邮件正文时，若存在2封以上的邮件，
　　正文框的左右两侧便会显示“PREV”与“NEXT”
　　按钮。
　　通过点击这些按钮，无需返回一览画面，
　　即可顺次阅读邮件正文。",translated,373,790cc63b37,br=0 nl=6,5,src-lines=7; src-longest-line=28
global:6,Gスポット,,todo,14,2b371ed103,br=0 nl=0,1,
global:7,HymPをシャールに１０００投入した証！,向夏尔投入1000HymP的证明！,translated,128,5164efb5bd,br=0 nl=0,1,
global:8,HymPをシャールに１００００投入した証！,向夏尔投入10000HymP的证明！,translated,128,0786d6cfa4,br=0 nl=0,1,
global:9,HymPをシャールに５０００投入した証！,向夏尔投入5000HymP的证明！,translated,128,0dcd5ac2cc,br=0 nl=0,1,
global:10,INSTALL情報,安装信息,translated,15,2dd714651d,br=0 nl=0,1,
global:11,LPmax上昇+10,LPmax上升+10,translated,16,31cb811dd9,br=0 nl=0,3,
global:12,LPmax上昇+12,LPmax上升+12,translated,16,1b0e7e5923,br=0 nl=0,3,
global:13,LPmax上昇+14,LPmax上升+14,translated,16,475a01dbec,br=0 nl=0,3,
global:14,LPmax上昇+16,LPmax上升+16,translated,16,152db89542,br=0 nl=0,3,
global:15,LPmax上昇+18,LPmax上升+18,translated,16,f0f3805a5d,br=0 nl=0,3,
global:16,LPmax上昇+20,LPmax上升+20,translated,16,c59dd792a4,br=0 nl=0,3,
global:17,LPmax上昇+3,LPmax上升+3,translated,14,3c74a67f04,br=0 nl=0,3,
global:18,LPmax上昇+5,LPmax上升+5,translated,14,44e0aa6118,br=0 nl=0,3,
global:19,LPmax上昇+7,LPmax上升+7,translated,14,140d4468cb,br=0 nl=0,3,
global:20,LPの回復が早くなるため、休養時間が短縮できます。,LP回复加快，可缩短休养时间。,translated,72,5468390967,br=0 nl=0,10,src-longest-line=25
global:21,LPの最大値が増えるため、廃墟修復出来る時間が延びます。,LP上限增加，可延长修复废墟的时间。,translated,128,9a33d11570,br=0 nl=0,9,src-longest-line=28
global:22,MyGustID登録,注册MyGustID,translated,15,3c412126e9,br=0 nl=0,1,
global:23,MyGustID紹介,MyGustID介绍,translated,15,16dbbe190d,br=0 nl=0,1,
global:24,"SETTING
　ジェノミリンク
を選択","SETTING
　杰诺米链接
选择",translated,43,dcccb08b6a,br=0 nl=2,1,
global:25,[EV]あったか系,[EV]温馨系,translated,20,49bc0954aa,br=0 nl=0,2,
