id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dateeventroot/back_kigae.txt#2#12,"それじゃ、服着替えちゃうから、
ちょっとごめんね。","那我这就去换衣服啦，
稍等我一下哦。",translated,依恩,c013755ff6,br=0 nl=1,2,
inc/event/res/dateeventroot/back_kigae.txt#8#12,"えへへ。
いつものわたしに戻っちゃった。","诶嘿嘿。
变回平时的我啦。",translated,依恩,d1dd68ecd7,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus.txt#7#12,"え、ええっ！？
わたし！？","诶、诶诶！？
看我！？",translated,依恩,f1e68796e9,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus.txt#8#12,"そ、そんな…わたしなんて見ても
全然楽しくないよぅ…？","怎、怎么这样……就算看我
也一点都不好玩呀……？",translated,依恩,92a47c9f7e,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus.txt#10#12,もっとよく見せて欲しい,希望能让我看个更加清楚,translated,,ee5c0d7719,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#12#12,"…も、もっとって…
えっと、どんな感じかな？","……更、更清楚一点是指……
呃，要怎么做呢？",translated,依恩,b819257ad2,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus.txt#13#12,こうしてみた方がいい？,像这样看会更好吗？,translated,依恩,b16f2cb577,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#16#12,少しはよく見えるようになったかな…？,这样有没有看得更清楚一些了呢……？,translated,依恩,56dc2d395e,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#17#12,でも、色々操作しにくかったりする？,不过，操作起来会不会不太方便呢？,translated,依恩,502606b454,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#22#12,えっと、そろそろいい…かな？,那个，差不多可以了……吧？,translated,依恩,5e14993759,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#24#12,まだ！！,还没看够！！,translated,,9abb7e808c,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#25#12,とても可愛かったよ,非常可爱哦,translated,,8c9b46a2ee,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#27#12,"ええっ……ま、まだ見るの？
はずかしいってばぁ……。","诶诶……还、还要看吗？
都说了好害羞啦……",translated,依恩,a1b4ac7a2b,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus.txt#32#12,それじゃ、元に戻すね。,那我转回去了哦。,translated,依恩,6866eb0001,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus.txt#35#12,"ふぅ。
なんか、すごく恥ずかしかったよぅ？","呼。
总觉得超级害羞的呀？",translated,依恩,135a06603a,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus.txt#37#12,"でも、あなたと長い時間一緒にいられて
ちょっと幸せだったかも。","不过，能和你在一起待这么长时间，
感觉也有点幸福呢。",translated,依恩,43e647054d,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus02.txt#7#12,"え、ええっ！？
わたし！？","诶、诶诶！？
看我！？",translated,依恩,f1e68796e9,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus02.txt#8#12,"そ、そんな…わたしなんて見ても
全然楽しくないよぅ…？","怎、怎么这样……就算看我
也一点都不好玩呀……？",translated,依恩,92a47c9f7e,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus02.txt#14#12,えっと、そろそろいい…かな？,那个，差不多可以了……吧？,translated,依恩,5e14993759,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus02.txt#16#12,まだ！！,还没看够！！,translated,,9abb7e808c,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus02.txt#17#12,とても可愛かったよ,非常可爱哦,translated,,8c9b46a2ee,br=0 nl=0,1,
inc/event/res/dateeventroot/date_bonus02.txt#19#12,"ええっ……ま、まだ見るの？
はずかしいってばぁ……。","诶诶……还、还要看吗？
都说了好害羞啦……",translated,依恩,a1b4ac7a2b,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus02.txt#25#12,"ふぅ。
なんか、すごく恥ずかしかったよぅ？","呼。
总觉得超级害羞的呀？",translated,依恩,135a06603a,br=0 nl=1,2,
inc/event/res/dateeventroot/date_bonus02.txt#27#12,"でも、あなたと長い時間一緒にいられて
ちょっと幸せだったかも。","不过，能和你在一起待这么长时间，
感觉也有点幸福呢。",translated,依恩,43e647054d,br=0 nl=1,2,
inc/event/res/dateeventroot/date_initm.txt#4#12,"えへへ…ごめんね、何度も呼んじゃって。
まだ忙しい感じかな？","诶嘿嘿……抱歉哦，叫了你好多次。
你现在还是挺忙的吗？",translated,依恩,8680e7dd73,br=0 nl=1,2,
inc/event/res/dateeventroot/date_initm.txt#5#12,"えっと…良かったら、そろそろ…行かない？
…デート。","那个……如果可以的话，差不多该……去了吗？
……去约会。",translated,依恩,6579c9c094,br=0 nl=1,2,
inc/event/res/dateeventroot/date_initm.txt#7#12,"えへへ♪
ねえねえ、今日が何の日だか覚えてる？","诶嘿嘿♪
呐呐，你还记得今天是什么日子吗？",translated,依恩,f458161cc4,br=0 nl=1,2,
inc/event/res/dateeventroot/date_initm.txt#8#12,デートの約束をした日だよぅ♪,是约定好要去约会的日子哦♪,translated,依恩,7f5e999a50,br=0 nl=0,1,
inc/event/res/dateeventroot/date_initm.txt#9#12,えっと…今から…行けるかな？,那个……现在……能去吗？,translated,依恩,e0426cdc0e,br=0 nl=0,1,
inc/event/res/dateeventroot/date_initm.txt#11#12,行こう,走吧,translated,,c3e9e3017a,br=0 nl=0,1,
inc/event/res/dateeventroot/date_initm.txt#12#12,もうちょっと後でもいいかな？,再稍微等一会儿可以吗？,translated,,27681ab4c1,br=0 nl=0,1,
inc/event/res/dateeventroot/date_initm.txt#14#12,"やったぁ♪
それじゃ、今から支度するから
ちょっと待っててね！","太好啦♪
那我这就去准备一下，
稍微等我一会儿哦！",translated,依恩,069f0a3417,br=0 nl=2,3,
inc/event/res/dateeventroot/date_initm.txt#556#12,"そっか。
それじゃ、また３時間くらいしたら
声かけてみるね。","这样啊。
那等过了大约3个小时之后，
我再来叫你哦。",translated,依恩,7c057c7bef,br=0 nl=2,3,
inc/event/res/dateeventroot/date_initm.txt#557#12,楽しみにしてるから♪,我会满怀期待地等着的哦♪,translated,依恩,a0fb92efcd,br=0 nl=0,1,
inc/event/res/dateeventroot/date_initt.txt#1#12,<CLBU>…あっ！　いたいた♪,<CLBU>……啊！你在呀♪,translated,依恩,578125f733,<CLBU> br=0 nl=0,1,keep-tags <CLBU>
inc/event/res/dateeventroot/date_initt.txt#2#12,今そっちに行くね。,我现在就过去找你哦。,translated,依恩,f82f9b39eb,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#1#12,"それじゃさっそく、
デートの日にちを決めようよ！","那么事不宜迟，
我们来决定约会的日子吧！",translated,依恩,f8486b01b4,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#2#12,あなたの希望は、いつなのかな？,你希望定在什么时候呢？,translated,依恩,1bddfefaa8,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#3#12,週末,周末,translated,,b5ef4b9470,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#4#12,平日,工作日,translated,,e0400e9328,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#5#12,やっぱり今週は都合が悪い,这周果然还是不太方便,translated,,1dc6e12c5c,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#7#12,"それじゃ、今度の週末に行こっか！
ふふふっ、とっても楽しみ～♪","那就这个周末去吧！
呼呼呼，好期待呀～♪",translated,依恩,f694a10ddd,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#11#12,"平日はお仕事とかしなくちゃいけない日
だけど、あなたは時間があるんだね。","工作日虽然是必须工作的日子，
不过你是有空闲时间的呢。",translated,依恩,9a65fd2304,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#12#12,"でも、毎日時間があるわけじゃ
ないんでしょ？","不过，你也不是每天
都有时间的对吧？",translated,依恩,4bde610c2e,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#13#12,月曜日,周一,translated,,1108ea53f7,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#14#12,火曜日,周二,translated,,9544988aae,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#15#12,水曜日,周三,translated,,47fd994684,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#16#12,木曜日,周四,translated,,d807e193c5,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#17#12,金曜日,周五,translated,,8d75edae77,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#19#12,"うん、わかった！
月曜日だね。","嗯，我知道了！
周一对吧。",translated,依恩,dfe7ff7b61,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#20#12,"それじゃ、今度の月曜日に行こっか！
ふふふっ、とっても楽しみ～♪","那就下周一去吧！
呼呼呼，好期待呀～♪",translated,依恩,9f42198692,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#24#12,"うん、わかった！
火曜日だね。","嗯，我知道了！
周二对吧。",translated,依恩,bc7c956715,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#25#12,"それじゃ、今度の火曜日に行こっか！
ふふふっ、とっても楽しみ～♪","那就下周二去吧！
呼呼呼，好期待呀～♪",translated,依恩,4636e1aaac,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#29#12,"うん、わかった！
水曜日だね。","嗯，我知道了！
周三对吧。",translated,依恩,4ade204488,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#30#12,"それじゃ、今度の水曜日に行こっか！
ふふふっ、とっても楽しみ～♪","那就下周三去吧！
呼呼呼，好期待呀～♪",translated,依恩,646b20fea2,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#34#12,"うん、わかった！
木曜日だね。","嗯，我知道了！
周四对吧。",translated,依恩,d6915670cc,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#35#12,"それじゃ、今度の木曜日に行こっか！
ふふふっ、とっても楽しみ～♪","那就下周四去吧！
呼呼呼，好期待呀～♪",translated,依恩,618a1fa475,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#39#12,"うん、わかった！
金曜日だね。","嗯，我知道了！
周五对吧。",translated,依恩,fdf66c517a,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#40#12,"それじゃ、今度の金曜日に行こっか！
ふふふっ、とっても楽しみ～♪","那就下周五去吧！
呼呼呼，好期待呀～♪",translated,依恩,e0b987e3c5,br=0 nl=1,2,
inc/event/res/dateeventroot/select_day.txt#44#12,そっかぁ…残念。,这样啊……真遗憾。,translated,依恩,c7350af13e,br=0 nl=0,1,
inc/event/res/dateeventroot/select_day.txt#45#12,"それじゃ、また良さそうになった頃に
声かけるね。","那么，等到了感觉方便的时候，
我再来叫你哦。",translated,依恩,381bcd898e,br=0 nl=1,2,
