id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/dateevent02/ice02.txt#3#12,かき氷たろう君、上手にできてるでしょ？,刨冰太郎君，我做得挺不错的吧？,translated,依恩,6fb37dbfc6,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#4#12,"綺麗に飾りつける自信はなかったけど、
こういう可愛い感じの飾り付けなら
わたしだって出来るからね。","虽然我没有什么漂亮装点的自信，
但要是这种可爱风格的装饰，
就连我也是做得到的嘛。",translated,依恩,e1cf84b729,br=0 nl=2,3,
inc/event/res/dateevent02/ice02.txt#5#12,"そういえば、これのレシピを思いついたの
って、海に行ったときだったよね？","说起来，想到这个配方的时候，
正好是去海边的那次对吧？",translated,依恩,5b2a25b113,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#6#12,"冷たいものを見たせいか体が冷えちゃった
気がするし、ちょっと海に行ってみようか？","可能因为看了冷冰冰的东西觉得身体变凉了，
我们要不要去海边走走？",translated,依恩,9f9a2baa15,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#7#12,もちろん！,当然好！,translated,,0df1110bd9,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#8#12,また今度にする,下次再说吧,translated,,1e65b74b2f,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#10#12,"そっか。
それじゃ、また今度にしよっか。","这样啊……
那么，就等下次再去吧。",translated,依恩,52a74e67fd,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#15#12,"えへへ、やったぁ♪
それじゃ、いつも通り準備お願いします♪","嘿嘿，太好啦♪
那么，就和往常一样拜托你准备啦♪",translated,依恩,bef7fa8ccd,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#17#12,とうちゃー……。,到――……,translated,依恩,047448c5b9,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#18#12,"って、暑っ！？
なんか今日は一段と日差しが
強いんだけど！？","等等，好热！？
总觉得今天阳光格外刺眼、
晒得不行啊！？",translated,依恩,b353539665,br=0 nl=2,3,
inc/event/res/dateevent02/ice02.txt#19#12,"う～、もしかして今日の海は
猛暑っていう設定なのかな？","呜～难道说今天的海边，
是设定成了酷暑天气吗？",translated,依恩,fdb86fdea3,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#20#12,"……とにかく、こうしてても仕方ないし、
歩いて風に当たろうよ。","……总之，光站在这里也不是办法，
我们一边走走一边吹吹海风吧。",translated,依恩,cb9266e322,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#22#12,ん～、水着で来て良かったよぉ。,嗯～幸好是穿着泳衣来的呢。,translated,依恩,565d31cf6d,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#23#12,"服を着てる時と違って、今はこの暑さが
凄く気持ちよく感じるの。","和穿着平常衣服时不同，
现在反而觉得这种炎热非常舒服呢。",translated,依恩,ba8550f899,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#24#12,まあ、それでも汗はかいちゃうけどね。,不过，汗该流还是会流就是了。,translated,依恩,85ee0f79f0,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#25#12,特に頭、ここだけはどうしようもないし。,特别是脑袋，只有这里怎么都没办法嘛。,translated,依恩,0b3bf75cb3,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#26#12,"熱中症にならないように気をつけないとね。
あなたも、日差しの強いところに行く時は
気をつけないとダメだよ。","得注意别中暑了才行呢。
你也是，去阳光强烈的地方时
一定要多加小心哦。",translated,依恩,12168b2800,br=0 nl=2,3,
inc/event/res/dateevent02/ice02.txt#28#12,わかってるよ、倒れたことあるからね,我知道啦，因为我以前中暑倒下过嘛,translated,,d4e769e3cd,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#29#12,オッケー、気をつけるよ,好，我会小心的,translated,,f7ad1a4d2e,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#31#12,ふ～ん、そうなん……。,哼～嗯，这样啊……,translated,依恩,7fa27e89ee,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#32#12,"って、えぇっ！？
何その爆弾発言！？","等等，诶诶！？
那是哪门子的惊人发言啊！？",translated,依恩,c90826bc42,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#33#12,"気をつけないとダメだよ！
熱中症で死んじゃうことだってあるんだよ？","你可一定要小心啊！
中暑严重的话甚至可是会死人的哦？",translated,依恩,10449298c4,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#34#12,う～ん、心配だなぁ……。,唔～嗯，真让人担心啊……,translated,依恩,adf2fd22bd,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#35#12,"わたしも、常にあなたのことを見守れたら
良いのに……。","要是我也能时刻
守护着你就好了……",translated,依恩,3fe0397595,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#38#12,うんうん、素直でよろしい。,嗯嗯，坦率听话很不错。,translated,依恩,f0f22bb375,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#39#12,でも、やっぱり心配だなぁ……。,不过，果然还是很让人担心啊……,translated,依恩,9ec714cb34,br=0 nl=0,1,
inc/event/res/dateevent02/ice02.txt#40#12,"わたしの方からも、あなたを見ることが
出来たらいいのに。","要是我这边也能
看得到你就好了。",translated,依恩,91eddc4777,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#41#12,"そうすれば、普段あなたがわたしを
見ててくれるみたいに、わたしもあなたを
見ることが出来るでしょ？","这样一来，就能像平时
你看着我那样，
我也能看着你了对吧？",translated,依恩,6ae08cbfdf,br=0 nl=2,3,
inc/event/res/dateevent02/ice02.txt#42#12,"それならお互いを注意しあって見れるから、
安心できるのにね。","那样就能互相照应着提醒对方，
让人安心不少了呢。",translated,依恩,fb9b90426b,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#43#12,"……それに、あなたのプライベートも
気になってるしねー。","……而且，我也很在意
你的私人生活嘛――",translated,依恩,4e50da7599,br=0 nl=1,2,
inc/event/res/dateevent02/ice02.txt#44#12,えへへ、なんでもないよー。,嘿嘿，没什么啦――,translated,依恩,8492a175b6,br=0 nl=0,1,
