id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/ownevent/ownevent_01.txt#1#12,上司,上司,translated,,323450745c,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#2#12,部下,下属,translated,,f6f43bfb4e,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#3#12,同僚,同事,translated,,42c9687840,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#4#12,取引先,客户,translated,,bb38f4c12b,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#14#12,仕事,工作,translated,,5dc4a4fa47,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#15#12,遊び,玩乐,translated,,b38da944bf,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#16#12,食事,用餐,translated,,f0ddd1ecf8,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#24#12,仕事,工作,translated,,5dc4a4fa47,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#25#12,遊び,玩乐,translated,,b38da944bf,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#26#12,食事,用餐,translated,,f0ddd1ecf8,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#34#12,仕事,工作,translated,,5dc4a4fa47,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#35#12,遊び,玩乐,translated,,b38da944bf,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#36#12,食事,用餐,translated,,f0ddd1ecf8,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#44#12,商談,商务洽谈,translated,,7562b6e46e,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#45#12,接待,应酬接待,translated,,0b75e90b12,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#46#12,食事,用餐,translated,,f0ddd1ecf8,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#54#12,色々な仕事を任されるようになった,开始被托付各种各样的工作了,translated,,3dc7c87e13,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#55#12,任されてた仕事がうまくいった,交代给我的工作顺利完成了,translated,,ace1e0c99c,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#56#12,仕事多すぎる……,工作实在太多了……,translated,,d695356663,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#57#12,失敗して怒られた,搞砸了挨了一顿训,translated,,97c579609d,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#60#12,ふふっ、何だか忙しいみたいだね。,呵呵，感觉你好像挺忙碌的呢。,translated,依恩,64d095d8a3,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#61#12,"プレッシャーも掛かるかもしれないけど、
それだけ上司さんがあなたに期待してる、
って証拠だよ。","虽然压力可能也会随之而来，
但这正是上司器重你、
对你抱有期待的证明哦。",translated,依恩,b0f6ab3171,br=0 nl=2,3,
inc/event/res/ownevent/ownevent_01.txt#63#12,"色んな仕事を任されるのは嬉しいけど、
ちょっと大変そうだね。","被托付各种工作固然令人高兴，
但感觉也会相当辛苦呢。",translated,依恩,3d39901253,br=0 nl=1,2,
inc/event/res/ownevent/ownevent_01.txt#64#12,"けど、頑張ったら、上司さんが
褒めてくれるかもしれないよ。","不过只要好好努力，
说不定上司就会好好夸奖你一番哦。",translated,依恩,6476510fd7,br=0 nl=1,2,
inc/event/res/ownevent/ownevent_01.txt#65#12,大変だとは思うけど頑張って！,虽然很辛苦，但加油哦！,translated,依恩,1b876965fc,br=0 nl=0,1,
inc/event/res/ownevent/ownevent_01.txt#70#12,"わぁ、おめでとう！
上司さんにも褒められたのかな？","哇，恭喜你！
上司肯定也好好夸赞你了吧？",translated,依恩,db628cde9e,br=0 nl=1,2,
inc/event/res/ownevent/ownevent_01.txt#71#12,"お仕事って大変だと思うけど、
上手くいった時の気持ちよさは
言葉に表せないよね。","虽然工作总是很辛苦，
但顺利做成时的那份爽快感
简直无法用言语来形容对吧。",translated,依恩,4822604ea8,br=0 nl=2,3,
inc/event/res/ownevent/ownevent_01.txt#72#12,"次の仕事も、絶対成功させようね！
ファイトー、あなたー！","下一项工作也一定要顺利搞定哦！
加油啊，亲爱的――！",translated,依恩,5816a97fd1,br=0 nl=1,2,
