id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/mainscenarioevent/mea01_01.txt#5#12,…ねえ、わたし…思い出した……。,……那个，我……想起来了……。,translated,依恩,5637cfaad5,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#6#12,昔のこと、少し思い出したの！,过去的事，稍微想起来了一些！,translated,依恩,47c35c2961,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#7#12,"ちょっと寒い日の夜のこと。
あの日わたし、もう生きていくのが
辛かった。","那是一个微寒的夜晚。
那天我觉得，活下去
实在太痛苦了。",translated,依恩,d98da407d9,br=0 nl=2,3,
inc/event/res/mainscenarioevent/mea01_01.txt#8#12,"このまま死んじゃってもいいって
思ったくらい。","甚至觉得
就这样死掉也无所谓。",translated,依恩,898931b027,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#9#12,"でもその時、ター坊が
わたしに声をかけてくれたの。","但是那时，阿达
主动和我搭话了。",translated,依恩,36e7ba8b2d,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#10#12,ター坊は…えっと……。,阿达他……那个……。,translated,依恩,ca083d3957,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#11#12,"……ター坊って、どんな子だったかな。
まだその辺は思い出せないみたい。","……阿达是个怎样的孩子来着？
关于那些，好像还没能想起来。",translated,依恩,de4d2b32b7,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#12#12,"でも、そのター坊のお陰でわたしは
真っ暗闇の中に、灯りを見つけることが
できた。","不过，多亏了阿达，
我才能在一片漆黑中
找到了光芒。",translated,依恩,39866aa1c2,br=0 nl=2,3,
inc/event/res/mainscenarioevent/mea01_01.txt#13#12,"……びっくり。
まさか、また過去のことを
思い出せるなんて。","……真让人惊讶。
没想到我居然还能
回想起过去的事情。",translated,依恩,478fc52ee1,br=0 nl=2,3,
inc/event/res/mainscenarioevent/mea01_01.txt#14#12,それが、あなたの“力”なの？,这就是，你的“力量”吗？,translated,依恩,59d6e07d24,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#15#12,その通り,正是如此,translated,,970e712e9b,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#16#12,わからない,不知道,translated,,8aa16c7821,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#19#12,えへへ♪　すごいんだ！,嘿嘿♪　好厉害！,translated,依恩,59508b34cf,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#20#12,"だって、今までわたし、ずっと
同じ夢しか見てこなかったのに…。","因为，在此之前我一直
都只能做同样的梦……。",translated,依恩,1e66cccf73,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#21#12,"あなたと一緒に眠ったら、
初めて、今までと違う夢を見られたの！","但是和你一起入睡之后，
第一次做到了和以往不同的梦！",translated,依恩,dbc3f751e7,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#25#12,"そっか。
あなたにもよくわからないんだね。","这样啊。
原来你也太不清楚呢。",translated,依恩,ab4b437bd3,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#26#12,"でも、わたし、今まで同じ夢しか
見てこなかったのに、あなたと一緒に
眠ったら、今までと違う夢を見た…。","但是，在此之前我一直只能做同一个梦，
可只要和你一起入睡，
就能梦见和平常不一样的内容……。",translated,依恩,a785ed8fd4,br=0 nl=2,3,
inc/event/res/mainscenarioevent/mea01_01.txt#27#12,"これだけは真実なんだよね。
だから、あなたのお陰。","只有这一点是真真切切的。
所以，多亏了你。",translated,依恩,4e0344881c,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#30#12,……あ、あのね…。,……那、那个……。,translated,依恩,bc0e06a3c3,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#31#12,"わたし…もっと色んなこと、
思い出したい！","我……想要回想起
更多更多的事情！",translated,依恩,2a9cb25fa1,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#32#12,"わたしの頭の中には、いろんな記憶が
眠っているって事がわかったんだもん。","因为我知道了，在我的脑海中
还沉睡着许许多多的记忆。",translated,依恩,df46596b3c,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#33#12,"だから、もっともっと色んな記憶を
取り戻して、わたしが何者なのか
なぜここにいるのかを知りたいの！","所以，我想找回更多更多的记忆，
弄清楚自己究竟是谁，
又为什么会在这里！",translated,依恩,32ea8560b9,br=0 nl=2,3,
inc/event/res/mainscenarioevent/mea01_01.txt#34#12,"だから、あなたにまた協力して欲しい
んだけど……ダメ…かな……？","所以，想请你再次协助我……
不行……吗……？",translated,依恩,99eeea2d00,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#35#12,いいに決まってる,那是当然了,translated,,d7a71e0fd0,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#36#12,時間が有るときなら,有空的时候倒可以,translated,,f7d3d80305,br=0 nl=0,1,
inc/event/res/mainscenarioevent/mea01_01.txt#38#12,"ほんと！？　…嬉しい…
ありがとう！！","真的吗！？　……太高兴了……
谢谢你！！",translated,依恩,6a6df9c542,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#41#12,"ありがとう。
でも、無理しないでね。
あなたが暇なときで全然構わないから。","谢谢你。
不过，千万不要勉强哦。
只在你闲暇的时候帮我就完全没问题的。",translated,依恩,2cedcbff44,br=0 nl=2,3,
inc/event/res/mainscenarioevent/mea01_01.txt#43#12,"わたしも何か、あなたにお礼したいん
だけど…今は何もできないから…。","我也很想向你道谢，
可是……现在什么也做不了……。",translated,依恩,227c5788a0,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#44#12,"せめて、何か思い出したら
全部あなたにお話するね。","至少，一旦我想起了什么，
都会全部讲给你听的。",translated,依恩,d562378b66,br=0 nl=1,2,
inc/event/res/mainscenarioevent/mea01_01.txt#45#12,"あ、それとね、
夢の中で、昔見たり作ったりしたもの
色々思い出しちゃった。","啊，还有就是，
在梦境里，我回想起了过去见过的、
做过的各种东西呢。",translated,依恩,475c6e9a88,br=0 nl=2,3,
