id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/activeevent01/act_at00.txt#6#12,"お待たせー。
お留守番、ちゃんとしててくれた？","让你久等啦。
有好好替我看家吗？",translated,依恩,b73aceb7bd,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#8#12,"ただいま。
留守の間、何か変わったことはあった？","我回来啦。
我不在的时候，有什么变化吗？",translated,依恩,99203870c2,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#10#12,あっ、待っててくれたの？,啊，你一直在等我吗？,translated,依恩,fbd6d35a0f,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#11#12,"ごめんなさい。
ちょっと遅くなっちゃったね。","对不起呀。
稍微回来得晚了一点呢。",translated,依恩,d0c8c598d1,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#13#12,ただいまー。,我回来啦～,translated,依恩,c04e320cff,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#14#12,"よかった、あなたが待っててくれて。
ちょっとお話したかったんだ。","太好了，你能在这里等我。
我正好有点想跟你聊聊天呢。",translated,依恩,f923fc8592,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#18#12,"ただいま～。
ちょっと遅くなっちゃったかな？","我回来啦～
是不是稍微回来晚了点呀？",translated,依恩,bb18548906,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#20#12,"あっ、いたの！？
ごめんね、帰ってくるの遅かったかな？","啊，你一直在呀！？
对不起哦，我是不是回来太晚了？",translated,依恩,65241c5b79,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#22#12,うむ、出迎えご苦労……なんてね。,嗯，迎接辛苦了……开玩笑的啦。,translated,依恩,9ecda6dd50,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#23#12,"ただいま。
お出迎えしてくれてすごく嬉しいよ。","我回来啦。
能看到你来迎接我，我好开心呀。",translated,依恩,2aefcdf3c9,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#25#12,"わぁ、お出迎えしてくれるなんて
思わなかったから、すごく嬉しいよ！","哇，真没想到你会来迎接我，
真的超级开心哦！",translated,依恩,04ab197dd7,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#26#12,っと、そのまえに……。,啊，在那之前……。,translated,依恩,07f1e3d317,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#27#12,ただいま……待っててくれてありがとね。,我回来啦……谢谢你一直等着我哦。,translated,依恩,5b48c5db34,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#31#12,"<CLBU>ただいま～。
今戻ってきたよ。","<CLBU>我回来啦～
刚刚回到家哦。",translated,依恩,1e889e856e,<CLBU> br=0 nl=1,2,keep-tags <CLBU>
inc/event/res/activeevent01/act_at00.txt#33#12,<CLBU>えへへ、ただいま。,<CLBU>嘿嘿，我回来啦。,translated,依恩,2f995b7a4f,<CLBU> br=0 nl=0,1,keep-tags <CLBU>
inc/event/res/activeevent01/act_at00.txt#35#12,<CLBU>ただいま。さっき帰ってきたところだよ。,<CLBU>我回来啦。刚刚才到家呢。,translated,依恩,13133d8f39,<CLBU> br=0 nl=0,1,keep-tags <CLBU>; src-longest-line=25
inc/event/res/activeevent01/act_at00.txt#37#12,"<CLBU>あっ、ただいま。
今帰ってきたよ。","<CLBU>啊，我回来啦。
现在刚刚回到家哦。",translated,依恩,4c2f3a9524,<CLBU> br=0 nl=1,2,keep-tags <CLBU>
inc/event/res/activeevent01/act_at00.txt#39#12,"<CLBU>ただいま～。
もしかして、待っててくれたの？","<CLBU>我回来啦～
莫非你一直都在等我吗？",translated,依恩,e81dbdec67,<CLBU> br=0 nl=1,2,keep-tags <CLBU>
inc/event/res/activeevent01/act_at00.txt#40#12,"えへへ、もしそうだったら、
ちょっと嬉しいな。","诶嘿嘿，如果是那样的话，
我会挺开心的呢。",translated,依恩,71f034e781,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#45#12,"今回はね、ねりこさんのお店まで
行ってきたんだよ。","这次呀，我去了
妮莉库的小店哦。",translated,依恩,8b87fd9090,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#46#12,"そういえば、ねりこさんが経営している
お店が雑貨屋さんだって、
もう知ってたっけ？","说起来，妮莉库经营的店铺
是一家杂货铺，
这件事你已经知道了来着？",translated,依恩,c9f01d09ca,br=0 nl=2,3,
inc/event/res/activeevent01/act_at00.txt#47#12,"日用品とか、調味料とか、
もう色々置いてあるんだよ。","日用品啦，调味料啦，
店里摆放着各种各样的东西呢。",translated,依恩,e058429122,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#48#12,"あそこに行けば、たいていの物は
きっと買えちゃうんじゃないかな。","只要去那里，绝大多数东西
应该都能买得到吧。",translated,依恩,f0e30414de,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#50#12,また雑貨屋さんに行って来たよ。,我又去了一趟杂货铺哦。,translated,依恩,317cc9bc27,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#51#12,そういえば、話したことあったかな？,说起来，我跟你提过这件事吗？,translated,依恩,561716963a,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#52#12,"わたし、ねりこさんのお店が
ちょっと苦手なの。","我其实，对妮莉库的小店
稍微有点发怵呢。",translated,依恩,d97a5fd331,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#53#12,"うまく言葉にできないんだけど、
嫌悪感？　ううん、違和感……かな？","虽然有些难以用语言表达，
是反感吗？不，应该说是违和感吧……？",translated,依恩,afb11465b8,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#54#12,"別にその……ねりこさんが苦手とかじゃ
なくて、自分でもよく分からないの。","并不是说讨厌妮莉库本人，
其实连我自己也搞不太清楚。",translated,依恩,4be2ed055e,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#55#12,なんでなんだろう……。,到底是因为什么呢……。,translated,依恩,1273c90135,br=0 nl=0,1,
inc/event/res/activeevent01/act_at00.txt#57#12,"今回もねりこさんのお店に
行ってきたんだけど、
やっぱりあの違和感が気になっちゃった。","这次我也去了妮莉库的店里，
但果然还是很在意那种违和感。",translated,依恩,c9058c7e51,br=0 nl=2,3,
inc/event/res/activeevent01/act_at00.txt#58#12,"あれのせいで、なんか居心地悪く感じて、
気分も沈んじゃうし……。","因为那个，总觉得浑身不自在，
心情也会跟着低落沉重起来……。",translated,依恩,45925bf6e4,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#59#12,"こんなんじゃ、
ねりこさんに失礼だよね……。","要是这样的话，
对妮莉库也很失礼呢……。",translated,依恩,d420ff7f4b,br=0 nl=1,2,
inc/event/res/activeevent01/act_at00.txt#60#12,"原因が分かれば、
何か対処が出来るかもしれないし、
今度行ったとき探してみようかな。","只要能查明原因，
说不定就能找到应对办法，
下次去的时候试着找找看吧。",translated,依恩,d2ec825677,br=0 nl=2,3,
