id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/menuevent00/alarm_set01.txt#2#12,…むにゃ……。,……呜喵……,translated,依恩,5eb020476e,br=0 nl=0,1,
inc/event/res/menuevent00/alarm_set01.txt#5#12,<CLY2>イオンは現在お出かけ中です。,<CLY2>依恩目前正在外出中。,translated,系统文本,1194137fe4,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/menuevent00/alarm_set01.txt#6#12,"<CLY2>時間を伝えるためにはイオンが室内にいる
必要があります。",<CLY2>传达时间需要依恩身处室内。,translated,系统文本,8a257a861c,<CLY2> br=0 nl=1,2,keep-tags <CLY2>; src-longest-line=25
inc/event/res/menuevent00/alarm_set01.txt#10#12,"<CLY2>いま時間を伝えることはできません。
イオンの行動が切り替わるまで待ちましょう。","<CLY2>现在无法传达时间。
请等待依恩切换行动。",translated,系统文本,a1a4383c13,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/menuevent00/alarm_set01.txt#17#12,"別の時間に起こしてほしいの？
何時に起こそっか？","想要在其他时间叫醒你吗？
几点叫醒你呢？",translated,依恩,e78a4c795a,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set01.txt#19#12,"別の時間に起こしてほしいんだね。
何時に起こしたらいいのかな？","想让我换个时间叫醒你对吧。
几点叫醒你好呢？",translated,依恩,4a0fc78aa6,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set01.txt#21#12,"起きる時間を変更したいの？
何時に声をかけたらいいかな？","想更改起床时间吗？
几点出声叫你好呢？",translated,依恩,5ace5c0482,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set01.txt#25#12,"起こしてほしいの？
何時に声をかけたらいいかな？","想让我叫醒你吗？
几点出声叫你好呢？",translated,依恩,11b824cc7a,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set01.txt#27#12,"これから休むの？
何時に起こしたらいいかな？","接下来准备休息了吗？
几点叫醒你好呢？",translated,依恩,b3c68a5f28,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set01.txt#29#12,"時間になったら起こしてほしいんだね。
何時に起きたいのかな？","到时间了想让我叫醒你对吧。
想几点起床呢？",translated,依恩,326c158bb3,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set01.txt#34#12,じゃあ、その時間に起こすね。,好，那我就在那个时间叫醒你哦。,translated,依恩,55163be21f,br=0 nl=0,1,
inc/event/res/menuevent00/alarm_set01.txt#36#12,"うん、わかった。
あなたがちゃんと起きられるように
頑張って起こすね。","嗯，我知道了。
为了能让你按时起床，
我会拼命叫醒你的哦。",translated,依恩,77d3bed1e6,br=0 nl=2,3,
inc/event/res/menuevent00/alarm_set01.txt#38#12,"えへへ、あなたが寝坊しないように
頑張って起こすね。","诶嘿嘿，为了不让你睡过头，
我会努力叫醒你的哦。",translated,依恩,5debaca0b4,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#2#12,…むにゃ……。,……呜喵……,translated,依恩,5eb020476e,br=0 nl=0,1,
inc/event/res/menuevent00/alarm_set02.txt#5#12,<CLY2>イオンは現在お出かけ中です。,<CLY2>依恩目前正在外出中。,translated,系统文本,1194137fe4,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/menuevent00/alarm_set02.txt#6#12,"<CLY2>時間を伝えるためにはイオンが室内にいる
必要があります。",<CLY2>传达时间需要依恩身处室内。,translated,系统文本,8a257a861c,<CLY2> br=0 nl=1,2,keep-tags <CLY2>; src-longest-line=25
inc/event/res/menuevent00/alarm_set02.txt#10#12,"<CLY2>いま時間を伝えることはできません。
イオンの行動が切り替わるまで待ちましょう。","<CLY2>现在无法传达时间。
请等待依恩切换行动。",translated,系统文本,a1a4383c13,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/menuevent00/alarm_set02.txt#17#12,"約束の時間が変わったの？
何時に声をかけよっか？","约定好的时间更改了吗？
几点出声提醒你呢？",translated,依恩,99cf6174ee,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#19#12,"時間が変わったんだね。
いつ声かけよっか？","时间更改了对吧。
什么时候出声叫你呢？",translated,依恩,96a8b598bb,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#21#12,"時間が変わったの？
何時に声をかけたらいいかな？","时间更改了吗？
几点出声提醒你好呢？",translated,依恩,a027e35810,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#25#12,"約束の時間になったら教えてほしいんだね。
何時に約束してるの？","到约定的时间了想让我提醒你对吧。
是约在了几点呢？",translated,依恩,54853038c0,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#27#12,"だれかと約束してるんだね。
いつ声をかけたらいいかな？","和谁有约定对吧。
什么时候出声提醒你好呢？",translated,依恩,8995dc71f6,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#29#12,"大切な約束があるんだね。
何時に声かけたらいいかな？","有很重要的约定对吧。
几点出声提醒你好呢？",translated,依恩,7169522133,br=0 nl=1,2,
inc/event/res/menuevent00/alarm_set02.txt#34#12,"うん、わかったよ。
あなたが遅れないように、
わたしも気をつけておくね。","嗯，我知道了。
为了不让你迟到，
我也会多加留意的哦。",translated,依恩,07560009c9,br=0 nl=2,3,
inc/event/res/menuevent00/alarm_set02.txt#36#12,"わかった、その時間だね。
あなたが遅刻しないように、
気をつけておかなきゃ。","知道了，是那个时间对吧。
为了不让你迟到，
我可得多加注意呢。",translated,依恩,976facc2f9,br=0 nl=2,3,
inc/event/res/menuevent00/alarm_set02.txt#38#12,"じゃあ、その時間になったら教えるね。
あなたも遅刻しないように、
ちゃんと準備しててね。","那么，到了那个时间我就提醒你哦。
你也为了不迟到，
好好做好准备哦。",translated,依恩,216c3a448f,br=0 nl=2,3,
inc/event/res/menuevent00/alarm_set03.txt#2#12,…むにゃ……。,……呜喵……,translated,依恩,5eb020476e,br=0 nl=0,1,
inc/event/res/menuevent00/alarm_set03.txt#5#12,<CLY2>イオンは現在お出かけ中です。,<CLY2>依恩目前正在外出中。,translated,系统文本,1194137fe4,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
