id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/ex01/ex01_01.txt#28#12,えっと、『月刊波動科学』は……と。,那个，《月刊波动科学》在……哪儿呢。,translated,布拉姆,4411840d82,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#29#12,"あった！
うん、クラケット博士の特集記事も載って……。","找到了！
嗯，库拉肯特博士的专访特辑也登了……。",translated,布拉姆,e3caa25004,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#37#12,"おっ、やっぱりまだ残ってた。
おばちゃーん、これちょうだい！","哟，果然还有剩的。
老板娘――这本我要了！",translated,阿达,b8db3a7a21,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#38#12,なっ！,什、什么！,translated,布拉姆,d2ad0eb467,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#39#12,"……？
なんだよ。","……？
干嘛啊。",translated,阿达,ccace4f02f,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#40#12,"なんだよ、じゃないでしょう！
どう見ても僕が先に取ろうとしていたところ
じゃないですか！","什么叫干嘛啊！
怎么看都明明是我
正准备先拿的不是吗！",translated,布拉姆,6606424461,br=0 nl=2,3,
inc/event/res/ex01/ex01_01.txt#52#12,"えー、そっちが遅かっただけだろ。
こういうのは早い者勝ちなんだぜ。","诶――是你动作太慢了吧。
这种事向来是先下手为强哦。",translated,阿达,e6e7596204,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#57#12,返してください、先に見つけたのは僕です！,请还给我，先找到的人是我！,translated,布拉姆,2b3e919994,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#58#12,"ちょ、おい、やめろって！
引っ張るなよ！","等、喂，快住手啦！
别生拉硬扯的！",translated,阿达,ee118ef126,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#59#12,"大体、君みたいな子供が読んでも
内容の分かる本じゃないでしょう！
漫画ならそっちですよ！","再说了，这种书就算给你这种小屁孩读，
你也根本看不懂里面的内容吧！
漫画书在另一边啦！",translated,布拉姆,c2c44d6905,br=0 nl=2,3,
inc/event/res/ex01/ex01_01.txt#60#12,"な、なにをー！
お前だって子供じゃんかよ！","你、你说什么――！
你不也一样是个小屁孩嘛！",translated,阿达,47b44344fa,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#61#12,"僕はちゃんと内容が理解できますから。
君はどうせ、最新のシェルノトロンの
カタログが見たいだけでしょう。","我可是能清清楚楚看懂内容的。
反正你这家伙，
肯定只是想看最新的榭鲁诺特伦画册吧。",translated,布拉姆,93efaaf12d,br=0 nl=2,3,
inc/event/res/ex01/ex01_01.txt#62#12,お、俺だって…。,我、我才不是……。,translated,阿达,ed9789b8ed,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#63#12,"じゃあ君、シェルノトロンの出力の調整に
主に何が使われているか知っていますか？","那我问你，你知道调节榭鲁诺特伦的输出
主要使用的是什么东西吗？",translated,布拉姆,530cdaa5fe,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#64#12,そ、それは…。,那、那是……。,translated,阿达,a2893b8a7b,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#65#12,……やっぱり分からないんじゃないですか。,……果然一窍不通不是吗。,translated,布拉姆,e2b3eccfe5,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#66#12,"だあぁぁぁ！
それをこれから勉強するために読むんだよ！","啊啊啊啊啊！
我就是为了从现在开始学才买来读的啦！",translated,阿达,0eadac8a15,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#67#12,"無理しないほうが良いですよ。
この本は専門知識がそれなりにないと、
大人でも読むのに苦労するんですから。","你还是别勉强了比较好哦。
这本书要是没有相应的专业知识，
就算是大人读起来也费劲得很呢。",translated,布拉姆,fbf243acc9,br=0 nl=2,3,
inc/event/res/ex01/ex01_01.txt#68#12,"えっ……。
そんなに難しい本なのか、これ。","诶……。
这书有那么难懂吗？",translated,阿达,7bb341a230,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#69#12,"それも知らずに買おうとしたんですか。
まったく、きみって人は……。","你连这都不知道就打算买吗。
真是的，你这个人也太……。",translated,布拉姆,52820ad55c,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#70#12,"そういうお前こそ読めんのかよ。
大人でも読めないんだろ。","说得这么好听，那你就能读懂吗？
大人都读不懂不是吗。",translated,阿达,4c6126cf84,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#71#12,"君と違って、僕はちゃんと波動科学を
勉強してますからね。","跟你不一样，
我可是有好好学习过波动科学的。",translated,布拉姆,1184a67254,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#72#12,"天文に入って、波動科学の歴史に不朽の名を
残すのが僕の夢なんです。","进入天文，在波动科学的历史上
留下不朽之名，就是我的梦想。",translated,布拉姆,c3fe20b1fc,br=0 nl=1,2,
inc/event/res/ex01/ex01_01.txt#73#12,……天文に入りたいのか、お前。,……你这家伙，想进天文啊。,translated,阿达,f329584128,br=0 nl=0,1,
inc/event/res/ex01/ex01_01.txt#74#12,"地上に住んでる人間だから無理、
って言いたいのですか？
入りますよ、それが夢なんですから。","你是想说住在地上的人根本没戏吗？
我一定会进去的，
因为那是我的梦想。",translated,布拉姆,851a252725,br=0 nl=2,3,
