id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/relationevent/divorce_01.txt#6#12,…むにゃ……。,…唔唔……。,translated,依恩,5eb020476e,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#10#12,<CLY2>イオンは現在お出かけ中です。,<CLY2>依恩目前正在外出中。,translated,系统文本,1194137fe4,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#11#12,"<CLY2>離婚をするためにはイオンが室内にいる
必要があります。","<CLY2>若要办理离婚，依恩必须
身处室内。",translated,系统文本,20b13d4441,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#15#12,<CLY2>イオンは現在入浴中です。,<CLY2>依恩目前正在入浴中。,translated,系统文本,7823b43700,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#16#12,"<CLY2>離婚をするためにはイオンが室内にいる
必要があります。","<CLY2>想要告白
需要配方",translated,系统文本,20b13d4441,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#20#12,<CLY2>イオンは現在お手洗いです。,<CLY2>依恩目前正在洗手间。,translated,系统文本,ebf1e157a1,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#21#12,"<CLY2>離婚をするためにはイオンが室内にいる
必要があります。","<CLY2>想要告白
需要配方",translated,系统文本,20b13d4441,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#26#12,先にご飯食べちゃうから、待っててね。,我先吃完饭，等等我哦。,translated,依恩,3be8545b07,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#28#12,すぐに食べちゃうから、少し待っててね。,我马上就吃完，稍微等我一下哦。,translated,依恩,ab411323b6,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#30#12,ご飯冷めちゃうから、先に食べちゃうね。,饭菜要凉了，我先吃了哦。,translated,依恩,5613f416f1,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#35#12,<CLY2>イオンは現在着替え中です。,<CLY2>依恩目前正在换衣服。,translated,系统文本,14f32834ab,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#40#12,"<CLY2>現在、離婚することはできません。
イオンの行動が切り替わるまで待ちましょう。","<CLY2>当前无法进行离婚。
请等待依恩切换行动状态。",translated,系统文本,fc390f11c9,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#46#12,"<CLY2>イオンと離婚すると、夫婦のときに発生する
イベントは一切発生しなくなります。","<CLY2>与依恩离婚后，处于夫妻状态时
发生的所有事件将彻底不再发生。",translated,系统文本,65df6eeddb,<CLY2> br=0 nl=1,2,keep-tags <CLY2>; src-longest-line=26
inc/event/res/relationevent/divorce_01.txt#47#12,"<CLY2>また、再び恋人や夫婦に戻ることが
できません。","<CLY2>此外，将无法再次重归
恋人或夫妻关系。",translated,系统文本,7aea4ec517,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#48#12,"<CLY2>そのため、今後追加されるイベントも
発生しなくなる可能性があります。","<CLY2>因此，今后追加的事件也有可能
彻底无法触发。",translated,系统文本,136c9b6059,<CLY2> br=0 nl=1,2,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#49#12,<CLY2>本当によろしいですか？,<CLY2>真的确定要这么做吗？,translated,系统文本,61132de582,<CLY2> br=0 nl=0,1,keep-tags <CLY2>
inc/event/res/relationevent/divorce_01.txt#50#12,やっぱりやめる,还是算了,translated,,1c6ecf5e26,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#51#12,イオンと離婚する,与依恩离婚,translated,,b6d699cb1d,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#57#12,"あの……どうしたの？
なんだかいつもと様子が……。","那个……你怎么了？
总觉得今天的你和平时有点……",translated,依恩,0827310365,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#60#12,"……ッ！
えっと、その……。","……！？
呃，那个……",translated,依恩,990965b94f,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#61#12,"そ、そうだ！
わたし急いでやらないといけないことが
あったんだ！","对、对了！
我突然想起来还有急事
得去办呢！",translated,依恩,8861b14d30,br=0 nl=2,3,
inc/event/res/relationevent/divorce_01.txt#62#12,ごめんね、お話はまた今度にしよ。,对不起哦，我们下次再聊吧。,translated,依恩,ada493e0d6,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#63#12,呼び止める,叫住她,translated,,131e86e0f2,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#70#12,"どうしたの？
わたし戻らないと……。","怎么了吗？
我得回去了……",translated,依恩,761db6fecb,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#71#12,大切な話がある,我有重要的话要对你说,translated,,77806dca4f,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#73#12,大切な……話……。,重要的……话……,translated,依恩,be54c141c8,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#80#12,"<CLBU>どうして……。
わたし、良い奥さんになれてなかったかな？
端末越しの関係じゃ、ダメだったのかな？","<CLBU>为什么……
是我没有当好一个合格的妻子吗？
隔着终端的关系，果然还是不行吗？",translated,依恩,b7753a18c9,<CLBU> br=0 nl=2,3,keep-tags <CLBU>
inc/event/res/relationevent/divorce_01.txt#83#12,"ずっと……ずっと一緒に居たのに、
居てくれたのに……ッ！","明明一直……一直在一起，
明明你一直陪着我的……！",translated,依恩,f0708c085d,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#84#12,"やっぱり、こんな関係じゃ
無理だったのかな……。","果然，维持这样的关系
还是太勉强了吗……",translated,依恩,5a75546787,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#85#12,別に大切な人ができた,我有了别的更重要的人,translated,,5a1264448c,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#86#12,友達に戻りたい,想做回普通朋友,translated,,b841c9fcb2,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#87#12,繋がり続けるのに疲れた,对一直连接维系关系感到疲倦了,translated,,bf474e1d2c,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#90#12,"そう……なんだ。
ほかに大切な人が……。","这……样啊。
有了别的更重要的人啊……",translated,依恩,4eb592eed8,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#91#12,わたしじゃ、ダメだったんだね……。,果然我……还是不行呢……,translated,依恩,db36b1c7fb,br=0 nl=0,1,
inc/event/res/relationevent/divorce_01.txt#95#12,"友達……か。
それって友達ではいてくれるってことだよね。","朋友……吗。
意思是，你还愿意和我做朋友吧。",translated,依恩,8462724006,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#96#12,"別れるのは辛いけど、もう一緒にいたくない
って言われるより、ずっと良かった。","分手虽然很难过，但比起听你说再也不想在一起，
已经好太多了。",translated,依恩,f316e0f49f,br=0 nl=1,2,
inc/event/res/relationevent/divorce_01.txt#100#12,"わたしが、あなたに頼ってばかりだった
から……。","都怪我，总是只知道
依赖你……",translated,依恩,1d64b0e39b,br=0 nl=1,2,
