id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/special/sp_dlc_recipe02.txt#6#12,はぁーい！,来啦――！,translated,依恩,2c5691ac1e,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe02.txt#13#12,"コーンコン♪
いる？","咚――咚♪
在吗？",translated,依恩,586fa872c6,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe02.txt#14#12,いたらトントンして？,在的话就敲两下？,translated,依恩,8650b8bba1,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe02.txt#18#12,"あれ？　やっぱりいないのかな？
いるような気がするんだけど…。","咦？果然不在吗？
总觉得好像在的样子呢……",translated,依恩,1e94470374,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe02.txt#19#12,…わたしが何か勘違いしてるだけかな…。,……只是我自己想多了而已吗……,translated,依恩,ad6c290f72,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe03.txt#6#12,はぁーい！,来啦――！,translated,依恩,2c5691ac1e,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe03.txt#13#12,"コーンコン♪
いる？","咚――咚♪
在吗？",translated,依恩,586fa872c6,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe03.txt#14#12,いたらトントンして？,在的话就敲两下？,translated,依恩,8650b8bba1,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe03.txt#18#12,"あれ？　やっぱりいないのかな？
いるような気がするんだけど…。","咦？果然不在吗？
总觉得好像在的样子呢……",translated,依恩,1e94470374,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe03.txt#19#12,…わたしが何か勘違いしてるだけかな…。,……只是我自己想多了而已吗……,translated,依恩,ad6c290f72,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe03_tch.txt#5#12,そうそう、実はね――,对了对了，其实啊――,translated,依恩,d5dd47b4ba,br=0 nl=0,1,
inc/event/res/special/sp_dlc_recipe03_tch.txt#7#12,<CLBU>ごめんね。急に呼び出したりして。,<CLBU>对不起哦，突然把你叫出来。,translated,依恩,129484d414,<CLBU> br=0 nl=0,1,keep-tags <CLBU>
inc/event/res/special/sp_dlc_recipe03_tch.txt#8#12,"たいした用事ではないんだけど、
実はね――","虽然不是什么大事，
不过其实啊――",translated,依恩,bef76b72bd,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe03_tch.txt#11#12,"またねりこさんから、新しいレシピを
貰っちゃったの。","我又从妮莉库小姐那里，
拿到新的配方了哦。",translated,依恩,487754626b,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe03_tch.txt#13#12,"ねりこさん、っていうわたしの知り合いが、
新しいレシピをくれたの。","我的一位叫妮莉库小姐的熟人，
给了我新的配方哦。",translated,依恩,9a648c0113,br=0 nl=1,2,
inc/event/res/special/sp_dlc_recipe03_tch.txt#15#12,"どんなレシピなのかは、わたしもよくは
わからないの。","究竟是什么配方，
我自己其实也不太清楚。",translated,依恩,98b32683aa,br=0 nl=1,2,
