id,jp,zh,status,speaker,src,ctl,lines,note
inc/event/res/formatevent01/alarm_time01_01.txt#8#12,あ、そろそろ起こしてあげなきゃ……。,啊，差不多该去叫醒他了……,translated,依恩,940b44532e,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#12#12,"あなた～！
起きる時間だよ～！","喂～！
该起床啦～！",translated,依恩,49122cf03c,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#13#12,"……あれ？
まだ寝てるのかな？","……咦？
还在睡吗？",translated,依恩,6099872775,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#16#12,おーい！,喂――！,translated,依恩,113b92d8a9,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#18#12,早く起きてー！,快点起床啦――！,translated,依恩,7d4dce4452,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#20#12,起きる時間～！！,起床时间到啦――！！,translated,依恩,5b7d6fe9eb,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#23#12,起きないと遅刻しちゃうよ！,再不起床要迟到啦！,translated,依恩,bc2080084e,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#25#12,ご飯食べる時間なくなっちゃうよ！,连吃早饭的时间都要没有啦！,translated,依恩,ef24a960b9,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#27#12,早く起きないと時間なくなっちゃうよ！,不快点起床时间就要来不及啦！,translated,依恩,cd3c5b68db,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#30#12,"むう！
起きないと怒っちゃうんだから！","呜！
再不起床我可要生气啦！",translated,依恩,50fd5d6d53,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#32#12,"もう！
いつまでも寝てたらダメだよ！","真是的！
可不能一直睡懒觉哦！",translated,依恩,a0898ada92,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#34#12,寝坊しても知らないよ！？,睡过头了我可不管哦！？,translated,依恩,5860851804,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#37#12,うぅ、なんで起きてくれないの……。,唔，为什么不肯起床呢……,translated,依恩,fe75d6ca5a,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01.txt#39#12,"う～ん、疲れてるのかなぁ。
全然反応ないよ。","唔～是不是太累了呀。
完全没有任何反应呢。",translated,依恩,ecd31fd7b6,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#41#12,"ダメかなぁ……。
こんなとき直接揺すれたらいいのに……。","不行吗……
这种时候要是能直接摇摇你就好了……",translated,依恩,e95d67170b,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#47#12,"諦めちゃダメ。
もう一回……！","不能放弃。
再试一次……！",translated,依恩,dd1085f992,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#49#12,"頑張って起こさなきゃ。
約束したんだもん。","得努力把你叫醒才行。
毕竟都答应过你了嘛。",translated,依恩,eea204790d,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#51#12,"もう少し頑張ってみよう。
起こすって約束したんだから。","再努力试一试吧。
因为已经约好了要叫你起床呢。",translated,依恩,0321725817,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#56#12,"はぁ……ダメみたい。
やっぱり疲れてるのかな？","唉……好像不行呢。
果然是太累了吗？",translated,依恩,fbdfe4a9ca,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01.txt#57#12,"だとしたら、ゆっくり寝かせておいて
上げた方がいいよね……。","要是那样的话，还是让你多睡一会儿
会比较好吧……",translated,依恩,78540890ef,br=0 nl=1,2,
inc/event/res/formatevent01/alarm_time01_01_tch.txt#5#12,あ、おはよう♪,啊，早安♪,translated,依恩,20cbda8a6c,br=0 nl=0,1,
inc/event/res/formatevent01/alarm_time01_01_tch.txt#7#12,"よかった。
気がついてくれないかと思ったよ。","太好了。
我还以为你没有注意到呢。",translated,依恩,fbb043513c,br=0 nl=1,2,
